,exp,Q2,x,cs_h2(nb//),%stat_u,%sys_u,*%norm,*Elab,*E',*y,*value,obs,target,lepton beam,current,units,*epsilon,sin2 theta/2,theta
0,e00116,3.5853,0.4831,1.3552,1.58648170011806,1.53482880755608,1.75,5.5,1.54400595125917,0.719271645225606,0.171856931596118,sig_r,p,e,nc,1,0.44126964417579806,0.10554893372352468,37.916967876501566
1,e00116,3.624,0.4904,1.3206,1.58261396334999,1.5371800696653,1.75,5.5,1.56082846081872,0.716213007123869,0.168217495166394,sig_r,p,e,nc,1,0.4451571250343919,0.10553835790568962,37.914995721835986
2,e00116,3.6628,0.4978,1.2747,1.56899662665725,1.53761669412411,1.75,5.5,1.57783843795429,0.713120284008311,0.163025137826214,sig_r,p,e,nc,1,0.4490710257771471,0.10551835034946228,37.91126451944168
3,e00116,3.7015,0.5052,1.2117,1.60105636708756,1.53503342411488,1.75,5.5,1.59445561469882,0.71009897914567,0.155622180778505,sig_r,p,e,nc,1,0.4528546671168968,0.10552190882515163,37.91192816117948
4,e00116,3.7403,0.5127,1.1546,1.61960852243201,1.53299844101853,1.75,5.5,1.61124765705868,0.707045880534785,0.148876441803246,sig_r,p,e,nc,1,0.4566612334405331,0.10551676250316164,37.91096838915921
5,e00116,3.7791,0.5202,1.1127,1.63566100476319,1.53680237260717,1.75,5.5,1.62755549981187,0.704080818216025,0.144068455022399,sig_r,p,e,nc,1,0.46031207225755494,0.10554311219932504,37.91588230257679
6,e00116,3.8178,0.5278,1.1025,1.62358276643991,1.5328798185941,1.75,5.5,1.64423147619236,0.70104882251048,0.143304622609939,sig_r,p,e,nc,1,0.4640428530993338,0.10554253835246581,37.91577529254142
7,e00116,3.8566,0.5355,1.0683,1.62875596742488,1.53514930263035,1.75,5.5,1.66105148527073,0.697990639041686,0.139349244647409,sig_r,p,e,nc,1,0.46778724413089673,0.10553556079053644,37.91447410753526
8,e00116,3.8953,0.5433,0.9795,1.68453292496172,1.53139356814701,1.75,5.5,1.6781963417903,0.694873392401764,0.128154161546397,sig_r,p,e,nc,1,0.4715974489914196,0.10550558745718887,37.90888420897862
9,e00116,3.9341,0.5511,0.9257,1.73922437074646,1.53397428972669,1.75,5.5,1.69475915391547,0.691861972015369,0.121540929605304,sig_r,p,e,nc,1,0.4752252217129158,0.10551512694862036,37.910663359326826
10,e00116,3.9729,0.559,0.8999,1.74463829314368,1.53350372263585,1.75,5.5,1.71153750796236,0.688811362188662,0.118512905159151,sig_r,p,e,nc,1,0.4788873704470784,0.10551119259510558,37.9099295964761
11,e00116,4.0116,0.5669,0.8757,1.74717368961973,1.54162384378212,1.75,5.5,1.72794226333243,0.685828679394103,0.115729468875633,sig_r,p,e,nc,1,0.4824290722042807,0.10552751582902514,37.91297382534908
12,e00116,4.0504,0.575,0.85,1.75294117647059,1.54117647058824,1.75,5.5,1.74510985445444,0.682707299190103,0.112690155433306,sig_r,p,e,nc,1,0.4861470165672127,0.10550000072439421,37.90784222975925
