,x,Q2,y,sigma_d measured (b/GeV2),Elab,*W2,*nu,*E',*epsilon,obs,target,curent,lepton beam,units,%dE,%dE1_c,%dE2_c,%dE3_c,%dE4_c,%dEp,%dEp1_c,%dEp2_c,%dEp3_c,%dEp4_c,%dAC_c,%dRC_c,%dRE_c,R,F2d,dFstat,dFsyst,%*norm_c,*epsilon.1,value,%*dST_u
15,0.0354,3.34,0.571,1.55e-07,90,91.8901264858757,50.2933275511064,39.7066724488936,0.724336816530977,sig_r,d,mu,nc,1,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.1,0.3,0.108,0.3624,0.0066,0.0051,2.5,0.724336816530977,0.35266195445339,1.82119205298013
16,0.0364,4.27,0.705,8.467e-08,90,113.917536307692,62.5307528292603,27.4692471707397,0.542391808823385,sig_r,d,mu,nc,1,0.5,0.5,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.7,2.4,0.4,0.108,0.3541,0.0205,0.0089,2.5,0.542391808823385,0.338305196716169,5.78932504942107
17,0.0495,1.33,0.168,8.657e-07,90,26.4185308686869,14.3223277551636,75.6776722448364,0.983225140208657,sig_r,d,mu,nc,1,1.6,1.6,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,2.6,0.4,0.1,0.117,0.3233,0.0089,0.0103,2.5,0.983225140208657,0.322731562945237,2.75286111970306
18,0.0493,1.76,0.221,4.663e-07,90,34.8196411602434,19.029742622731,70.970257377269,0.969471175281982,sig_r,d,mu,nc,1,1.2,1.2,0.0,0.0,0.0,-0.7,-0.7,0.0,0.0,0.0,1.3,0.4,0.1,0.117,0.3189,0.005,0.0063,2.5,0.969471175281982,0.317879830387147,1.56788962057071
19,0.0494,2.48,0.309,2.305e-07,90,48.6022731497976,26.7603566896576,63.2396433103424,0.93517530915144,sig_r,d,mu,nc,1,1.0,1.0,0.0,0.0,0.0,-0.4,-0.4,0.0,0.0,0.0,0.5,0.3,0.1,0.117,0.3375,0.0033,0.0041,2.5,0.93517530915144,0.335207790323209,0.977777777777778
20,0.0501,3.41,0.416,1.157e-07,90,65.533716255489,36.2813817993012,53.7186182006988,0.870661804754835,sig_r,d,mu,nc,1,0.8,0.8,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,0.2,0.6,0.2,0.117,0.3574,0.0042,0.0036,2.5,0.870661804754835,0.352557406740675,1.17515388919978
21,0.0509,4.39,0.526,6.336e-08,90,82.7373882043222,45.9741706846067,44.0258293153933,0.77368981833281,sig_r,d,mu,nc,1,0.6,0.6,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.3,1.2,0.3,0.117,0.3589,0.0082,0.005,2.5,0.77368981833281,0.350391448291542,2.28475898578991
22,0.0526,5.31,0.609,4.373e-08,90,96.5204143422053,53.8116046600242,36.1883953399758,0.677823684041377,sig_r,d,mu,nc,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.6,0.3,0.117,0.3957,0.0198,0.0069,2.5,0.677823684041377,0.382345844635245,5.00379075056861
23,0.07,1.35,0.12,6.029e-07,90,18.8155582857143,10.2802314955833,79.7197685044167,0.991791037766853,sig_r,d,mu,nc,1,2.0,2.0,0.0,0.0,0.0,-1.4,-1.4,0.0,0.0,0.0,3.5,0.5,0.1,0.113,0.3154,0.0132,0.0136,2.5,0.991791037766853,0.315136824184021,4.1851616994293
24,0.0699,1.77,0.156,3.485e-07,90,24.4317324120172,13.4978083219708,76.5021916780292,0.985661136678224,sig_r,d,mu,nc,1,1.6,1.6,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.8,0.4,0.1,0.113,0.3229,0.0073,0.0088,2.5,0.985661136678224,0.322429585826425,2.26076184577268
