,X,Q2,w2,value,obs,target,lepton beam,current,stat_u,syst_u,*norm_c,%cor1_c,%cor2_c,%cor3_c,%cor4_c,%cor5_c,*Elab,*nu,*E',*sin2(theta/2),*epsilon
17,0.225,11.75,41.35206622222222,0.34635,F2,p,mu,NC,0.005,0,0.010390499999999999,-0.4,-0.3,0.0,0.0,1.0,100,27.83700544894575,72.16299455105425,0.00040706459290873275,0.999173872440097
18,0.225,13.25,46.518732888888884,0.33805,F2,p,mu,NC,0.0052,0,0.0101415,-0.4,-0.2,0.1,0.0,1.0,100,31.39066571902393,68.60933428097607,0.0004828060255524862,0.9990218886180575
19,0.225,15.0,52.54651066666667,0.33659,F2,p,mu,NC,0.0049,0,0.0100977,-0.4,-0.2,-0.1,0.0,1.0,100,35.536602700781806,64.4633972992182,0.0005817254685777287,0.9988234304158548
20,0.225,17.0,59.435399555555556,0.32138,F2,p,mu,NC,0.0052,0,0.0096414,-0.3,-0.1,0.2,0.0,1.0,100,40.27481639421938,59.72518360578062,0.0007115926219754067,0.9985629431044072
21,0.225,19.0,66.32428844444445,0.32395,F2,p,mu,NC,0.0058,0,0.0097185,-0.3,-0.1,0.4,0.0,1.0,100,45.01303008765696,54.98696991234304,0.0008638410168031022,0.9982576503408793
22,0.225,21.5,74.93539955555556,0.31436,F2,p,mu,NC,0.0056,0,0.0094308,-0.3,-0.1,0.3,0.0,1.0,100,50.93579720445392,49.06420279554608,0.001095503380009657,0.9977932941001275
23,0.225,24.5,85.26873288888888,0.32498,F2,p,mu,NC,0.0053,0,0.0097494,-0.3,0.0,-0.1,0.0,0.0,100,58.043117744610285,41.956882255389715,0.0014598320158102768,0.9970634528612466
24,0.225,28.0,97.32428844444445,0.31917,F2,p,mu,NC,0.0054,0,0.0095751,-0.3,0.0,0.3,0.0,0.0,100,66.33499170812604,33.66500829187396,0.0020793103448275866,0.9958237116642218
25,0.275,10.25,27.902571272727265,0.30476,F2,p,mu,NC,0.0054,0,0.0091428,-0.4,-0.2,-1.3,0.0,1.0,100,19.868191509982555,80.13180849001745,0.00031978561925495884,0.9993440422324459
26,0.275,11.75,31.857116727272725,0.29971,F2,p,mu,NC,0.0055,0,0.008991299999999999,-0.4,-0.2,-0.6,0.0,1.0,100,22.77573173095561,77.22426826904439,0.0003803856049196787,0.9992223055563482
27,0.275,13.25,35.81166218181818,0.30213,F2,p,mu,NC,0.0058,0,0.0090639,-0.4,-0.1,-0.3,0.0,1.0,100,25.683271951928667,74.31672804807133,0.00044572737350026087,0.9990910600129681
28,0.275,15.0,40.42529854545454,0.30414,F2,p,mu,NC,0.0053,0,0.0091242,-0.3,-0.1,-0.2,0.0,1.0,100,29.07540220973057,70.92459779026943,0.0005287305274665209,0.9989243647664012
29,0.275,17.0,45.69802581818181,0.30467,F2,p,mu,NC,0.0057,0,0.0091401,-0.3,-0.1,-0.1,0.0,1.0,100,32.952122504361306,67.04787749563869,0.0006338753975137323,0.9987132424216143
30,0.275,19.0,50.97075309090908,0.29035,F2,p,mu,NC,0.0059,0,0.0087105,-0.3,0.0,-0.3,0.0,1.0,100,36.828842798992056,63.171157201007944,0.0007519254372506905,0.9984762609555818
