,exp,x,Q2,target,obs,lepton beam,current,units,value,stat_u,syst_u,dRSY,dRSE,dRN1,dRN2,No,Deps,X2/df,*dRRC_c,W2
0,slac,0.1,0.63,p,R,e,NC,1,0.223,0.082,0.047,0.021,0.032,0.025,0.011,5,0.398,0.7,0.025564499999999997,6.549843999999999
1,slac,0.1,0.8,p,R,e,NC,1,0.205,0.179,0.094,0.071,0.022,0.045,0.035,4,0.2,0.3,0.0253575,8.079844
2,slac,0.1,1.0,p,R,e,NC,1,0.377,0.077,0.038,0.016,0.024,0.022,0.012,7,0.542,0.2,0.0273355,9.879844
3,slac,0.1,1.25,p,R,e,NC,1,0.445,0.09,0.028,0.011,0.018,0.016,0.008,8,0.676,1.0,0.028117499999999997,12.129844
4,slac,0.1,1.6,p,R,e,NC,1,0.339,0.055,0.024,0.013,0.016,0.011,0.007,10,0.747,0.8,0.0268985,15.279843999999999
5,slac,0.1,2.0,p,R,e,NC,1,0.286,0.052,0.022,0.01,0.017,0.009,0.007,8,0.604,0.9,0.026289,18.879844
6,slac,0.1,2.5,p,R,e,NC,1,0.475,0.155,0.078,0.042,0.056,0.029,0.016,5,0.415,0.9,0.0284625,23.379844
7,slac,0.1,3.2,p,R,e,NC,1,0.485,0.188,0.062,0.033,0.045,0.024,0.013,3,0.344,1.9,0.0285775,29.679844
8,slac,0.175,0.8,p,R,e,NC,1,0.396,0.152,0.059,0.021,0.042,0.032,0.018,3,0.318,0.2,0.027554,4.651272571428572
9,slac,0.175,1.0,p,R,e,NC,1,0.203,0.058,0.033,0.011,0.025,0.017,0.008,4,0.589,0.4,0.0253345,5.594129714285714
10,slac,0.175,1.25,p,R,e,NC,1,0.501,0.099,0.043,0.019,0.017,0.03,0.016,4,0.438,1.3,0.0287615,6.772701142857143
11,slac,0.175,1.6,p,R,e,NC,1,0.386,0.085,0.036,0.017,0.018,0.023,0.011,7,0.653,0.1,0.027439,8.422701142857145
12,slac,0.175,2.0,p,R,e,NC,1,0.248,0.052,0.026,0.012,0.017,0.012,0.008,8,0.654,0.9,0.025852000000000003,10.30841542857143
13,slac,0.175,2.5,p,R,e,NC,1,0.26,0.052,0.022,0.009,0.015,0.011,0.006,8,0.578,0.3,0.025989999999999996,12.665558285714287
14,slac,0.175,3.2,p,R,e,NC,1,0.437,0.123,0.049,0.03,0.029,0.022,0.014,6,0.389,2.0,0.0280255,15.965558285714287
15,slac,0.175,4.0,p,R,e,NC,1,0.223,0.073,0.043,0.038,0.015,0.012,0.006,8,0.447,0.1,0.025564499999999997,19.736986857142856
16,slac,0.175,5.0,p,R,e,NC,1,0.922,0.361,0.051,0.029,0.038,0.012,0.012,4,0.15,1.0,0.033603,24.45127257142857
17,slac,0.25,1.0,p,R,e,NC,1,0.168,0.126,0.062,0.029,0.03,0.043,0.018,4,0.223,0.5,0.024932000000000003,3.8798440000000003
18,slac,0.25,1.25,p,R,e,NC,1,0.405,0.111,0.049,0.018,0.03,0.03,0.015,2,0.463,0.0,0.0276575,4.629844
19,slac,0.25,1.6,p,R,e,NC,1,0.267,0.061,0.029,0.01,0.021,0.015,0.007,8,0.61,0.1,0.0260705,5.679844000000001
20,slac,0.25,2.0,p,R,e,NC,1,0.288,0.074,0.029,0.013,0.021,0.012,0.009,6,0.658,0.2,0.026312,6.879844
21,slac,0.25,2.5,p,R,e,NC,1,0.223,0.071,0.028,0.015,0.016,0.014,0.01,5,0.463,0.3,0.025564499999999997,8.379844
22,slac,0.25,3.2,p,R,e,NC,1,0.21,0.053,0.023,0.009,0.017,0.01,0.006,8,0.574,0.8,0.025415,10.479844
23,slac,0.25,4.0,p,R,e,NC,1,-0.02,0.089,0.024,0.011,0.009,0.016,0.009,4,0.358,1.0,0.02277,12.879843999999999
24,slac,0.25,5.0,p,R,e,NC,1,0.084,0.052,0.054,0.052,0.007,0.01,0.008,8,0.525,0.3,0.023966,15.879843999999999
25,slac,0.25,6.4,p,R,e,NC,1,0.696,0.37,0.088,0.048,0.049,0.038,0.039,3,0.195,1.4,0.031003999999999997,20.079844
26,slac,0.25,8.0,p,R,e,NC,1,0.46,0.403,0.051,0.028,0.028,0.022,0.023,3,0.168,0.2,0.02829,24.879844
27,slac,0.325,1.0,p,R,e,NC,1,0.262,0.187,0.083,0.039,0.033,0.06,0.026,3,0.183,0.0,0.026013,2.9567670769230765
28,slac,0.325,1.25,p,R,e,NC,1,0.767,0.388,0.189,0.088,0.053,0.144,0.066,3,0.173,2.6,0.0318205,3.475997846153845
29,slac,0.325,1.6,p,R,e,NC,1,0.261,0.104,0.038,0.016,0.027,0.02,0.01,4,0.357,3.2,0.0260015,4.202920923076924
30,slac,0.325,2.0,p,R,e,NC,1,0.158,0.076,0.028,0.01,0.023,0.011,0.006,5,0.531,2.2,0.024817,5.033690153846154
31,slac,0.325,2.5,p,R,e,NC,1,0.197,0.075,0.026,0.013,0.017,0.013,0.007,4,0.606,0.2,0.0252655,6.072151692307692
32,slac,0.325,3.2,p,R,e,NC,1,0.181,0.082,0.036,0.017,0.024,0.017,0.012,5,0.419,0.5,0.0250815,7.525997846153847
33,slac,0.325,4.0,p,R,e,NC,1,0.114,0.06,0.036,0.022,0.016,0.009,0.023,6,0.686,1.1,0.024311,9.187536307692307
34,slac,0.325,5.0,p,R,e,NC,1,0.085,0.069,0.026,0.02,0.006,0.013,0.008,5,0.57,3.1,0.0239775,11.264459384615382
35,slac,0.325,6.4,p,R,e,NC,1,0.051,0.061,0.019,0.01,0.011,0.009,0.008,9,0.438,1.3,0.0235865,14.172151692307692
36,slac,0.325,8.0,p,R,e,NC,1,0.191,0.122,0.054,0.018,0.008,0.022,0.045,4,0.324,0.5,0.025196499999999997,17.49522861538461
37,slac,0.325,10.0,p,R,e,NC,1,0.11,0.216,0.042,0.025,0.017,0.02,0.02,3,0.202,0.2,0.024265,21.649074769230765
38,slac,0.4,2.0,p,R,e,NC,1,0.265,0.16,0.05,0.002,0.05,0.002,0.001,5,0.45,1.7,0.0260475,3.8798440000000003
39,slac,0.4,2.5,p,R,e,NC,1,0.37,0.212,0.086,0.017,0.078,0.027,0.016,4,0.169,0.4,0.027255,4.629844
40,slac,0.4,3.2,p,R,e,NC,1,0.218,0.064,0.032,0.013,0.026,0.012,0.009,5,0.544,0.4,0.025507,5.679844
41,slac,0.4,4.0,p,R,e,NC,1,0.034,0.065,0.043,0.029,0.007,0.009,0.03,4,0.755,1.2,0.023391,6.879844
42,slac,0.4,5.0,p,R,e,NC,1,-0.021,0.044,0.047,0.031,0.008,0.007,0.033,8,0.709,2.1,0.0227585,8.379844
43,slac,0.4,6.4,p,R,e,NC,1,-0.028,0.053,0.016,0.007,0.009,0.008,0.006,7,0.549,0.3,0.022678,10.479843999999998
44,slac,0.4,8.0,p,R,e,NC,1,0.15,0.075,0.035,0.027,0.005,0.014,0.016,7,0.449,0.9,0.024724999999999997,12.879843999999999
45,slac,0.4,10.0,p,R,e,NC,1,0.124,0.087,0.044,0.035,0.007,0.01,0.023,8,0.538,1.4,0.024426,15.879843999999999
46,slac,0.4,12.5,p,R,e,NC,1,0.097,0.171,0.142,0.125,0.01,0.016,0.065,4,0.388,2.9,0.024115499999999998,19.629844
47,slac,0.475,2.0,p,R,e,NC,1,0.656,0.426,0.123,0.072,0.075,0.058,0.032,2,0.23,0.0,0.030544,3.090370315789473
48,slac,0.475,2.5,p,R,e,NC,1,0.094,0.088,0.028,0.01,0.021,0.013,0.007,5,0.433,1.4,0.024080999999999998,3.6430018947368428
49,slac,0.475,3.2,p,R,e,NC,1,0.231,0.09,0.031,0.011,0.026,0.011,0.007,3,0.493,0.5,0.0256565,4.416686105263158
50,slac,0.475,4.0,p,R,e,NC,1,-0.001,0.14,0.033,0.016,0.006,0.021,0.019,4,0.275,0.2,0.022988500000000002,5.300896631578947
51,slac,0.475,5.0,p,R,e,NC,1,0.076,0.047,0.05,0.028,0.01,0.006,0.04,7,0.741,1.4,0.023874,6.406159789473685
52,slac,0.475,6.4,p,R,e,NC,1,0.083,0.098,0.022,0.01,0.011,0.015,0.008,4,0.542,0.8,0.0239545,7.953528210526317
53,slac,0.475,8.0,p,R,e,NC,1,-0.07,0.102,0.033,0.016,0.005,0.012,0.026,6,0.644,0.4,0.022195,9.721949263157892
54,slac,0.475,10.0,p,R,e,NC,1,0.076,0.069,0.039,0.02,0.008,0.009,0.031,8,0.594,1.3,0.023874,11.932475578947368
55,slac,0.475,12.5,p,R,e,NC,1,0.146,0.097,0.085,0.063,0.002,0.015,0.056,5,0.471,0.5,0.024679,14.695633473684211
56,slac,0.55,2.5,p,R,e,NC,1,0.427,0.37,0.045,0.018,0.031,0.023,0.012,5,0.387,5.0,0.0279105,2.9252985454545453
57,slac,0.55,4.0,p,R,e,NC,1,0.183,0.116,0.044,0.016,0.015,0.019,0.032,5,0.402,0.1,0.0251045,4.152571272727272
58,slac,0.55,5.0,p,R,e,NC,1,0.074,0.112,0.048,0.026,0.006,0.01,0.038,5,0.748,0.8,0.023850999999999997,4.97075309090909
59,slac,0.55,6.4,p,R,e,NC,1,-0.002,0.04,0.043,0.017,0.004,0.007,0.039,7,0.714,1.2,0.022977,6.116207636363637
60,slac,0.55,8.0,p,R,e,NC,1,0.073,0.052,0.02,0.009,0.01,0.007,0.013,11,0.521,0.7,0.0238395,7.425298545454545
61,slac,0.55,10.0,p,R,e,NC,1,0.067,0.055,0.044,0.029,0.003,0.005,0.032,9,0.626,0.4,0.0237705,9.061662181818178
62,slac,0.55,12.5,p,R,e,NC,1,-0.033,0.056,0.07,0.054,0.003,0.007,0.044,9,0.509,0.7,0.0226205,11.107116727272725
63,slac,0.55,16.0,p,R,e,NC,1,0.257,0.134,0.099,0.065,0.003,0.014,0.073,4,0.448,0.1,0.0259555,13.970753090909088
64,slac,0.625,4.0,p,R,e,NC,1,0.643,0.646,0.276,0.087,0.208,0.129,0.093,3,0.126,1.2,0.030394499999999998,3.2798440000000006
65,slac,0.625,5.0,p,R,e,NC,1,1.087,1.168,0.274,0.16,0.144,0.133,0.103,3,0.151,0.4,0.0355005,3.8798440000000003
66,slac,0.625,6.4,p,R,e,NC,1,0.089,0.037,0.051,0.017,0.003,0.007,0.048,7,0.726,0.5,0.0240235,4.719844
67,slac,0.625,8.0,p,R,e,NC,1,-0.03,0.06,0.023,0.008,0.01,0.007,0.018,8,0.501,1.2,0.022654999999999998,5.679844000000001
68,slac,0.625,10.0,p,R,e,NC,1,0.128,0.061,0.052,0.021,0.004,0.009,0.046,6,0.642,0.5,0.024472,6.8798439999999985
69,slac,0.625,12.5,p,R,e,NC,1,0.059,0.055,0.033,0.022,0.008,0.007,0.023,11,0.623,0.4,0.0236785,8.379843999999999
70,slac,0.625,16.0,p,R,e,NC,1,0.005,0.075,0.074,0.045,0.003,0.01,0.058,5,0.519,1.8,0.023057499999999998,10.479844
71,slac,0.7,4.0,p,R,e,NC,1,0.491,0.525,0.076,0.011,0.069,0.013,0.027,3,0.301,4.7,0.028646500000000002,2.594129714285714
72,slac,0.7,6.4,p,R,e,NC,1,0.081,0.044,0.047,0.013,0.003,0.006,0.045,9,0.716,0.8,0.023931499999999998,3.622701142857144
73,slac,0.7,8.0,p,R,e,NC,1,0.097,0.052,0.049,0.013,0.004,0.006,0.047,9,0.697,1.5,0.024115499999999998,4.308415428571429
74,slac,0.7,10.0,p,R,e,NC,1,0.15,0.108,0.039,0.028,0.005,0.01,0.024,7,0.376,0.8,0.024724999999999997,5.165558285714287
75,slac,0.7,12.5,p,R,e,NC,1,0.03,0.054,0.033,0.01,0.007,0.004,0.03,10,0.651,0.3,0.023344999999999998,6.236986857142856
