,exp,Elab,*E',*theta,Q2,x,*epsilon,sigma(ub/sr/GeV/nucleon),*nu,*y,*y+,*W2,*value,%sys_c,%sys_u,obs,target,lepton beam,current,units,*%norm_c
0,clas6,2.474,0.816191979269748,23.1550097086964,0.325,0.1045,0.02237574304701477,0.1291,1.65780802073025,0.670092166827103,1.13538853339472,3.66489184688995,0.237769633943046,0.849031758326878,4.29504260263362,sig_r,d,e,nc,1,1
1,clas6,2.474,0.94764812188272,21.4685201735787,0.325,0.1135,0.004358634304555639,0.1678,1.52635187811728,0.616957105140372,1.17327121430833,3.41828012334802,0.237155847266638,1.64016686531585,4.27348033373063,sig_r,d,e,nc,1,1
2,clas6,2.474,0.712824756018523,26.6742624652029,0.375,0.1135,0.05408926561203219,0.075917,1.76117524398148,0.711873582854275,1.11365070341787,3.80880875770925,0.230854524433705,0.288538798951486,4.2634719496292,sig_r,d,e,nc,1,1
3,clas6,2.474,0.842217222923284,24.5052087109476,0.375,0.1225,0.36957239889446936,0.099336,1.63178277707672,0.659572666562941,1.1465246405117,3.56606848979592,0.230085924971777,0.3843621647741,4.21398083272932,sig_r,d,e,nc,1,1
4,clas6,2.474,0.953898173445645,23.0051934048326,0.375,0.1315,0.02108561342740768,0.12783,1.52010182655435,0.614430811056732,1.17929747062301,3.35655502661597,0.236760166074529,0.500876163654854,4.19846671360401,sig_r,d,e,nc,1,1
5,clas6,2.474,1.05127124418578,21.9000714245941,0.375,0.1405,0.00016226755387820405,0.15224,1.42272875581422,0.575072253764842,1.21119746068113,3.17388314590747,0.233157665523729,0.610411192853389,4.16933788754598,sig_r,d,e,nc,1,1
6,clas6,2.474,1.13692046694383,21.04922832057,0.375,0.1495,0.021982063305951264,0.18994,1.33707953305617,0.540452519424483,1.24181775806394,3.01320520401338,0.246555261223034,0.705643887543435,4.17068547962514,sig_r,d,e,nc,1,1
7,clas6,2.474,1.21284296408897,20.3724958773887,0.375,0.1585,0.09500649691303235,0.22829,1.26115703591103,0.509764363747383,1.27096485021264,2.87077459936908,0.256003847630516,0.7946909632485,4.16930220333786,sig_r,d,e,nc,1,1
8,clas6,2.474,1.28060662572001,19.8205748352529,0.375,0.1675,0.27237499117937797,0.24865,1.19339337427999,0.482374039725136,1.29857050591111,2.74364997014925,0.244579108228191,0.897526643876935,4.15966217574904,sig_r,d,e,nc,1,1
9,clas6,2.474,1.34145954565497,19.36136871014,0.375,0.1765,0.6229697683223286,0.25917,1.13254045434503,0.457777063195242,1.32463958435781,2.62948989235127,0.226407961196055,1.10059034610487,4.13126519273064,sig_r,d,e,nc,1,1
10,clas6,2.474,1.39640760004368,18.9730265245605,0.375,0.1855,0.9696448554016933,0.2838,1.07759239995632,0.435566855277414,1.34921864602206,2.52640734231806,0.222485095762235,1.40176180408739,4.11451726568006,sig_r,d,e,nc,1,1
11,clas6,2.474,1.44627048744526,18.6401275099438,0.375,0.1945,0.9222417659337803,0.31283,1.02772951255474,0.415412090765862,1.37237689478338,2.4328645655527,0.222020384942451,1.86874660358661,4.12108813093373,sig_r,d,e,nc,1,1
12,clas6,2.474,0.624646185979722,30.4177728744363,0.425,0.1225,0.15682294674093936,0.048874,1.84935381402028,0.747515688771333,1.098466714732,3.92423175510204,0.231910692446861,0.230756639522036,4.36489749150878,sig_r,d,e,nc,1,1
13,clas6,2.474,0.751217929905065,27.681023259582,0.425,0.1315,0.005817876334559574,0.065364,1.72278207009494,0.696354919197629,1.12691872241087,3.6867831634981,0.234182425756503,0.270347591946637,4.25968422985129,sig_r,d,e,nc,1,1
14,clas6,2.474,0.861574076743886,25.8146954903041,0.425,0.1405,0.35812726688320623,0.082101,1.61242592325611,0.65174855426682,1.15599745677064,3.47975503202847,0.234003628535797,0.318936431955762,4.23490578677483,sig_r,d,e,nc,1,1
15,clas6,2.474,0.958643195869672,24.4515439717431,0.425,0.1495,0.38335625324359585,0.10043,1.51535680413033,0.612512855347748,1.18486467458614,3.29765336454849,0.235882920001353,0.37698894752564,4.23339639549935,sig_r,d,e,nc,1,1
16,clas6,2.474,1.04468869263417,23.4080658530217,0.425,0.1585,0.05945871965055574,0.12304,1.42931130736583,0.577732945580368,1.21302785256362,3.1362320126183,0.244320191427581,0.42478055916775,4.22041612483745,sig_r,d,e,nc,1,1
17,clas6,2.474,1.12148750914935,22.5814515344092,0.425,0.1675,0.008638116911391274,0.15075,1.35251249085065,0.546690578355154,1.24020781906737,2.99215743283582,0.258079539144132,0.470852404643449,4.22686567164179,sig_r,d,e,nc,1,1
18,clas6,2.474,1.1904541517423,21.9092564693371,0.425,0.1765,0.0001720685357923438,0.17863,1.2835458482577,0.518814004954608,1.26625834914321,2.86277601133144,0.267777858259124,0.505934053630409,4.22717348709623,sig_r,d,e,nc,1,1
19,clas6,2.474,1.25272861338284,21.3511966220479,0.425,0.1855,0.012028214030107466,0.19655,1.22127138661716,0.493642435981069,1.29111636995457,2.7459491212938,0.26128033277579,0.548511829051132,4.21256677690155,sig_r,d,e,nc,1,1
20,clas6,2.474,1.30923988577129,20.8800381125172,0.425,0.1945,0.04394250824216554,0.20569,1.16476011422871,0.470800369534644,1.31477063620006,2.63993397429306,0.245032854835569,0.599834702707959,4.21493509650445,sig_r,d,e,nc,1,1
21,clas6,2.474,1.3607526180959,20.476666120623,0.425,0.2035,0.10239271509442356,0.22478,1.1132473819041,0.449978731569967,1.33724178304077,2.54329608845209,0.242105194647815,0.634487054008364,4.22929086217635,sig_r,d,e,nc,1,1
22,clas6,2.474,1.40790191897655,20.1272456257197,0.425,0.2125,0.19786213438996278,0.25821,1.06609808102345,0.430920808821121,1.35856951314819,2.454844,0.253372705519381,0.657216993919678,4.21478641415902,sig_r,d,e,nc,1,1
23,clas6,2.474,1.4512196739617,19.8215025803507,0.425,0.2215,0.34111007467587245,0.29532,1.0227803260383,0.413411611171505,1.3788043252238,2.37357989164786,0.265756139100795,0.690708384125694,4.23032642557226,sig_r,d,e,nc,1,1
24,clas6,2.474,1.49115469753803,19.5516392790356,0.425,0.2305,0.5325226401953809,0.32631,0.98284530246197,0.397269726136609,1.39800217034683,2.29866178741865,0.270850023712101,0.743280929177776,4.24167202966504,sig_r,d,e,nc,1,1
25,clas6,2.474,1.52808834147188,19.3116255674659,0.425,0.2395,0.7442324170904729,0.32478,0.945911658528117,0.382341009914356,1.41622101534901,2.22937427139875,0.24992185396142,0.82646714699181,4.21146622328961,sig_r,d,e,nc,1,1
