,x,Q2,obs,target,curent,lepton beam,units,value,dstat_u,dsys,%dVX_c,%dSM_c,%dRC_c,%dE_c,%dEp_c
0,0.0015,0.16,sig,d/p,mu,nc,1,0.9815,0.0203,0.0109,0.1,0.0,1.1,0.0,0.0
1,0.0015,0.25,sig,d/p,mu,nc,1,1.003,0.0212,0.0134,0.1,0.0,1.3,0.1,0.1
2,0.0015,0.35,sig,d/p,mu,nc,1,0.9675,0.0205,0.0112,0.2,0.0,1.1,0.0,0.0
3,0.0015,0.45,sig,d/p,mu,nc,1,1.033,0.0258,0.0195,0.1,0.0,1.9,0.0,0.0
4,0.0015,0.6,sig,d/p,mu,nc,1,0.9912,0.0176,0.0121,0.1,0.0,1.2,0.0,0.0
5,0.003,0.17,sig,d/p,mu,nc,1,1.008,0.0277,0.007,0.1,0.0,0.7,0.1,0.1
6,0.003,0.25,sig,d/p,mu,nc,1,0.9824,0.0171,0.0047,0.1,0.0,0.5,0.0,0.0
7,0.003,0.35,sig,d/p,mu,nc,1,0.9825,0.0137,0.0113,0.2,0.0,1.1,0.0,0.0
8,0.003,0.45,sig,d/p,mu,nc,1,0.9736,0.0129,0.0099,0.2,0.0,1.0,0.0,0.0
9,0.003,0.63,sig,d/p,mu,nc,1,0.9704,0.0118,0.0057,0.2,0.0,0.6,0.0,0.0
10,0.003,0.88,sig,d/p,mu,nc,1,0.9921,0.0108,0.0073,0.1,0.0,0.7,0.0,0.0
11,0.003,1.12,sig,d/p,mu,nc,1,0.9959,0.0116,0.0078,0.1,0.0,0.8,0.0,0.0
12,0.005,0.16,sig,d/p,mu,nc,1,1.005,0.0615,0.003,0.2,0.0,0.2,0.0,0.0
13,0.005,0.25,sig,d/p,mu,nc,1,1.0,0.025,0.0037,0.1,0.0,0.3,-0.1,-0.1
14,0.005,0.35,sig,d/p,mu,nc,1,1.014,0.0208,0.0043,0.2,0.0,0.4,-0.1,-0.1
15,0.005,0.45,sig,d/p,mu,nc,1,0.9945,0.0172,0.0046,0.2,0.0,0.4,0.0,0.0
16,0.005,0.61,sig,d/p,mu,nc,1,0.9795,0.0092,0.0094,0.2,0.0,0.9,0.0,0.0
17,0.005,0.88,sig,d/p,mu,nc,1,0.9966,0.0157,0.0032,0.2,0.0,0.2,0.0,0.0
18,0.005,1.13,sig,d/p,mu,nc,1,0.9893,0.0137,0.0033,0.2,0.0,0.3,0.0,0.0
19,0.005,1.38,sig,d/p,mu,nc,1,0.9959,0.0128,0.0032,0.1,0.0,0.3,0.0,0.0
20,0.005,1.71,sig,d/p,mu,nc,1,0.9842,0.0098,0.0048,0.1,0.0,0.5,0.0,0.0
21,0.008,0.16,sig,d/p,mu,nc,1,0.9817,0.0547,0.0041,0.2,-0.3,0.2,0.0,0.0
22,0.008,0.25,sig,d/p,mu,nc,1,1.011,0.025,0.003,0.1,0.0,0.2,0.1,0.1
23,0.008,0.35,sig,d/p,mu,nc,1,0.9993,0.0213,0.0028,0.2,0.0,0.2,0.0,0.0
24,0.008,0.45,sig,d/p,mu,nc,1,1.02,0.018,0.0035,0.2,0.0,0.3,-0.1,-0.1
25,0.008,0.64,sig,d/p,mu,nc,1,0.9618,0.0091,0.0036,0.2,0.0,0.3,0.0,0.0
26,0.008,0.86,sig,d/p,mu,nc,1,0.9775,0.0083,0.0051,0.2,0.0,0.5,0.0,0.0
27,0.008,1.12,sig,d/p,mu,nc,1,0.9642,0.0088,0.0054,0.2,0.0,0.5,0.0,0.0
28,0.008,1.37,sig,d/p,mu,nc,1,0.9714,0.01,0.0045,0.2,0.0,0.4,0.0,0.0
29,0.008,1.75,sig,d/p,mu,nc,1,0.9891,0.0083,0.002,0.1,0.0,0.2,0.0,0.0
30,0.008,2.24,sig,d/p,mu,nc,1,0.975,0.0086,0.0023,0.1,0.0,0.2,0.0,0.0
31,0.008,2.73,sig,d/p,mu,nc,1,0.9837,0.0097,0.0042,0.2,0.0,0.4,0.0,0.0
32,0.008,3.46,sig,d/p,mu,nc,1,0.9924,0.0122,0.0084,0.3,0.0,0.8,0.0,0.0
33,0.0125,0.16,sig,d/p,mu,nc,1,0.9683,0.0543,0.0065,0.2,-0.6,0.2,0.0,0.0
34,0.0125,0.26,sig,d/p,mu,nc,1,1.008,0.032,0.0034,0.2,-0.2,0.2,0.0,0.0
35,0.0125,0.35,sig,d/p,mu,nc,1,0.953,0.0233,0.0026,0.2,-0.1,0.2,0.0,0.0
36,0.0125,0.45,sig,d/p,mu,nc,1,0.969,0.0205,0.0022,0.2,0.0,0.2,0.0,0.0
37,0.0125,0.62,sig,d/p,mu,nc,1,0.9872,0.0127,0.0023,0.2,0.1,0.1,0.0,0.0
38,0.0125,0.88,sig,d/p,mu,nc,1,0.968,0.0108,0.0025,0.2,0.0,0.1,0.0,0.0
39,0.0125,1.12,sig,d/p,mu,nc,1,0.9624,0.0092,0.0035,0.2,0.0,0.3,0.0,0.0
40,0.0125,1.37,sig,d/p,mu,nc,1,0.9797,0.0098,0.0035,0.2,0.0,0.3,0.0,0.0
41,0.0125,1.74,sig,d/p,mu,nc,1,0.9747,0.0072,0.003,0.2,0.0,0.2,0.0,0.0
42,0.0125,2.23,sig,d/p,mu,nc,1,0.9738,0.0085,0.0041,0.2,0.0,0.4,0.0,0.0
43,0.0125,2.74,sig,d/p,mu,nc,1,0.9813,0.0103,0.0016,0.1,0.0,0.1,0.0,0.0
44,0.0125,3.46,sig,d/p,mu,nc,1,0.9844,0.0087,0.0022,0.1,0.0,0.2,0.0,0.0
45,0.0125,4.47,sig,d/p,mu,nc,1,0.9734,0.0095,0.0043,0.2,0.0,0.4,0.0,0.0
46,0.0125,5.41,sig,d/p,mu,nc,1,0.9821,0.0134,0.0058,0.1,0.0,0.6,0.0,0.0
47,0.0175,0.25,sig,d/p,mu,nc,1,0.9573,0.0402,0.0064,0.2,-0.6,0.2,0.0,0.0
48,0.0175,0.35,sig,d/p,mu,nc,1,0.9747,0.0301,0.0033,0.2,-0.2,0.2,0.0,0.0
49,0.0175,0.45,sig,d/p,mu,nc,1,1.007,0.0268,0.0028,0.2,-0.1,0.2,-0.1,-0.1
50,0.0175,0.62,sig,d/p,mu,nc,1,0.9939,0.0161,0.0025,0.2,0.1,0.1,0.0,0.0
51,0.0175,0.88,sig,d/p,mu,nc,1,0.9645,0.0155,0.0021,0.2,0.0,0.1,0.0,0.0
52,0.0175,1.12,sig,d/p,mu,nc,1,0.9685,0.0129,0.0026,0.2,0.0,0.1,0.0,0.0
53,0.0175,1.37,sig,d/p,mu,nc,1,0.9834,0.0119,0.0026,0.2,0.0,0.1,0.0,0.0
54,0.0175,1.75,sig,d/p,mu,nc,1,0.9925,0.0084,0.0025,0.2,0.0,0.2,0.0,0.0
55,0.0175,2.24,sig,d/p,mu,nc,1,0.9763,0.0087,0.0022,0.2,0.0,0.1,0.0,0.0
