,exp,length ,x,Q2,Elab,E',theta,epsilon,target,curent,lepton beam,unit,obs,*value,%stat_u,%sys_u,*%norm_c,*%dRC_u
0,e140x,4cm,0.1,0.5,3.3,0.636,28.261,0.342,p,e,nc,1,sig_r,0.236740341418622,0.953134510042605,0.692026780279976,1.73205080756888,1
1,e140x,4cm,0.1,0.5,4.0,1.336,17.598,0.579,p,e,nc,1,sig_r,0.256509393794759,0.745018679950187,0.707451224574512,1.73205080756888,1
2,e140x,4cm,0.1,0.5,4.95,2.286,12.067,0.746,p,e,nc,1,sig_r,0.26517601599866,0.625600698995194,0.740498034076016,1.73205080756888,1
3,e140x,4cm,0.1,1.0,6.45,1.121,21.432,0.322,p,e,nc,1,sig_r,0.275306736575512,1.00618811881188,0.75990099009901,1.73205080756888,1
4,e140x,4cm,0.1,1.0,6.9,1.571,17.47,0.419,p,e,nc,1,sig_r,0.283042980790732,1.48601811736904,0.70106341079165,1.73205080756888,1
5,e140x,4cm,0.1,1.0,7.99,2.661,12.45,0.588,p,e,nc,1,sig_r,0.303598342827263,0.766755555555555,0.718933333333333,1.73205080756888,1
6,e140x,15cm,0.35,3.0,5.6,1.032,42.223,0.297,p,e,nc,1,sig_r,0.246273142430797,1.1956241956242,0.705276705276705,1.73205080756888,1
7,e140x,15cm,0.35,3.0,6.45,1.882,28.783,0.488,p,e,nc,1,sig_r,0.249068667492659,0.867329047340736,0.715371127995324,1.73205080756888,1
8,e140x,15cm,0.35,3.0,7.99,3.422,19.066,0.69,p,e,nc,1,sig_r,0.261079593764419,0.656472752356864,0.729937916762474,1.73205080756888,1
9,e140x,15cm,0.35,3.0,9.75,5.182,13.996,0.807,p,e,nc,1,sig_r,0.266517846829264,0.69971671388102,0.751841359773371,1.73205080756888,1
10,e140x,15cm,0.5,3.6,4.95,1.113,47.675,0.335,p,e,nc,1,sig_r,0.154459868935607,1.26644118752349,0.81072278592008,1.73205080756888,1
11,e140x,15cm,0.5,3.6,5.6,1.763,35.145,0.495,p,e,nc,1,sig_r,0.157395394316431,0.783333333333333,0.757333333333334,1.73205080756888,1
12,e140x,15cm,0.5,3.6,6.45,2.613,26.721,0.635,p,e,nc,1,sig_r,0.163790377422423,0.53019410496046,0.824586628324946,1.73205080756888,1
13,e140x,15cm,0.5,3.6,6.9,3.063,23.817,0.688,p,e,nc,1,sig_r,0.159661450626291,1.03306497987349,0.794134560092007,1.73205080756888,1
14,e140x,15cm,0.5,3.6,9.75,5.913,14.355,0.861,p,e,nc,1,sig_r,0.1685746703143,0.607733333333333,0.8256,1.73205080756888,1
