,Elab,Q2,x,*y,*y+,*W2,*nu,exp,*Ep,*value,%sys_c,%sys_u,obs,target,curent,lepton beam,units,*epsilon,*%norm_c
0,1.515,0.225,0.1315,0.602020525368061,1.20740246469866,2.36587061596958,0.912061095932613,clas6,0.602938904067387,0.27761912011133,0.205818181818182,4.78909090909091,sig_r,p,e,nc,1,0.618637255291633,1
1,1.515,0.225,0.1405,0.56345693299573,1.23958465181984,2.25626748754448,0.853637253488531,clas6,0.661362746511469,0.301378233510691,0.220712694877506,3.49944320712695,sig_r,p,e,nc,1,0.664796333456025,1
2,1.515,0.225,0.1495,0.529536448735118,1.27035075553911,2.15986072240803,0.802247719833703,clas6,0.712752280166297,0.234387918470856,0.24383186110265,3.20438623210478,sig_r,p,e,nc,1,0.702099240048792,1
3,1.515,0.225,0.1585,0.49946813303407,1.29954695231875,2.07440235962145,0.756694221546616,clas6,0.758305778453384,0.194962279428072,0.280006347191368,3.66232941923199,sig_r,p,e,nc,1,0.732600641910475,1
4,1.515,0.225,0.1675,0.472631039318806,1.32713282316031,1.99812758208955,0.716036024567992,clas6,0.798963975432008,0.179294437890402,0.320182094081942,3.57814871016692,sig_r,p,e,nc,1,0.757816475744385,1
5,1.515,0.225,0.1765,0.448530873007933,1.35313300049574,1.92963153541076,0.679524272607018,clas6,0.835475727392982,0.172279114244781,0.358729266235592,2.79505201012089,sig_r,p,e,nc,1,0.778876467522165,1
6,1.515,0.225,0.1855,0.426769267309434,1.37760827537131,1.86778200539084,0.646555439973793,clas6,0.868444560026207,0.168482489658928,0.396743344533471,2.8043422072887,sig_r,p,e,nc,1,0.796631874627052,1
7,1.515,0.225,0.1945,0.407021589130592,1.40063819822755,1.81165633933162,0.616637707532846,clas6,0.898362292467154,0.169840067439994,0.432690072076261,10.274354801209,sig_r,p,e,nc,1,0.811731409801061,1
8,1.515,0.225,0.2035,0.389020634328747,1.42231058774639,1.76049510565111,0.589366261008052,clas6,0.925633738991948,0.174335792459124,0.465342437409477,5.39830333126422,sig_r,p,e,nc,1,0.824674961275971,1
9,1.515,0.225,0.2125,0.372544466286589,1.44271524925793,1.71366752941176,0.564404866424182,clas6,0.950595133575818,0.190445831269189,0.486853560856695,5.0339543792443,sig_r,p,e,nc,1,0.83585188801237,1
10,1.515,0.225,0.2215,0.357407219349436,1.46194028421457,1.67064535440181,0.541471937314396,clas6,0.973528062685605,0.216768811311765,0.506717578843162,4.15075661151181,sig_r,p,e,nc,1,0.845568572245013,1
11,1.515,0.225,0.2305,0.343452056771801,1.48007000422752,1.63098282863341,0.520329866009278,clas6,0.994670133990722,0.245466603627949,0.528367560041768,3.69648451096415,sig_r,p,e,nc,1,0.854068442962466,1
12,1.515,0.225,0.2395,0.330545716433821,1.49718384025545,1.59430120250522,0.500776760397238,clas6,1.01422323960276,0.293374704235592,0.536141304347826,6.45199275362319,sig_r,p,e,nc,1,0.861546678490685,1
13,1.515,0.225,0.2485,0.318574241794366,1.51335586641647,1.56027659557344,0.482639976318465,clas6,1.03236002368153,0.350237995408667,0.547334754797441,4.8997867803838,sig_r,p,e,nc,1,0.868161113388356,1
14,1.515,0.225,0.2575,0.307439608100583,1.52865469889822,1.52863040776699,0.465771006272383,clas6,1.04922899372762,0.401773400462283,0.557018054746651,3.55853232382062,sig_r,p,e,nc,1,0.874040411017275,1
15,1.515,0.225,0.2665,0.297057032217261,1.54314361842555,1.49912167354597,0.450041403809151,clas6,1.06495859619085,0.437797403489976,0.571572580645161,2.66179435483871,sig_r,p,e,nc,1,0.879290246801221,1
16,1.515,0.225,0.2755,0.287352809749184,1.55688082024273,1.47154091470054,0.435339506770013,clas6,1.07966049322999,0.430112047927126,0.603105288694808,2.1300339640951,sig_r,p,e,nc,1,0.883998029994816,1
17,1.515,0.225,0.2845,0.278262562692092,1.56991973088213,1.4457051599297,0.421567782478519,clas6,1.09343221752148,0.387066034928986,0.643660531697342,3.68967280163599,sig_r,p,e,nc,1,0.888236541470772,1
18,1.515,0.225,0.2935,0.269729809491993,1.58230935361495,1.42145388074957,0.40864066138037,clas6,1.10635933861963,0.326529040050001,0.69815668202765,5.23617511520737,sig_r,p,e,nc,1,0.892066760093969,1
19,1.515,0.225,0.3025,0.261704790366612,1.59409461903795,1.39864565289256,0.396482757405417,clas6,1.11851724259458,0.263392239111537,0.790476190476191,6.63945578231293,sig_r,p,e,nc,1,0.895540076321179,1
20,1.515,0.225,0.3115,0.254143496262922,1.60531672663724,1.3771553964687,0.385027396838326,clas6,1.12997260316167,0.207121529776556,0.917423616845582,8.84393063583815,sig_r,p,e,nc,1,0.898700039104382,1
21,1.515,0.225,0.3205,0.247006861422465,1.61601346921519,1.35687208112324,0.374215395055035,clas6,1.14078460494497,0.161046380062716,1.06337599024985,10.2071907373553,sig_r,p,e,nc,1,0.901583744467361,1
22,1.515,0.225,0.3295,0.240260088272838,1.62621953594154,1.33769680728376,0.363994033733349,clas6,1.15100596626665,0.130151014214378,1.20876474837467,11.0594750782567,sig_r,p,e,nc,1,0.904222946831477,1
23,1.515,0.225,0.3385,0.23387208001743,1.63596679224717,1.31954119350074,0.354316201226406,clas6,1.16068379877359,0.107639849225196,1.36457605810867,11.0811565861154,sig_r,p,e,nc,1,0.906644954239818,1
24,1.515,0.225,0.3475,0.227814961398274,1.6452845363107,1.30232601438849,0.345139666518384,clas6,1.16986033348162,0.0849890505317149,1.58721523291398,11.1339680380823,sig_r,p,e,nc,1,0.908873353958712,1
25,1.515,0.225,0.3565,0.222063672050211,1.65419973281435,1.28598004488079,0.336426463156069,clas6,1.17857353684393,0.0696489644136676,1.76941505290477,11.213815132761,sig_r,p,e,nc,1,0.910928604048051,1
