,W2,Q2,x,nu,obs,target,curent,lepton beam,units,value,F2stat_u,F2angle_c,F2rad_c,F2charge_c
0,0.71,2,1.0931,0.97501,F2,d,e,NC,1,0.0189455,0.00128125,0.0,0.0,0.0
1,0.75,2,1.0697,0.99632,F2,d,e,NC,1,0.027941,0.00131605,0.0,0.0,0.0
2,0.79,2,1.0473,1.0176,F2,d,e,NC,1,0.0427555,0.00100595,0.0009081,5.5585e-05,4.9483e-07
3,0.83,2,1.0258,1.039,F2,d,e,NC,1,0.054635,0.00109155,0.0011503,8.897e-05,6.925e-07
4,0.87,2,1.0052,1.0603,F2,d,e,NC,1,0.065025,0.0008839,0.00106585,0.00013595,1.57985e-06
5,0.91,2,0.98539,1.0816,F2,d,e,NC,1,0.064605,0.0007213,0.000254755,0.00012288,1.65055e-06
6,0.95,2,0.96635,1.1029,F2,d,e,NC,1,0.057405,0.00088395,0.00034572,7.3685e-05,1.74895e-06
7,0.99,2,0.94803,1.1242,F2,d,e,NC,1,0.045993,0.00086695,0.000505,4.1468e-05,1.1847e-06
8,1.03,2,0.93039,1.1455,F2,d,e,NC,1,0.0369265,0.0007398,0.00047018,2.10365e-05,1.28595e-06
9,1.07,2,0.91339,1.1668,F2,d,e,NC,1,0.0312425,0.00059005,0.0003706,4.7672e-06,1.53045e-06
10,1.11,2,0.897,1.1882,F2,d,e,NC,1,0.0273165,0.00043737,0.00018472,1.29875e-07,2.5862e-06
11,1.15,2,0.8812,1.2095,F2,d,e,NC,1,0.0257245,0.00026618,5.773e-05,1.49115e-06,2.4121e-06
12,1.19,2,0.86593,1.2308,F2,d,e,NC,1,0.026227,0.00026528,0.000309955,6.7805e-07,2.78175e-06
13,1.23,2,0.85119,1.2521,F2,d,e,NC,1,0.028335,0.000374875,0.00058305,1.27125e-06,3.8531e-06
14,1.27,2,0.83694,1.2734,F2,d,e,NC,1,0.031756,0.0004989,0.0008252,1.0502e-05,4.86985e-06
15,1.31,2,0.82317,1.2947,F2,d,e,NC,1,0.036718,0.00060725,0.00103945,2.6367e-05,5.9035e-06
16,1.35,2,0.80983,1.3161,F2,d,e,NC,1,0.041386,0.00067875,0.00118535,4.41215e-05,7.112e-06
17,1.39,2,0.79693,1.3374,F2,d,e,NC,1,0.047389,0.00071165,0.00127325,6.227e-05,8.261e-06
18,1.43,2,0.78442,1.3587,F2,d,e,NC,1,0.051995,0.0006969,0.00118015,7.1585e-05,8.7305e-06
19,1.47,2,0.77231,1.38,F2,d,e,NC,1,0.056515,0.00066215,0.0011029,7.9475e-05,9.558e-06
20,1.51,2,0.76056,1.4013,F2,d,e,NC,1,0.0601,0.00077745,0.0012336,0.00010186,9.502e-06
21,1.55,2,0.74916,1.4226,F2,d,e,NC,1,0.062045,0.00064295,0.00086625,7.932e-05,1.2788e-05
22,1.59,2,0.7381,1.444,F2,d,e,NC,1,0.06228,0.00066975,0.0007839,7.1785e-05,1.96915e-05
23,1.63,2,0.72737,1.4653,F2,d,e,NC,1,0.06332,0.00066925,0.00075135,6.294e-05,2.1933e-05
24,1.67,2,0.71694,1.4866,F2,d,e,NC,1,0.06358,0.00076325,0.0009385,7.057e-05,2.05335e-05
25,1.71,2,0.7068,1.5079,F2,d,e,NC,1,0.065475,0.0007771,0.0009884,6.3335e-05,2.31855e-05
26,1.75,2,0.69695,1.5292,F2,d,e,NC,1,0.065635,0.0007856,0.00104565,5.634e-05,2.59655e-05
27,1.79,2,0.68737,1.5505,F2,d,e,NC,1,0.067185,0.00080895,0.0012334,5.677e-05,3.23125e-05
28,1.83,2,0.67805,1.5718,F2,d,e,NC,1,0.06952,0.00084245,0.0013395,5.486e-05,3.6929e-05
29,1.87,2,0.66898,1.5932,F2,d,e,NC,1,0.07207,0.0008825,0.0014575,5.427e-05,4.2583e-05
30,1.91,2,0.66014,1.6145,F2,d,e,NC,1,0.074365,0.0007743,0.00127925,5.5305e-05,3.24015e-05
31,1.95,2,0.65154,1.6358,F2,d,e,NC,1,0.0782,0.00080605,0.00142005,6.411e-05,2.73515e-05
32,1.99,2,0.64316,1.6571,F2,d,e,NC,1,0.081335,0.00086455,0.0016311,6.9075e-05,4.4662e-05
33,2.03,2,0.63499,1.6784,F2,d,e,NC,1,0.085235,0.0009102,0.0016467,7.2015e-05,4.6792e-05
34,2.07,2,0.62703,1.6997,F2,d,e,NC,1,0.09,0.00095775,0.00176395,7.9365e-05,5.377e-05
35,2.11,2,0.61926,1.7211,F2,d,e,NC,1,0.09483,0.00100515,0.00183915,8.641e-05,6.2145e-05
36,2.15,2,0.61169,1.7424,F2,d,e,NC,1,0.099075,0.00102865,0.00188135,9.348e-05,6.99e-05
37,2.19,2,0.60429,1.7637,F2,d,e,NC,1,0.103375,0.00105195,0.0018906,9.829e-05,7.866e-05
38,2.23,2,0.59708,1.785,F2,d,e,NC,1,0.108025,0.00105685,0.001856,0.00010114,8.7115e-05
39,2.27,2,0.59003,1.8063,F2,d,e,NC,1,0.11307,0.00107135,0.001815,9.9425e-05,9.896e-05
40,2.31,2,0.58315,1.8276,F2,d,e,NC,1,0.113875,0.00090665,0.0015124,6.468e-05,0.000117455
