,Elab,X,Q2,obs,target,lepton beam,current,units,value,stat_u,syst_u,*norm_c
0,27.6,0.0069,0.291,F2,p,e_plus,NC,1,0.162,0.002592,0.011542,0.012312
1,27.6,0.0102,0.404,F2,p,e_plus,NC,1,0.2,0.0027,0.009874,0.0152
2,27.6,0.0142,0.514,F2,p,e_plus,NC,1,0.219,0.0019929,0.010799,0.016644
3,27.6,0.0186,0.626,F2,p,e_plus,NC,1,0.241,0.0023859,0.01042,0.018316
4,27.6,0.0244,0.725,F2,p,e_plus,NC,1,0.277,0.0022991,0.013722,0.021052
5,27.6,0.0325,0.872,F2,p,e_plus,NC,1,0.299,0.0026312,0.01226,0.022724
6,27.6,0.0398,0.903,F2,p,e_plus,NC,1,0.31,0.004092,0.01344,0.02356
7,27.6,0.0486,0.929,F2,p,e_plus,NC,1,0.334,0.007181,0.02339,0.025384
8,27.6,0.0595,1.102,F2,p,e_plus,NC,1,0.334,0.0081496,0.011761,0.025384
9,27.6,0.0724,1.127,F2,p,e_plus,NC,1,0.368,0.0087952,0.020846,0.027968
10,27.6,0.0882,1.167,F2,p,e_plus,NC,1,0.351,0.0078975,0.012772,0.026676
11,27.6,0.1078,1.205,F2,p,e_plus,NC,1,0.373,0.012048,0.022437,0.028348
12,27.6,0.133,1.263,F2,p,e_plus,NC,1,0.369,0.0095202,0.010498,0.028044
13,27.6,0.1657,1.337,F2,p,e_plus,NC,1,0.383,0.0086175,0.029541,0.029108
14,27.6,0.2093,1.447,F2,p,e_plus,NC,1,0.341,0.0059675,0.012302,0.025916
15,27.6,0.2642,1.749,F2,p,e_plus,NC,1,0.352,0.003872,0.01549,0.026752
16,27.6,0.3477,2.672,F2,p,e_plus,NC,1,0.269,0.0032818,0.021302,0.020444
17,27.6,0.4605,4.224,F2,p,e_plus,NC,1,0.179,0.0019511,0.0080385,0.013604
18,27.6,0.6346,8.688,F2,p,e_plus,NC,1,0.064,0.0016768,0.0011259,0.004864
19,27.6,0.0085,0.354,F2,p,e_plus,NC,1,0.191,0.0027695,0.010054,0.014516
20,27.6,0.0117,0.477,F2,p,e_plus,NC,1,0.228,0.001938,0.0089821,0.017328
21,27.6,0.0152,0.612,F2,p,e_plus,NC,1,0.243,0.0016524,0.0077947,0.018468
22,27.6,0.0193,0.77,F2,p,e_plus,NC,1,0.261,0.001827,0.0079496,0.019836
23,27.6,0.025,0.896,F2,p,e_plus,NC,1,0.272,0.0015232,0.0060672,0.020672
24,27.6,0.0327,1.144,F2,p,e_plus,NC,1,0.295,0.0020945,0.0060476,0.02242
25,27.6,0.0401,1.074,F2,p,e_plus,NC,1,0.315,0.0034335,0.0094323,0.02394
26,27.6,0.049,1.123,F2,p,e_plus,NC,1,0.326,0.0034556,0.0092389,0.024776
27,27.6,0.0596,1.281,F2,p,e_plus,NC,1,0.343,0.00686,0.0085895,0.026068
28,27.6,0.0725,1.359,F2,p,e_plus,NC,1,0.349,0.0060028,0.014076,0.026524
29,27.6,0.0884,1.399,F2,p,e_plus,NC,1,0.371,0.0066038,0.013473,0.028196
30,27.6,0.1082,1.554,F2,p,e_plus,NC,1,0.374,0.0042636,0.016363,0.028424
31,27.6,0.1333,1.632,F2,p,e_plus,NC,1,0.372,0.0062124,0.0072757,0.028272
32,27.6,0.1661,1.811,F2,p,e_plus,NC,1,0.373,0.0036181,0.01545,0.028348
33,27.6,0.2104,2.05,F2,p,e_plus,NC,1,0.352,0.0048576,0.010153,0.026752
34,27.6,0.2722,2.471,F2,p,e_plus,NC,1,0.329,0.0031255,0.012985,0.025004
35,27.6,0.362,3.79,F2,p,e_plus,NC,1,0.268,0.0021708,0.0061692,0.020368
36,27.6,0.49,6.026,F2,p,e_plus,NC,1,0.156,0.0009672,0.0018204,0.011856
37,27.6,0.6641,12.778,F2,p,e_plus,NC,1,0.047,0.0010293,0.00051507,0.003572
38,27.6,0.027,1.092,F2,p,e_plus,NC,1,0.289,0.0021964,0.0098887,0.021964
39,27.6,0.0338,1.391,F2,p,e_plus,NC,1,0.307,0.0033156,0.01166,0.023332
40,27.6,0.0401,1.293,F2,p,e_plus,NC,1,0.313,0.0025979,0.0098428,0.023788
41,27.6,0.049,1.46,F2,p,e_plus,NC,1,0.327,0.002289,0.0057572,0.024852
42,27.6,0.0596,1.466,F2,p,e_plus,NC,1,0.339,0.003729,0.0066391,0.025764
43,27.6,0.0726,1.627,F2,p,e_plus,NC,1,0.353,0.0038124,0.0075547,0.026828
44,27.6,0.0885,1.691,F2,p,e_plus,NC,1,0.351,0.0038259,0.0053129,0.026676
45,27.6,0.1082,2.013,F2,p,e_plus,NC,1,0.367,0.0034865,0.010027,0.027892
