,exp,x,Q2,value,dST_u,dSY_u,target,length(cm),*dRC_c,obs,lepton beam,current,units,W2
0,e140x,0.1,0.5,0.329,0.038,0.035,p,4,0.025,r,e,nc,1,5.379844
1,e140x,0.1,1.0,0.451,0.067,0.06,p,4,0.025,r,e,nc,1,9.879844
2,e140x,0.35,3.0,0.189,0.03,0.022,p,15,0.025,r,e,nc,1,6.4512725714285715
3,e140x,0.5,3.6,0.199,0.027,0.028,p,15,0.025,r,e,nc,1,4.479844
