,I,J,x,Q2,Elab,target,curent,lepton beam,units,theta,sigma(pb/sr/GeV per nucleon),*epsilon,*y,obs,*value,%stat,%syst,%dST_u,%dSR_u,%dSY_c,%dSE_c,%*dRC_c,%1dN1_c,%2dN1_c,%3dN1_c,%4dN1_c,%5dN1_c,%6dN1_c,%7dN1_c,%8dN1_c,%1dN2_c,%2dN2_c,%3dN2_c,%4dN2_c,%5dN2_c,%6dN2_c,%7dN2_c,%8dN2_c,%*norm_c
0,1,1,0.275,0.905,10.027,d,e,NC,1,5.988,1050000.0,0.97645378416014,0.175133696174541,sig_r,0.261839524745618,2.3,1.1,0.5,2.3,0.7,-0.3,0.259971433072239,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
1,2,1,0.223,0.869,10.027,d,e,NC,1,5.988,945300.0,0.96820141827738,0.207946057431687,sig_r,0.278280439521512,2.3,1.1,0.4,2.2,0.7,-0.3,0.245942411071546,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
2,3,1,0.176,0.824,10.027,d,e,NC,1,5.988,819700.0,0.955248401857229,0.248961509003118,sig_r,0.284031519430385,2.2,1.1,0.4,2.2,0.6,-0.4,0.223922283157288,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
3,4,1,0.153,0.794,10.027,d,e,NC,1,5.988,747600.0,0.944856468828797,0.276305143384072,sig_r,0.284719382431999,2.3,1.1,1.0,2.1,0.6,-0.5,0.206255997008955,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
4,5,1,0.119,0.737,10.027,d,e,NC,1,5.988,636500.0,0.920899362913781,0.328258048707886,sig_r,0.279399303179194,2.5,1.3,1.5,2.0,0.8,-0.6,0.165528916953428,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
5,6,1,0.09,0.666,10.027,d,e,NC,1,5.988,530400.0,0.882598690224921,0.392971316742812,sig_r,0.26761820928705,2.5,1.3,1.5,2.0,0.8,-0.7,0.100417773382366,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
6,7,1,0.067,0.586,10.027,d,e,NC,1,5.988,439400.0,0.826982221663545,0.465887675092023,sig_r,0.246995196663587,2.4,1.5,1.4,1.9,0.7,-0.9,0.00586977682802588,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
7,8,1,0.417,1.685,13.549,d,e,NC,1,5.988,354100.0,0.97989652710099,0.158871335911813,sig_r,0.197994475592949,2.0,0.9,0.5,1.9,0.4,0.3,0.265824096071683,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
8,9,1,0.365,1.647,13.549,d,e,NC,1,5.988,363400.0,0.975840144288562,0.177840409641991,sig_r,0.227058946999773,2.0,0.9,0.5,2.0,0.4,0.3,0.258928245290555,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
9,10,1,0.314,1.601,13.549,d,e,NC,1,5.988,356300.0,0.970151696522061,0.200802972578523,sig_r,0.249713565559206,2.1,0.9,0.4,2.0,0.5,0.2,0.249257884087504,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
