,I,J,x,Q2,Elab,target,curent,lepton beam,units,theta,sigma(pb/sr/GeV per nucleon),*epsilon,*y,obs,*value,%stat,%syst,%dST_u,%dSR_u,%dSY_c,%dSE_c,%*dRC_c,%1dN1_c,%2dN1_c,%3dN1_c,%4dN1_c,%5dN1_c,%6dN1_c,%7dN1_c,%8dN1_c,%1dN2_c,%2dN2_c,%3dN2_c,%4dN2_c,%5dN2_c,%6dN2_c,%7dN2_c,%8dN2_c,%*norm_c
10,11,1,0.271,1.552,13.549,d,e,NC,1,5.988,343700.0,0.96310389282039,0.225263093967438,sig_r,0.267923009785715,2.1,0.9,0.4,2.1,0.5,0.2,0.237276617794664,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
11,12,1,0.209,1.455,13.549,d,e,NC,1,5.988,312900.0,0.945916396187045,0.273684150594473,sig_r,0.290884185679007,2.6,0.9,1.5,2.1,0.5,0.0,0.208057873517977,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
12,13,1,0.168,1.363,13.549,d,e,NC,1,5.988,283600.0,0.925288728174762,0.319609276467537,sig_r,0.301779901724259,2.6,0.8,1.6,2.0,0.5,-0.1,0.172990837897095,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
13,14,1,0.132,1.256,13.549,d,e,NC,1,5.988,250500.0,0.895463571741535,0.373022194602514,sig_r,0.29959075358785,2.6,0.9,1.6,2.0,0.5,-0.2,0.12228807196061,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
14,15,1,0.104,1.141,13.549,d,e,NC,1,5.988,220300.0,0.855757869449172,0.430428601943845,sig_r,0.290728205472271,2.5,1.0,1.6,2.0,0.5,-0.4,0.0547883780635925,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
15,16,1,0.081,1.019,13.549,d,e,NC,1,5.988,205200.0,0.804240049830332,0.491329312340734,sig_r,0.289154344027611,2.5,1.4,1.6,1.9,0.7,-0.6,0.0327919152884359,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
16,17,1,0.503,2.377,16.075,d,e,NC,1,5.988,153200.0,0.980257405259566,0.15704530857593,sig_r,0.141867430549446,2.0,1.2,0.7,1.8,0.6,0.8,0.266437588941263,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
17,18,1,0.45,2.334,16.075,d,e,NC,1,5.988,165600.0,0.977084887667559,0.172294383767867,sig_r,0.167624625989237,2.0,1.1,0.7,1.8,0.5,0.7,0.261044309034851,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
18,19,1,0.397,2.282,16.075,d,e,NC,1,5.988,177200.0,0.972753402391465,0.190735125860442,sig_r,0.197464410212983,2.0,1.0,0.6,1.9,0.4,0.7,0.253680784065491,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
19,20,1,0.348,2.222,16.075,d,e,NC,1,5.988,181400.0,0.967051689165416,0.212012905198029,sig_r,0.223524993800408,2.0,1.0,0.6,1.9,0.4,0.6,0.243987871581208,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
20,21,1,0.283,2.119,16.075,d,e,NC,1,5.988,178200.0,0.955397356882676,0.248539759727554,sig_r,0.254216899186459,2.3,1.0,1.2,2.0,0.5,0.5,0.22417550670055,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
21,22,1,0.226,1.995,16.075,d,e,NC,1,5.988,175100.0,0.937991918084171,0.292513837025233,sig_r,0.288129903431908,2.4,0.9,1.3,2.0,0.5,0.3,0.194586260743091,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
22,23,1,0.185,1.872,16.075,d,e,NC,1,5.988,163000.0,0.916757891361487,0.336133284667287,sig_r,0.301960833641287,2.5,0.9,1.5,2.0,0.5,0.2,0.158488415314527,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
23,24,1,0.15,1.738,16.075,d,e,NC,1,5.988,150000.0,0.888728383726519,0.383653658521231,sig_r,0.306454874209399,2.5,0.8,1.5,2.0,0.5,0.0,0.110838252335082,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
24,25,1,0.122,1.594,16.075,d,e,NC,1,5.988,137800.0,0.852452281605775,0.43472032893144,sig_r,0.307435175382698,2.5,0.8,1.6,2.0,0.4,-0.1,0.0491688787298182,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
25,26,1,0.098,1.44,16.075,d,e,NC,1,5.988,129600.0,0.806088836272308,0.489333295897913,sig_r,0.307998547044129,2.5,1.0,1.6,1.9,0.4,-0.3,0.029648978337077,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
26,27,1,0.077,1.275,16.075,d,e,NC,1,5.988,122200.0,0.747229831659152,0.547847189076277,sig_r,0.299393514416057,2.5,1.3,1.6,1.9,0.4,-0.5,0.129709286179442,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
27,28,1,0.063,1.136,16.075,d,e,NC,1,5.988,115700.0,0.690017028204862,0.597140711208354,sig_r,0.28553424812937,2.5,1.7,1.6,1.9,0.7,-0.6,0.226971052051734,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
28,29,1,0.597,3.501,19.544,d,e,NC,1,5.988,51290.0,0.979656509207894,0.160071696128673,sig_r,0.0868284569665618,2.6,2.0,1.0,2.4,1.4,1.3,0.26541606565342,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
29,30,1,0.542,3.445,19.544,d,e,NC,1,5.988,59850.0,0.976816992173436,0.173506710415104,sig_r,0.109511778443947,2.2,1.7,0.9,2.0,0.9,1.3,0.260588886694841,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
30,31,1,0.49,3.383,19.544,d,e,NC,1,5.988,69160.0,0.973337254807711,0.188381190517938,sig_r,0.136843508932151,2.0,1.6,0.8,1.8,0.7,1.2,0.254673333173108,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
31,32,1,0.442,3.314,19.544,d,e,NC,1,5.988,75460.0,0.969034196819247,0.204935047406576,sig_r,0.161990569000478,2.0,1.4,0.8,1.8,0.5,1.2,0.24735813459272,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
32,33,1,0.372,3.191,19.544,d,e,NC,1,5.988,82820.0,0.96018360408153,0.234444096642844,sig_r,0.201514033666065,2.3,1.3,1.4,1.9,0.4,1.1,0.232312126938602,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
33,34,1,0.309,3.047,19.544,d,e,NC,1,5.988,88070.0,0.947779911407674,0.268991276236523,sig_r,0.242216755612526,2.5,1.2,1.5,2.0,0.4,0.9,0.211225849393046,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
34,35,1,0.239,2.819,19.544,d,e,NC,1,5.988,86620.0,0.923237781125093,0.323690977259848,sig_r,0.280913621993487,2.3,1.1,1.1,2.0,0.5,0.7,0.169504227912658,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
35,36,1,0.183,2.569,19.544,d,e,NC,1,5.988,81060.0,0.888718647573782,0.383668719609986,sig_r,0.298680307480074,2.5,1.0,1.5,2.0,0.5,0.5,0.11082170087543,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
36,37,1,0.152,2.382,19.544,d,e,NC,1,5.988,79460.0,0.857203303671184,0.428532070887889,sig_r,0.31557259569293,2.5,0.9,1.6,1.9,0.4,0.3,0.0572456162410124,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
37,38,1,0.126,2.188,19.544,d,e,NC,1,5.988,74410.0,0.818974985454631,0.475074798951596,sig_r,0.313113670455357,2.4,0.9,1.5,1.9,0.4,0.1,0.00774252472712685,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
38,39,1,0.107,2.017,19.544,d,e,NC,1,5.988,72060.0,0.780369225493429,0.51609957471909,sig_r,0.314084266471025,2.5,0.9,1.6,1.9,0.4,0.0,0.0733723166611704,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
39,40,1,0.09,1.845,19.544,d,e,NC,1,5.988,69510.0,0.736731839187016,0.557364261455984,sig_r,0.306715736911039,2.5,1.0,1.6,1.9,0.4,-0.2,0.147555873382072,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
40,41,1,0.075,1.658,19.544,d,e,NC,1,5.988,69410.0,0.683711717336985,0.602227612733887,sig_r,0.307669876326385,2.5,1.3,1.6,1.9,0.4,-0.4,0.237690080527126,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
41,42,1,0.322,1.105,7.019,d,e,NC,1,10.0,254300.0,0.941533339236526,0.26182422922374,sig_r,0.246289346056531,2.2,1.3,1.0,2.0,0.8,-0.9,0.200606676702094,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
42,43,1,0.269,1.052,7.019,d,e,NC,1,10.0,243300.0,0.927089130939238,0.297229944926131,sig_r,0.262353704450856,2.2,1.4,0.9,2.0,0.8,-0.9,0.176051522596704,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
43,44,1,0.24,1.016,7.019,d,e,NC,1,10.0,237900.0,0.915808904236231,0.321279110308887,sig_r,0.273492858594294,2.6,1.4,1.6,2.0,0.8,-1.0,0.156875137201593,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
44,45,1,0.177,0.912,7.019,d,e,NC,1,10.0,212200.0,0.875980712905209,0.390754476970182,sig_r,0.283502662279975,2.5,1.5,1.6,2.0,0.8,-1.1,0.0891672119388559,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
45,46,1,0.127,0.791,7.019,d,e,NC,1,10.0,187100.0,0.814760503101804,0.471586393951112,sig_r,0.280013878070938,2.5,1.5,1.6,1.9,0.4,-1.2,0.0149071447269339,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
46,47,1,0.089,0.657,7.019,d,e,NC,1,10.0,162900.0,0.726363447852165,0.561102731764704,sig_r,0.259426840437171,2.4,1.8,1.6,1.8,0.4,-1.3,0.16518213865132,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
47,48,1,0.453,1.87,9.022,d,e,NC,1,10.0,87020.0,0.947916960717654,0.243891789554484,sig_r,0.167079176915218,2.8,1.1,2.1,1.8,0.7,-0.6,0.211458833220011,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
48,49,1,0.347,1.741,9.022,d,e,NC,1,10.0,99680.0,0.927610804321095,0.296051125996982,sig_r,0.227013651312666,2.6,1.2,1.8,1.9,0.7,-0.7,0.176938367345862,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
49,50,1,0.214,1.469,9.022,d,e,NC,1,10.0,96630.0,0.865688738839886,0.406030502061785,sig_r,0.282221300914578,2.7,1.3,1.9,1.9,0.7,-0.9,0.0716708560278069,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
50,51,1,0.12,1.115,9.022,d,e,NC,1,10.0,84070.0,0.739458901582621,0.549165425322593,sig_r,0.283173349240954,2.9,1.6,2.2,1.9,0.7,-1.1,0.142919867309544,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
51,52,1,0.539,2.762,10.998,d,e,NC,1,10.0,33420.0,0.946343494177624,0.248473608227847,sig_r,0.118277236892354,2.0,0.9,0.9,1.8,0.6,-0.3,0.208783940101961,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
52,53,1,0.489,2.693,10.998,d,e,NC,1,10.0,37290.0,0.939481653313088,0.267248163272118,sig_r,0.141019760995009,2.0,0.9,1.0,1.8,0.5,-0.3,0.19711881063225,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
53,54,1,0.44,2.616,10.998,d,e,NC,1,10.0,41870.0,0.931012558033733,0.288199478321523,sig_r,0.169016375855544,2.0,0.9,0.9,1.8,0.4,-0.4,0.182721348657346,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
54,55,1,0.374,2.489,10.998,d,e,NC,1,10.0,46750.0,0.915076100164974,0.322755543403009,sig_r,0.207801447431696,2.4,0.9,1.5,1.8,0.4,-0.4,0.155629370280456,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
55,56,1,0.297,2.297,10.998,d,e,NC,1,10.0,49510.0,0.886000216834376,0.3749977835262,sig_r,0.247455949418973,2.5,1.1,1.6,1.9,0.7,-0.6,0.106200368618439,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
56,57,1,0.237,2.098,10.998,d,e,NC,1,10.0,50840.0,0.849004862346098,0.429144688653882,sig_r,0.278522671717437,2.5,1.2,1.7,1.9,0.7,-0.7,0.0433082659883661,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
57,58,1,0.187,1.88,10.998,d,e,NC,1,10.0,49690.0,0.799804050016251,0.488461398793755,sig_r,0.292433246499468,2.5,1.3,1.6,1.9,0.7,-0.8,0.0403331149723733,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
58,59,1,0.144,1.644,10.998,d,e,NC,1,10.0,47750.0,0.735650294990779,0.552675818945177,sig_r,0.291247207066454,2.6,1.4,1.8,1.9,0.7,-1.0,0.149394498515675,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
59,60,1,0.108,1.388,10.998,d,e,NC,1,10.0,48130.0,0.652749273195107,0.622332139109432,sig_r,0.293210372492718,2.6,1.7,1.8,1.8,0.7,-1.1,0.290326235568318,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
60,61,1,0.077,1.114,10.998,d,e,NC,1,10.0,47940.0,0.548684015371825,0.696886169285236,sig_r,0.273237531264351,2.6,2.5,1.9,1.8,0.8,-1.3,0.467237173867897,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
61,62,1,0.639,4.149,13.545,d,e,NC,1,10.0,9703.0,0.943772830721204,0.255725038230368,sig_r,0.0658643329644596,2.5,1.3,1.4,2.0,1.2,0.1,0.204413812226046,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
62,63,1,0.58,4.044,13.545,d,e,NC,1,10.0,12210.0,0.936624794114644,0.274560630176816,sig_r,0.0882924607410857,2.7,1.1,2.0,1.8,0.8,0.0,0.192262149994895,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
63,64,1,0.553,3.991,13.545,d,e,NC,1,10.0,13240.0,0.932752024512292,0.284068119445022,sig_r,0.0986003709877138,6.0,1.0,5.7,1.8,0.7,0.0,0.185678441670897,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
64,65,1,0.471,3.804,13.545,d,e,NC,1,10.0,17630.0,0.917607905796322,0.317613411768696,sig_r,0.144268923144776,2.4,0.8,1.6,1.8,0.5,-0.1,0.159933439853747,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
65,66,1,0.398,3.594,13.545,d,e,NC,1,10.0,20650.0,0.897705127268893,0.355284595661591,sig_r,0.184982293317086,2.4,0.8,1.6,1.8,0.4,-0.2,0.126098716357117,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
66,67,1,0.332,3.357,13.545,d,e,NC,1,10.0,22830.0,0.87130596090587,0.397799217483573,sig_r,0.222188448451192,2.4,0.8,1.6,1.9,0.4,-0.3,0.0812201335399798,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
67,68,1,0.273,3.092,13.545,d,e,NC,1,10.0,24670.0,0.836500641232325,0.445336663824608,sig_r,0.257839422102546,2.5,0.9,1.6,1.9,0.4,-0.4,0.0220510900949527,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
68,69,1,0.224,2.819,13.545,d,e,NC,1,10.0,25510.0,0.794439162095335,0.494309202885372,sig_r,0.280669076482875,2.5,1.2,1.7,1.9,0.7,-0.6,0.0494534244379308,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
69,70,1,0.179,2.509,13.545,d,e,NC,1,10.0,25460.0,0.738644231120268,0.549919045774884,sig_r,0.289287828093937,2.6,1.4,1.8,1.9,0.7,-0.7,0.144304807095544,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
70,71,1,0.142,2.189,13.545,d,e,NC,1,10.0,26250.0,0.671793651905169,0.607322754564058,sig_r,0.300683793378584,2.6,1.5,1.8,1.8,0.7,-0.9,0.257950791761212,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
71,72,1,0.108,1.834,13.545,d,e,NC,1,10.0,27110.0,0.586570955930451,0.671004994002047,sig_r,0.30026482639642,2.5,1.6,1.7,1.8,0.7,-1.0,0.402829374918234,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
72,73,1,0.084,1.542,13.545,d,e,NC,1,10.0,27060.0,0.508019644458195,0.723385878272169,sig_r,0.278907057390364,2.6,2.2,1.9,1.8,0.8,-1.2,0.536366604421069,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
73,74,1,0.692,5.18,15.204,d,e,NC,1,10.0,4346.0,0.94128082460621,0.262499989412531,sig_r,0.0426897664455171,3.7,1.8,2.7,2.5,1.6,0.3,0.200177401830557,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
74,75,1,0.601,4.981,15.204,d,e,NC,1,10.0,7161.0,0.929885852952134,0.290832518776798,sig_r,0.0770351533292282,3.0,1.2,2.3,1.9,1.0,0.2,0.180805950018628,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
75,76,1,0.532,4.8,15.204,d,e,NC,1,10.0,9002.0,0.918099021675974,0.316602306791534,sig_r,0.104070920188243,2.5,1.0,1.8,1.8,0.7,0.1,0.160768336849156,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
76,77,1,0.454,4.553,15.204,d,e,NC,1,10.0,11890.0,0.899697704358679,0.351768813087887,sig_r,0.149586380839016,2.5,0.8,1.8,1.8,0.5,0.0,0.129486097409754,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
77,78,1,0.387,4.294,15.204,d,e,NC,1,10.0,13850.0,0.877357676112242,0.38864381361726,sig_r,0.187432476586621,2.6,0.8,1.8,1.8,0.4,-0.1,0.0915080493908109,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
78,79,1,0.328,4.014,15.204,d,e,NC,1,10.0,15890.0,0.849482149706953,0.428508679054421,sig_r,0.229438630638511,2.6,0.8,1.8,1.8,0.4,-0.2,0.04411965450182,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
79,80,1,0.274,3.699,15.204,d,e,NC,1,10.0,16370.0,0.813227880054676,0.473356652671226,sig_r,0.250239301245796,2.7,0.9,1.9,1.9,0.4,-0.3,0.0175126039070501,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
80,81,1,0.227,3.373,15.204,d,e,NC,1,10.0,17970.0,0.76997375044374,0.519770746001634,sig_r,0.284815679520658,2.7,1.0,1.9,1.9,0.4,-0.5,0.0910446242456417,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
81,82,1,0.185,3.013,15.204,d,e,NC,1,10.0,18280.0,0.715166668855042,0.57102557299227,sig_r,0.296203819723018,2.7,1.4,2.0,1.8,0.7,-0.6,0.184216662946429,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
82,83,1,0.147,2.631,15.204,d,e,NC,1,10.0,18610.0,0.648760620597842,0.62541263941011,sig_r,0.29844357052457,2.7,1.7,2.0,1.8,0.7,-0.8,0.297106944983669,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
83,84,1,0.12,2.305,15.204,d,e,NC,1,10.0,19100.0,0.585396398785242,0.671826732740518,sig_r,0.297028577524009,2.8,1.8,2.1,1.8,0.7,-0.9,0.404826122065089,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,1.7
