,Elab,X,Y,Q2,obs,target,lepton beam,current,units,value,stat_u,syst_u,*norm_c
0,27.6,0.0069,0.8143,0.291,sig,d/p,e_plus,NC,1,0.992,0.021725,0.041061,0.013888
1,27.6,0.0102,0.7647,0.404,sig,d/p,e_plus,NC,1,0.952,0.018374,0.025694,0.013328
2,27.6,0.0142,0.6989,0.514,sig,d/p,e_plus,NC,1,0.979,0.012433,0.020123,0.013706
3,27.6,0.0186,0.6498,0.626,sig,d/p,e_plus,NC,1,0.984,0.013874,0.017258,0.013776
4,27.6,0.0244,0.5737,0.725,sig,d/p,e_plus,NC,1,0.977,0.011822,0.015272,0.013678
5,27.6,0.0325,0.518,0.872,sig,d/p,e_plus,NC,1,0.965,0.012159,0.015215,0.01351
6,27.6,0.0398,0.4381,0.903,sig,d/p,e_plus,NC,1,0.972,0.018857,0.017649,0.013608
7,27.6,0.0486,0.3691,0.929,sig,d/p,e_plus,NC,1,0.962,0.031169,0.026488,0.013468
8,27.6,0.0595,0.3576,1.102,sig,d/p,e_plus,NC,1,0.948,0.035266,0.019189,0.013272
9,27.6,0.0724,0.3006,1.127,sig,d/p,e_plus,NC,1,0.936,0.034538,0.012438,0.013104
10,27.6,0.0882,0.2555,1.167,sig,d/p,e_plus,NC,1,0.954,0.033485,0.019499,0.013356
11,27.6,0.1078,0.2158,1.205,sig,d/p,e_plus,NC,1,0.923,0.046335,0.015816,0.012922
12,27.6,0.133,0.1834,1.263,sig,d/p,e_plus,NC,1,0.885,0.036639,0.019023,0.01239
13,27.6,0.1657,0.1558,1.337,sig,d/p,e_plus,NC,1,0.927,0.033094,0.025112,0.012978
14,27.6,0.2093,0.1335,1.447,sig,d/p,e_plus,NC,1,0.873,0.025055,0.019807,0.012222
15,27.6,0.2642,0.1278,1.749,sig,d/p,e_plus,NC,1,0.848,0.014586,0.025164,0.011872
16,27.6,0.3477,0.1484,2.672,sig,d/p,e_plus,NC,1,0.798,0.015002,0.016614,0.011172
17,27.6,0.4605,0.1771,4.224,sig,d/p,e_plus,NC,1,0.783,0.01245,0.013939,0.010962
18,27.6,0.6346,0.2643,8.688,sig,d/p,e_plus,NC,1,0.743,0.028977,0.0095246,0.010402
19,27.6,0.0085,0.8041,0.354,sig,d/p,e_plus,NC,1,0.968,0.01907,0.029515,0.013552
20,27.6,0.0117,0.7872,0.477,sig,d/p,e_plus,NC,1,0.967,0.011314,0.025912,0.013538
21,27.6,0.0152,0.7774,0.612,sig,d/p,e_plus,NC,1,0.972,0.0090396,0.023519,0.013608
22,27.6,0.0193,0.7703,0.77,sig,d/p,e_plus,NC,1,0.969,0.0093993,0.020312,0.013566
