,Q2,W2,x,value,er_u,obs,target,curent,lepton beam,units
57,1.75,2.025,0.60458,0.19210769,0.07902312,r,p,e,NC,1
58,1.75,2.075,0.59431,0.20923871,0.07598078,r,p,e,NC,1
59,1.75,2.125,0.58439,0.24064657,0.07546724,r,p,e,NC,1
60,1.75,2.175,0.57479,0.34899747,0.08008827,r,p,e,NC,1
61,1.75,2.225,0.5655,0.38951457,0.07944122,r,p,e,NC,1
62,1.75,2.275,0.55651,0.38771692,0.07786237,r,p,e,NC,1
63,1.75,2.325,0.5478,0.27956614,0.07151181,r,p,e,NC,1
64,1.75,2.375,0.53936,0.22066379,0.06902806,r,p,e,NC,1
65,1.75,2.425,0.53117,0.15075597,0.06681703,r,p,e,NC,1
66,1.75,2.475,0.52323,0.10377467,0.06640369,r,p,e,NC,1
67,1.75,2.525,0.51553,0.09407289,0.06660868,r,p,e,NC,1
68,1.75,2.575,0.50804,0.08596471,0.06580919,r,p,e,NC,1
69,1.75,2.625,0.50077,0.10319038,0.06504524,r,p,e,NC,1
70,1.75,2.675,0.49371,0.1542079,0.06831879,r,p,e,NC,1
71,1.75,2.725,0.48684,0.20447057,0.06917644,r,p,e,NC,1
72,1.75,2.775,0.48016,0.29261854,0.05747996,r,p,e,NC,1
73,1.75,2.825,0.47367,0.31941205,0.05545168,r,p,e,NC,1
74,1.75,2.875,0.46734,0.34843495,0.05544517,r,p,e,NC,1
75,1.75,2.925,0.46118,0.29274499,0.05211839,r,p,e,NC,1
76,1.75,2.975,0.45518,0.3008252,0.05487774,r,p,e,NC,1
77,1.75,3.05,0.44647,0.140523,0.0726959,r,p,e,NC,1
78,1.75,3.15,0.43537,0.16266923,0.07760897,r,p,e,NC,1
79,1.75,3.25,0.4248,0.22255689,0.06357637,r,p,e,NC,1
80,1.75,3.35,0.41473,0.231086,0.06278685,r,p,e,NC,1
81,1.75,3.45,0.40513,0.23588273,0.06187601,r,p,e,NC,1
82,1.75,3.55,0.39596,0.21675137,0.0611359,r,p,e,NC,1
83,1.75,3.65,0.3872,0.23074321,0.06055112,r,p,e,NC,1
84,1.75,3.75,0.37882,0.21684971,0.05847442,r,p,e,NC,1
85,1.75,3.85,0.37079,0.20058839,0.05614517,r,p,e,NC,1
86,2.5,1.325,0.84901,0.09737985,0.19367489,r,p,e,NC,1
87,2.5,1.375,0.83484,0.26474038,0.14155871,r,p,e,NC,1
88,2.5,1.425,0.82113,0.34957528,0.13479999,r,p,e,NC,1
89,2.5,1.475,0.80786,0.43459022,0.13855927,r,p,e,NC,1
90,2.5,1.525,0.79502,0.1513896,0.10986853,r,p,e,NC,1
91,2.5,1.575,0.78257,0.22851838,0.11271366,r,p,e,NC,1
92,2.5,1.625,0.77051,0.36457923,0.12096487,r,p,e,NC,1
93,2.5,1.675,0.75882,0.32895753,0.1219965,r,p,e,NC,1
94,2.5,1.725,0.74748,0.5456863,0.14078797,r,p,e,NC,1
95,2.5,1.775,0.73647,0.31381097,0.12245081,r,p,e,NC,1
96,2.5,1.825,0.72578,0.21402544,0.10869523,r,p,e,NC,1
97,2.5,1.875,0.71539,0.15676786,0.10425194,r,p,e,NC,1
98,2.5,1.925,0.7053,0.19574904,0.06563297,r,p,e,NC,1
99,2.5,1.975,0.69549,0.23152262,0.06808776,r,p,e,NC,1
100,2.5,2.025,0.68595,0.13441168,0.06296045,r,p,e,NC,1
101,2.5,2.075,0.67666,0.3409768,0.1364347,r,p,e,NC,1
102,2.5,2.125,0.66763,0.36872205,0.10737061,r,p,e,NC,1
