,exp,Q2,x,cs_d2(nb//),%stat_u,%sys_u,*%norm,*Elab,*E',*y,*value,obs,target,current,lepton beam,units,*epsilon,sin2 theta/2,theta
0,e00116,3.5853,0.4831,2.1071,1.30985714963694,1.51392909686299,1.75,5.5,1.54400595125917,0.719271645225606,0.133603800385988,sig_r,d,e,nc,1.0,0.441269644175798,0.105548933723525,37.9169678765016
1,e00116,3.624,0.4904,2.0745,1.29187756085804,1.51361773921427,1.75,5.5,1.56082846081872,0.716213007123869,0.132103241362996,sig_r,d,e,nc,1.0,0.445157125034392,0.10553835790569,37.914995721836
2,e00116,3.6628,0.4978,1.9751,1.29107386967748,1.51384740013164,1.75,5.5,1.57783843795429,0.713120284008311,0.126280712021222,sig_r,d,e,nc,1.0,0.449071025777147,0.105518350349462,37.9112645194417
3,e00116,3.7015,0.5052,1.9098,1.29332914441303,1.51324746046706,1.75,5.5,1.59445561469882,0.71009897914567,0.122621536208505,sig_r,d,e,nc,1.0,0.452854667116896,0.105521908825152,37.9119281611795
4,e00116,3.7403,0.5127,1.8305,1.30019120458891,1.51324774651734,1.75,5.5,1.61124765705868,0.707045880534785,0.117996123932574,sig_r,d,e,nc,1.0,0.456661233440534,0.105516762503161,37.9109683891592
5,e00116,3.7791,0.5202,1.7357,1.31935242265368,1.51523880854986,1.75,5.5,1.62755549981187,0.704080818216025,0.112366144235813,sig_r,d,e,nc,1.0,0.460312072257554,0.105543112199325,37.9158823025769
6,e00116,3.8178,0.5278,1.6753,1.33110487673849,1.51614636184564,1.75,5.5,1.64423147619236,0.70104882251048,0.108862894482353,sig_r,d,e,nc,1.0,0.464042853099334,0.105542538352466,37.9157752925414
7,e00116,3.8566,0.5355,1.6388,1.33634366609714,1.51330241640225,1.75,5.5,1.66105148527073,0.697990639041686,0.106867106680275,sig_r,d,e,nc,1.0,0.467787244130895,0.105535560790537,37.9144741075353
8,e00116,3.8953,0.5433,1.5186,1.36309758988542,1.51455287765047,1.75,5.5,1.6781963417903,0.694873392401764,0.0993297564499828,sig_r,d,e,nc,1.0,0.471597448991419,0.105505587457189,37.9088842089786
9,e00116,3.9341,0.5511,1.4352,1.39353400222965,1.51895206243032,1.75,5.5,1.69475915391547,0.691861972015369,0.0942048748311195,sig_r,d,e,nc,1.0,0.475225221712915,0.10551512694862,37.9106633593268
10,e00116,3.9729,0.559,1.4014,1.39146567717996,1.51277294134437,1.75,5.5,1.71153750796236,0.688811362188662,0.0922791339537917,sig_r,d,e,nc,1.0,0.478887370447079,0.105511192595106,37.9099295964761
11,e00116,4.0116,0.5669,1.3753,1.40333018250564,1.51239729513561,1.75,5.5,1.72794226333243,0.685828679394103,0.0908649848261686,sig_r,d,e,nc,1.0,0.482429072204281,0.105527515829025,37.9129738253491
12,e00116,4.0504,0.575,1.2775,1.43248532289628,1.51859099804305,1.75,5.5,1.74510985445444,0.682707299190103,0.0846200384227652,sig_r,d,e,nc,1.0,0.486147016567212,0.105500000724394,37.9078422297593
13,e00116,4.0891,0.583,1.2525,1.43712574850299,1.51696606786427,1.75,5.5,1.76125071774185,0.67977259677421,0.0832429694288282,sig_r,d,e,nc,1.0,0.489573302834321,0.105531926798298,37.9137964208162
14,e00116,4.1279,0.5912,1.1757,1.46295823764566,1.51399166454027,1.75,5.5,1.77812392704946,0.676704740536462,0.0783419295437715,sig_r,d,e,nc,1.0,0.493166468165038,0.105522351579378,37.9120107324131
15,e00116,4.1667,0.5995,1.1152,1.48852223816356,1.51542324246772,1.75,5.5,1.79515356613809,0.673608442520347,0.07448417727319,sig_r,d,e,nc,1.0,0.496776235431497,0.105503761972242,37.9085437412139
16,e00116,4.1691,0.6,1.1433,0.935887343654334,1.51316364908598,1.75,5.5,1.79610874200426,0.673434774181043,0.0763786663083589,sig_r,d,e,nc,1.0,0.496973271659491,0.105508392127238,37.9094072976533
17,e00116,4.2142,0.6097,1.102,0.925589836660617,1.51542649727768,1.75,5.5,1.81560559861486,0.669889891160935,0.0738285287492563,sig_r,d,e,nc,1.0,0.501060196468422,0.105504491504479,37.9086798052112
18,e00116,4.2593,0.6195,1.0121,0.938642426637684,1.51170832921648,1.75,5.5,1.83508348950509,0.666348456453621,0.0679886676490194,sig_r,d,e,nc,1.0,0.505110268015708,0.105501764122329,37.9081711230058
19,e00116,4.3043,0.6294,0.9622,0.935356474745375,1.51735605903139,1.75,5.5,1.85461870817504,0.662796598513628,0.0647947174453534,sig_r,d,e,nc,1.0,0.509145072912559,0.105493382083113,37.9066077582226
20,e00116,4.3494,0.6393,0.8998,0.966881529228717,1.5114469882196,1.75,5.5,1.87346551415344,0.659369906517557,0.0607726956155766,sig_r,d,e,nc,1.0,0.512971745591697,0.105526361978077,37.9127586428035
21,e00116,4.3945,0.6495,0.8456,0.969725638599811,1.51371807000946,1.75,5.5,1.89340414391257,0.655744701106805,0.0572159518999517,sig_r,d,e,nc,1.0,0.517042546900103,0.105497814949973,37.9074345552544
22,e00116,4.4395,0.6597,0.8058,0.980392156862745,1.51402333085133,1.75,5.5,1.91280701022918,0.652216907231059,0.0546384364017935,sig_r,d,e,nc,1.0,0.520948422814789,0.105497027910451,37.9072877615424
23,e00116,4.4846,0.67,0.7552,0.993114406779661,1.50953389830508,1.75,5.5,1.93207204913598,0.648714172884367,0.051317032620994,sig_r,d,e,nc,1.0,0.524786371901511,0.105506135051544,37.9089863392655
