,X,Q2,exp,obs,target,lepton beam,current,units,value,stat_u,syst_u,*norm_c
0,0.07,0.59,slac_reb,F2,d,e,NC,1,0.2567,0.0062,0.0039,0.0043639
1,0.07,0.81,slac_reb,F2,d,e,NC,1,0.2922,0.0056,0.0035,0.0049674
2,0.07,0.9,slac_reb,F2,d,e,NC,1,0.2981,0.0036,0.0039,0.0050677
3,0.07,1.12,slac_reb,F2,d,e,NC,1,0.3086,0.004,0.004,0.0052462
4,0.07,1.27,slac_reb,F2,d,e,NC,1,0.32,0.0051,0.0048,0.00544
5,0.07,1.52,slac_reb,F2,d,e,NC,1,0.3288,0.0079,0.0092,0.0055896
6,0.07,1.66,slac_reb,F2,d,e,NC,1,0.3333,0.0083,0.0043,0.0056661
7,0.07,2.01,slac_reb,F2,d,e,NC,1,0.3403,0.0112,0.0082,0.0057851
8,0.1,0.58,slac_reb,F2,d,e,NC,1,0.2678,0.0048,0.0038,0.0045526
9,0.1,0.62,slac_reb,F2,d,e,NC,1,0.2734,0.0052,0.0038,0.0046478
10,0.1,0.66,slac_reb,F2,d,e,NC,1,0.276,0.003,0.0033,0.004692
11,0.1,0.74,slac_reb,F2,d,e,NC,1,0.2839,0.0071,0.0037,0.0048263
12,0.1,0.87,slac_reb,F2,d,e,NC,1,0.2917,0.0055,0.0035,0.0049589
13,0.1,1.0,slac_reb,F2,d,e,NC,1,0.3058,0.0031,0.004,0.0051986
14,0.1,1.08,slac_reb,F2,d,e,NC,1,0.3046,0.0055,0.0031,0.0051782
15,0.1,1.18,slac_reb,F2,d,e,NC,1,0.3098,0.0047,0.0028,0.0052666
16,0.1,1.29,slac_reb,F2,d,e,NC,1,0.3149,0.0057,0.0032,0.0053533
17,0.1,1.42,slac_reb,F2,d,e,NC,1,0.3196,0.0058,0.0032,0.0054332
18,0.1,1.54,slac_reb,F2,d,e,NC,1,0.3138,0.0066,0.0066,0.0053346
19,0.1,1.66,slac_reb,F2,d,e,NC,1,0.3094,0.0096,0.009,0.0052598
20,0.1,1.82,slac_reb,F2,d,e,NC,1,0.3243,0.0039,0.0039,0.0055131
21,0.1,1.99,slac_reb,F2,d,e,NC,1,0.3266,0.0026,0.0043,0.0055522
22,0.1,2.14,slac_reb,F2,d,e,NC,1,0.3329,0.0077,0.0073,0.0056593
23,0.1,2.37,slac_reb,F2,d,e,NC,1,0.3249,0.0046,0.0072,0.0055233
24,0.1,2.94,slac_reb,F2,d,e,NC,1,0.3346,0.0067,0.0097,0.0056882
25,0.1,3.34,slac_reb,F2,d,e,NC,1,0.3452,0.0124,0.0124,0.0058684
26,0.14,0.66,slac_reb,F2,d,e,NC,1,0.2797,0.0053,0.0036,0.0047549
27,0.14,0.78,slac_reb,F2,d,e,NC,1,0.2898,0.0032,0.0026,0.0049266
28,0.14,0.93,slac_reb,F2,d,e,NC,1,0.3012,0.0042,0.0033,0.0051204
29,0.14,1.14,slac_reb,F2,d,e,NC,1,0.3029,0.0049,0.003,0.0051493
