,I,exp,Elab,E',theta,W2,Q2,epsilon,cs(nb/sr/gev),x,y,value,%stat_u,%p2p_syst,sys10,%acc_c,sys11,%Ep_c,sys12,%thetaoff_c,sys13,%theta_c,sys14,%rc_c,sys15,%csb_c,*%norm_c,obs,target,current,lepton beam,unit
0,64180,e06009,4.074,1.4326,49.9828,1.67,4.167,0.4625,0.21196,0.840923507159978,0.648355424644085,0.0160687093093271,2.82440083034535,1.12224004529156,0.0016957,0.800009435742593,0.0008706,0.410737875070768,0.00080825,0.381321947537271,0.0024153,1.13950745423665,0.00015555,0.0733864880166069,4.5728e-05,0.0215738818645027,1.6,sig_r,d,e,NC,1
1,64180,e06009,4.074,1.4243,49.9828,1.71,4.1427,0.4606,0.21445,0.833400860523052,0.650392734413353,0.0162409321835363,2.8017719748193,1.11862905106085,0.0017156,0.8,0.00087488,0.407964560503614,0.00081045,0.377920261133131,0.0024226,1.12968057822336,0.00015428,0.0719421776637911,4.9522e-05,0.0230925623688505,1.6,sig_r,d,e,NC,1
2,64180,e06009,4.074,1.4159,49.9828,1.75,4.1184,0.4587,0.23559,0.825894123036566,0.652454590083456,0.0178250823618158,2.66038456640774,1.11761959336135,0.0018847,0.799991510675326,0.0009594,0.407232904622437,0.00088761,0.376760473704317,0.0026535,1.12632115115243,0.00016829,0.0714334224712424,5.3677e-05,0.0227840740269112,1.6,sig_r,d,e,NC,1
3,64180,e06009,4.074,1.4075,49.9828,1.79,4.0941,0.4568,0.25985,0.818434680952208,0.654516445753559,0.0196411205583999,2.51868385607081,1.1200307869925,0.0020788,0.8,0.0010637,0.40935154897056,0.00098616,0.379511256494131,0.0029454,1.13350009620935,0.00018138,0.0698018087358091,5.812e-05,0.0223667500481047,1.6,sig_r,d,e,NC,1
4,64180,e06009,4.074,1.3992,49.9828,1.83,4.0698,0.4549,0.25065,0.811052409553846,0.656553755522828,0.0189236895080418,2.5903052064632,1.12371833233593,0.0020052,0.8,0.001037,0.413724316776381,0.00095127,0.379521244763615,0.0028425,1.13405146618791,0.0001746,0.0696588868940754,6.3018e-05,0.0251418312387792,1.6,sig_r,d,e,NC,1
5,64180,e06009,4.074,1.3908,49.9828,1.87,4.0455,0.4529,0.27757,0.80368585770356,0.658615611192931,0.0209332660645303,2.44514897143063,1.12526569874266,0.0022206,0.800014410779263,0.0011515,0.414850308030407,0.0010589,0.38148935403682,0.0031637,1.13978455885002,0.00019248,0.0693446698130201,6.8318e-05,0.0246128904420507,1.6,sig_r,d,e,NC,1
6,64180,e06009,4.074,1.3825,49.9828,1.91,4.0211,0.451,0.29508,0.796375068475462,0.660652920962199,0.0222246649816383,2.38525145723194,1.12640639826488,0.0023607,0.80002033346889,0.0012288,0.416429442862952,0.0011243,0.381015317879897,0.0033601,1.1387081469432,0.00020376,0.0690524603497357,7.4065e-05,0.0250999728887081,1.6,sig_r,d,e,NC,1
7,64180,e06009,4.074,1.3741,49.9828,1.95,3.9968,0.449,0.31882,0.789099746330335,0.662714776632302,0.0239841358275442,2.2822595822094,1.1255881061414,0.0025506,0.80001254626435,0.0013256,0.415783200552036,0.0012116,0.380026347155135,0.0036209,1.13571921460385,0.00021972,0.0689166300733956,8.0308e-05,0.0251891349350731,1.6,sig_r,d,e,NC,1
8,64180,e06009,4.074,1.3657,49.9828,1.99,3.9725,0.4471,0.3351,0.78186955412356,0.664776632302406,0.0251775939915135,2.22945389435989,1.12235153685467,0.0026808,0.8,0.0013821,0.412444046553268,0.0012687,0.378603401969561,0.0037925,1.1317517159057,0.00023057,0.0688063264697105,8.7078e-05,0.0259856759176365,1.6,sig_r,d,e,NC,1
9,64180,e06009,4.074,1.3574,49.9828,2.03,3.9482,0.4451,0.35852,0.774712589909593,0.666813942071674,0.0268991614334171,2.15890326899476,1.11720406114024,0.0028682,0.80001115697869,0.0014603,0.407313399531407,0.0013472,0.375767042284949,0.0040282,1.12356353899364,0.00024446,0.0681858752649783,9.4374e-05,0.0263232176726542,1.6,sig_r,d,e,NC,1
10,64180,e06009,4.074,1.349,49.9828,2.07,3.9239,0.4431,0.38822,0.767571056904208,0.668875797741777,0.0290884310801683,2.07150584720004,1.10779970120035,0.0031058,0.800010303436196,0.001547,0.398485394879192,0.0014321,0.368888774406264,0.0042838,1.10344649940755,0.00026372,0.0679305548400392,0.00010232,0.0263561897892947,1.6,sig_r,d,e,NC,1
