,x,Q2,y,sigma_p(b/GeV2) !!,Elab,obs,target,curent,lepton beam,units,%dE,%dE',%dE1_c,%dE2_c,%dE3_c,%dE4_c,%dEp1_c,%dEp2_c,%dEp3_c,%dEp4_c,%dAC_c,%dRC_c,%dRE_c,value,%*norm_c,*epsilon,%*dSTat_u
0,0.0078,0.8,0.635,8.6e-06,90,f2,p,mu,nc,1,0.5,-0.1,0.5,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,2.3,1.7,0.3,0.272,2.5,0.644107577491351,1.25
1,0.0092,1.09,0.709,4.125e-06,90,f2,p,mu,nc,1,0.4,0.1,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2.1,2.1,0.5,0.2943,2.5,0.536467975713319,2.78627251104315
2,0.012,0.9,0.462,5.29e-06,90,f2,p,mu,nc,1,0.7,-0.3,0.7,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,1.6,0.8,0.2,0.2763,2.5,0.834389154931398,2.31632283749548
3,0.0125,1.22,0.596,2.707e-06,90,f2,p,mu,nc,1,0.6,-0.1,0.6,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,1.6,1.4,0.3,0.3022,2.5,0.69451622766914,1.22435473196559
4,0.0139,1.62,0.703,1.387e-06,90,f2,p,mu,nc,1,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.8,0.5,0.3204,2.5,0.545708985223731,3.15230961298377
5,0.0173,1.27,0.448,2.013e-06,90,f2,p,mu,nc,1,0.7,-0.2,0.7,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,1.1,0.7,0.2,0.2988,2.5,0.846058016352945,1.60642570281124
6,0.0176,1.72,0.593,1.078e-06,90,f2,p,mu,nc,1,0.6,-0.1,0.6,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,1.2,1.2,0.3,0.3316,2.5,0.698168745996667,1.62846803377563
7,0.0185,2.16,0.703,6.251e-07,90,f2,p,mu,nc,1,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.5,0.4,0.3354,2.5,0.545661643839309,3.51818723911747
8,0.0246,1.28,0.32,1.601e-06,90,f2,p,mu,nc,1,1.0,-0.4,1.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.4,0.6,0.1,0.3053,2.5,0.929873848564191,1.83426138224697
9,0.0247,1.75,0.437,8.198e-07,90,f2,p,mu,nc,1,0.7,-0.2,0.7,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.7,0.6,0.2,0.3268,2.5,0.854841405780712,1.34638922888617
10,0.0254,2.35,0.565,4.349e-07,90,f2,p,mu,nc,1,0.6,-0.1,0.6,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.8,0.8,0.3,0.3504,2.5,0.731357687789489,1.31278538812785
11,0.0276,3.24,0.707,1.95e-07,90,f2,p,mu,nc,1,0.5,0.1,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.0,1.7,0.5,0.3415,2.5,0.539386344446761,5.71010248901903
12,0.0348,1.3,0.231,1.182e-06,90,f2,p,mu,nc,1,1.2,-0.7,1.2,0.0,0.0,0.0,-0.7,0.0,0.0,0.0,0.3,0.2,0.1,0.3082,2.5,0.966369167614017,2.7579493835172
13,0.0348,1.76,0.309,6.482e-07,90,f2,p,mu,nc,1,1.0,-0.4,1.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.2,0.2,0.1,0.3306,2.5,0.935233517322987,1.78463399879008
14,0.0349,2.44,0.427,3.239e-07,90,f2,p,mu,nc,1,0.8,-0.2,0.8,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.4,0.4,0.2,0.3541,2.5,0.862526882466438,1.29906805987009
15,0.0355,3.34,0.57,1.622e-07,90,f2,p,mu,nc,1,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.1,0.3,0.3732,2.5,0.725499408293893,2.46516613076099
16,0.0364,4.26,0.705,9.547e-08,90,f2,p,mu,nc,1,0.5,0.1,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.8,2.4,0.4,0.3878,2.5,0.542392684482592,8.17431665807117
