,exp,Elab,E',x,W2,Q2,theta,%*stat_u,%*syst_u,%*norm_c,y,value,obs,target,curent,lepton beam,units,*epsilon
0,e03103,5.766,0.7929,0.35,6.9463,3.2663,50,0.816972838949623,1.3,2.5,0.862486992715921,0.232370931398311,sig_r,p,e,nc,1,0.211517253468146
1,e03103,5.766,0.8413,0.375,6.6563,3.4655,50,0.74066235059761,1.3,2.5,0.854092958723552,0.219884587004728,sig_r,p,e,nc,1,0.223296341271042
2,e03103,5.766,0.8887,0.4,6.3718,3.661,50,0.689463705308776,1.3,2.5,0.845872355185571,0.2104480922223,sig_r,p,e,nc,1,0.234706559092666
3,e03103,5.766,0.9353,0.425,6.0928,3.8527,50,0.572756361420082,1.3,2.5,0.837790496011099,0.193971727641801,sig_r,p,e,nc,1,0.245762310072603
4,e03103,5.766,0.9809,0.45,5.819,4.0407,50,0.612748457847841,1.3,2.5,0.829882067291016,0.178303854728024,sig_r,p,e,nc,1,0.256461215787095
5,e03103,5.766,1.0257,0.475,5.5504,4.2253,50,0.649789029535865,1.3,2.5,0.822112382934443,0.1641950640286,sig_r,p,e,nc,1,0.26683471075213
6,e03103,5.766,1.0697,0.5,5.2868,4.4064,50,0.558529155787641,1.3,2.5,0.814481442941381,0.148784086209861,sig_r,p,e,nc,1,0.276885053243621
7,e03103,5.766,1.1128,0.525,5.028,4.5842,50,0.549573690621194,1.3,2.5,0.807006590357267,0.13630867822237,sig_r,p,e,nc,1,0.286618821535384
8,e03103,5.766,1.1552,0.55,4.7739,4.7588,50,0.558964255558683,1.3,2.5,0.799653139091225,0.120753021862055,sig_r,p,e,nc,1,0.296059876872213
9,e03103,5.766,1.1968,0.575,4.5244,4.9302,50,0.524861878453039,1.3,2.5,0.792438432188692,0.106834829076602,sig_r,p,e,nc,1,0.305206803140907
10,e03103,5.766,1.2377,0.6,4.2794,5.0985,50,0.597491448118586,1.3,2.5,0.785345126604232,0.0931581391074977,sig_r,p,e,nc,1,0.314076370098469
11,e03103,5.766,1.2778,0.625,4.0387,5.2639,50,0.493888637392485,1.3,2.5,0.778390565383281,0.0796499376982602,sig_r,p,e,nc,1,0.322673285352108
12,e03103,5.766,1.3173,0.65,3.8022,5.4263,50,0.629887520085699,1.3,2.5,0.771540062434964,0.0684454395124129,sig_r,p,e,nc,1,0.331015003178561
13,e03103,5.766,1.356,0.675,3.5699,5.586,50,0.563374754741661,1.3,2.5,0.764828303850156,0.0569280411865163,sig_r,p,e,nc,1,0.339100938796992
14,e03103,5.766,1.3941,0.7,3.3416,5.7428,50,0.763967611336032,1.3,2.5,0.758220603537981,0.0466373014920721,sig_r,p,e,nc,1,0.34694556147743
15,e03103,5.766,1.4315,0.725,3.1172,5.897,50,0.685352622061483,1.3,2.5,0.751734304543878,0.0423182275232271,sig_r,p,e,nc,1,0.354555243552783
16,e03103,5.766,1.4683,0.75,2.8965,6.0486,50,0.567785234899329,1.3,2.5,0.745352063822407,0.0403934597424692,sig_r,p,e,nc,1,0.361942686470799
17,e03103,5.766,1.5045,0.775,2.6797,6.1976,50,0.671417740712661,1.3,2.5,0.739073881373569,0.0258270744375356,sig_r,p,e,nc,1,0.369112667094543
