,Elab,X,Y,Q2,obs,target,lepton beam,current,units,value,stat_u,syst_u,*norm_c,*nv,*E',*sin2 theta/2,*epsilon
0,27.6,0.0069,0.8143,0.291,sig_r,d,e_plus,NC,1,0.10719,0.0015114,0.0067108,0.00803925,22.4807638824511,5.11923611754891,0.000514895094637566,0.358370771644991
1,27.6,0.0102,0.7647,0.404,sig_r,d,e_plus,NC,1,0.13227,0.0017195,0.0060906,0.00992025,21.1129227810527,6.48707721894728,0.000564109253881969,0.445105723619587
2,27.6,0.0142,0.6989,0.514,sig_r,d,e_plus,NC,1,0.14809,0.001244,0.007014,0.01110675,19.2948737199315,8.30512628006848,0.000560593173956036,0.551372219108377
3,27.6,0.0186,0.6498,0.626,sig_r,d,e_plus,NC,1,0.166,0.001577,0.0069826,0.01245,17.9402526537818,9.65974734621822,0.000587001880260603,0.623001165211972
4,27.6,0.0244,0.5737,0.725,sig_r,d,e_plus,NC,1,0.2003,0.0016224,0.0097804,0.0150225,15.838547310287,11.761452689713,0.000558351859991835,0.720602600867715
5,27.6,0.0325,0.518,0.872,sig_r,d,e_plus,NC,1,0.22281,0.0019384,0.0089793,0.01671075,14.3021157946531,13.2978842053469,0.000593970484527289,0.781239602028246
6,27.6,0.0398,0.4381,0.903,sig_r,d,e_plus,NC,1,0.24286,0.0032058,0.010197,0.0182145,12.0940523513088,15.5059476486912,0.000527497448811349,0.853219266698449
7,27.6,0.0486,0.3691,0.929,sig_r,d,e_plus,NC,1,0.27257,0.00616,0.018953,0.02044275,10.1893530583415,17.4106469416585,0.000483316622332367,0.90167418065591
8,27.6,0.0595,0.3576,1.102,sig_r,d,e_plus,NC,1,0.27484,0.0071457,0.0096429,0.020613,9.8726057587214,17.7273942412786,0.000563076779481103,0.908440504077849
9,27.6,0.0724,0.3006,1.127,sig_r,d,e_plus,NC,1,0.31304,0.0082017,0.01761,0.023478,8.297600395811,19.302399604189,0.000528863433700643,0.938341004203599
10,27.6,0.0882,0.2555,1.167,sig_r,d,e_plus,NC,1,0.3062,0.0077467,0.011459,0.022965,7.05292778092047,20.5470722190795,0.000514460262815321,0.957020104096482
11,27.6,0.1078,0.2158,1.205,sig_r,d,e_plus,NC,1,0.33305,0.01219,0.020293,0.02497875,5.9584795344771,21.6415204655229,0.000504347884884161,0.970173117558144
12,27.6,0.133,0.1834,1.263,sig_r,d,e_plus,NC,1,0.33447,0.010235,0.00949,0.02508525,5.06196194110008,22.5380380588999,0.000507595974476882,0.978835470479726
13,27.6,0.1657,0.1558,1.337,sig_r,d,e_plus,NC,1,0.3525,0.0093412,0.026939,0.0264375,4.30106558336861,23.2989344166314,0.000519788031066863,0.984803004201644
14,27.6,0.2093,0.1335,1.447,sig_r,d,e_plus,NC,1,0.31807,0.0070293,0.01134,0.02385525,3.68524587491863,23.9147541250814,0.00054806685401899,0.988737973009334
15,27.6,0.2642,0.1278,1.749,sig_r,d,e_plus,NC,1,0.32944,0.004118,0.01404,0.024708,3.52877657780095,24.0712234221991,0.000658146494113697,0.989418295637869
16,27.6,0.3477,0.1484,2.672,sig_r,d,e_plus,NC,1,0.25012,0.0034266,0.019706,0.018759,4.09636766248874,23.5036323375113,0.00102975141047018,0.985213241658218
17,27.6,0.4605,0.1771,4.224,sig_r,d,e_plus,NC,1,0.16339,0.0018463,0.0072545,0.01225425,4.88946611752776,22.7105338824722,0.00168471907191696,0.97801657400734
18,27.6,0.6346,0.2643,8.688,sig_r,d,e_plus,NC,1,0.055608,0.001557,0.00095319,0.0041706,7.29771519692071,20.3022848030793,0.00387619683879014,0.94742820783037
19,27.6,0.0085,0.8041,0.354,sig_r,d,e_plus,NC,1,0.12347,0.0015927,0.0057233,0.00926025,22.1999247460178,5.40007525398219,0.000593792047021167,0.376574361879144
20,27.6,0.0117,0.7872,0.477,sig_r,d,e_plus,NC,1,0.14729,0.0011342,0.0047619,0.01104675,21.7319993439396,5.86800065606036,0.00073630737744563,0.406406528080603
21,27.6,0.0152,0.7774,0.612,sig_r,d,e_plus,NC,1,0.15649,0.00095459,0.0041552,0.01173675,21.4622376837616,6.13776231623836,0.000903175778932245,0.423261651214904
22,27.6,0.0193,0.7703,0.77,sig_r,d,e_plus,NC,1,0.16696,0.0010685,0.0044888,0.012522,21.266723377929,6.333276622071,0.00110126844244468,0.435287656131353
23,27.6,0.025,0.692,0.896,sig_r,d,e_plus,NC,1,0.18231,0.000948,0.0035318,0.01367325,19.1044776119403,8.4955223880597,0.000955319950706305,0.561499279236707
24,27.6,0.0327,0.6755,1.144,sig_r,d,e_plus,NC,1,0.20041,0.0013628,0.003753,0.01503075,18.6485658209607,8.95143417903928,0.00115761548745386,0.585840354233773
25,27.6,0.0401,0.5171,1.074,sig_r,d,e_plus,NC,1,0.23589,0.0025004,0.006869,0.01769175,14.2766750501146,13.3233249498854,0.000730167650054117,0.781979454139777
26,27.6,0.049,0.4425,1.123,sig_r,d,e_plus,NC,1,0.25442,0.0026715,0.007036,0.0190815,12.216613724381,15.383386275619,0.000661239421998851,0.849476320753766
27,27.6,0.0596,0.415,1.281,sig_r,d,e_plus,NC,1,0.27239,0.005584,0.0066147,0.02042925,11.4569768606631,16.1430231393369,0.000718778680387982,0.870436346734673
28,27.6,0.0725,0.3619,1.359,sig_r,d,e_plus,NC,1,0.28652,0.0053006,0.011515,0.021489,9.99191235938534,17.6080876406147,0.000699098213272293,0.905642145734346
29,27.6,0.0884,0.3056,1.399,sig_r,d,e_plus,NC,1,0.31451,0.0061643,0.011376,0.02358825,8.43592316375459,19.1640768362454,0.00066124246722432,0.935768408551555
30,27.6,0.1082,0.2773,1.554,sig_r,d,e_plus,NC,1,0.32222,0.0039311,0.014081,0.0241665,7.65580599773774,19.9441940022623,0.000705773668012109,0.948147067858076
31,27.6,0.1333,0.2364,1.632,sig_r,d,e_plus,NC,1,0.32943,0.0060944,0.006375,0.02470725,6.52615179381199,21.073848206188,0.000701466981778463,0.963351887472225
32,27.6,0.1661,0.2105,1.811,sig_r,d,e_plus,NC,1,0.3342,0.0033755,0.013806,0.025065,5.8118712364042,21.7881287635958,0.000752886385298705,0.971238733779441
33,27.6,0.2104,0.1881,2.05,sig_r,d,e_plus,NC,1,0.31923,0.0048842,0.0091341,0.02394225,5.19368124072738,22.4063187592726,0.000828732322306431,0.977052751782248
34,27.6,0.2722,0.1753,2.471,sig_r,d,e_plus,NC,1,0.3005,0.0030651,0.011818,0.0225375,4.83895730751094,22.7610426924891,0.000983357690559472,0.979792908670917
35,27.6,0.362,0.2021,3.79,sig_r,d,e_plus,NC,1,0.2425,0.0020855,0.0055362,0.0181875,5.58081730259515,22.0191826974048,0.00155908194308109,0.972017990894879
36,27.6,0.49,0.2374,6.026,sig_r,d,e_plus,NC,1,0.13807,0.00089746,0.0015558,0.01035525,6.55541534310953,21.0445846568905,0.00259369972005893,0.959425686253215
37,27.6,0.6641,0.3715,12.778,sig_r,d,e_plus,NC,1,0.039592,0.00091853,0.00042967,0.0029694,10.2564382467382,17.3435617532618,0.00667352849834439,0.889636810501007
38,27.6,0.027,0.7809,1.092,sig_r,d,e_plus,NC,1,0.18372,0.0012493,0.0058602,0.013779,21.558872305141,6.04112769485904,0.00163732747384955,0.416779843127667
39,27.6,0.0338,0.7946,1.391,sig_r,d,e_plus,NC,1,0.19543,0.0019348,0.0070106,0.01465725,21.9370182056749,5.66298179432508,0.00222491227038477,0.392563039432707
40,27.6,0.0401,0.6226,1.293,sig_r,d,e_plus,NC,1,0.21945,0.0017556,0.0067042,0.01645875,17.1878406329592,10.4121593670408,0.00112483454285311,0.659269407419767
41,27.6,0.049,0.5753,1.46,sig_r,d,e_plus,NC,1,0.23655,0.0016558,0.0039652,0.01774125,15.88268569688,11.71731430312,0.00112864068839035,0.718021997707174
42,27.6,0.0596,0.4749,1.466,sig_r,d,e_plus,NC,1,0.26036,0.0028379,0.0048894,0.019527,13.1115753924529,14.4884246075471,0.00091652376755505,0.821700862433371
