,exp,Elab,E',theta,Q2,W2,epsilon,flux,x,sigma,dsigma,*y,*value,*%stat_u,*%syst_u,*%norm_c,obs,target,lepton beam,current,units
0,e94110,5.498,4.624,12.97,1.297,1.225,0.961,0.00113,0.79,9.393,2.164,0.158966897053474,0.00757325224484115,22.982806385666247,1.6,1.9,sig_r,p,e,NC,1
1,e94110,5.498,4.6,12.97,1.291,1.275,0.96,0.00126,0.766,30.63,3.726,0.16333212077119,0.0253794272447156,12.058861656610015,1.6,1.9,sig_r,p,e,NC,1
2,e94110,5.498,4.577,12.97,1.284,1.325,0.959,0.00139,0.743,60.76,6.344,0.167515460167334,0.0515445048804611,10.31775869158609,1.6,1.9,sig_r,p,e,NC,1
3,e94110,5.498,4.554,12.97,1.278,1.375,0.958,0.0015,0.721,130.1,8.987,0.171698799563478,0.11310201680978,6.719910210919911,1.6,1.9,sig_r,p,e,NC,1
4,e94110,5.498,4.531,12.97,1.271,1.425,0.957,0.00162,0.7,162.0,9.136,0.175882138959622,0.144006618883548,5.407774946638856,1.6,1.9,sig_r,p,e,NC,1
5,e94110,5.498,4.508,12.97,1.265,1.475,0.956,0.00173,0.68,194.0,7.994,0.180065478355766,0.176511025207273,3.7973013167022818,1.6,1.9,sig_r,p,e,NC,1
6,e94110,5.498,4.484,12.97,1.258,1.525,0.955,0.00183,0.661,180.5,6.782,0.184430702073481,0.167958123362511,3.3996484065025636,1.6,1.9,sig_r,p,e,NC,1
7,e94110,5.498,4.461,12.97,1.252,1.575,0.954,0.00193,0.643,152.3,5.723,0.188614041469625,0.144887850372451,3.4000621012900973,1.6,1.9,sig_r,p,e,NC,1
8,e94110,5.498,4.438,12.97,1.245,1.625,0.953,0.00202,0.626,133.5,4.934,0.192797380865769,0.129566394386382,3.3315957260417717,1.6,1.9,sig_r,p,e,NC,1
9,e94110,5.498,4.415,12.97,1.239,1.675,0.952,0.00211,0.609,118.5,4.383,0.196980720261913,0.117463960803195,3.334761537756444,1.6,1.9,sig_r,p,e,NC,1
10,e94110,5.498,4.392,12.97,1.232,1.725,0.951,0.0022,0.593,112.1,4.139,0.201164059658057,0.113252166294991,3.3275560651476024,1.6,1.9,sig_r,p,e,NC,1
11,e94110,5.498,4.369,12.97,1.226,1.775,0.95,0.00228,0.578,111.1,4.125,0.205347399054202,0.114527667942136,3.3504347769781804,1.6,1.9,sig_r,p,e,NC,1
12,e94110,5.498,4.345,12.97,1.219,1.825,0.949,0.00237,0.563,113.0,4.241,0.209712622771917,0.118761978655791,3.3949579794221965,1.6,1.9,sig_r,p,e,NC,1
13,e94110,5.498,4.322,12.97,1.213,1.875,0.948,0.00244,0.549,117.4,4.444,0.213895962168061,0.125788427681152,3.4305784962200123,1.6,1.9,sig_r,p,e,NC,1
14,e94110,5.498,4.299,12.97,1.206,1.925,0.946,0.00247,0.536,120.4,4.619,0.218079301564205,0.131238748604422,3.486803954606672,1.6,1.9,sig_r,p,e,NC,1
15,e94110,5.498,4.276,12.97,1.2,1.975,0.945,0.00254,0.523,123.8,4.861,0.222262640960349,0.137460789814934,3.5857158067758945,1.6,1.9,sig_r,p,e,NC,1
16,e94110,5.498,4.253,12.97,1.193,2.025,0.944,0.00261,0.51,128.7,5.137,0.226445980356493,0.145268659873188,3.656733102508171,1.6,1.9,sig_r,p,e,NC,1
17,e94110,5.498,4.229,12.97,1.187,2.075,0.943,0.00268,0.498,140.3,5.7,0.230811204074209,0.161382385697363,3.7343963418031922,1.6,1.9,sig_r,p,e,NC,1
18,e94110,5.498,4.206,12.97,1.18,2.125,0.941,0.00269,0.487,163.8,6.77,0.234994543470353,0.191378267981286,3.810830064704995,1.6,1.9,sig_r,p,e,NC,1
19,e94110,5.498,4.183,12.97,1.174,2.175,0.94,0.00275,0.475,198.6,8.223,0.239177882866497,0.236023855838939,3.8188483408716585,1.6,1.9,sig_r,p,e,NC,1
20,e94110,5.498,4.16,12.97,1.167,2.225,0.939,0.00282,0.465,221.5,10.2,0.243361222262641,0.267189418447498,4.318068219717088,1.6,1.9,sig_r,p,e,NC,1
21,e94110,5.498,4.137,12.97,1.161,2.275,0.937,0.00283,0.454,237.8,8.729,0.247544561658785,0.29158235223983,3.3036754179402843,1.6,1.9,sig_r,p,e,NC,1
22,e94110,5.498,4.114,12.97,1.154,2.325,0.936,0.00288,0.444,213.1,7.815,0.251727901054929,0.265050502784562,3.2998535100468476,1.6,1.9,sig_r,p,e,NC,1
23,e94110,5.498,4.09,12.97,1.148,2.375,0.934,0.00289,0.434,184.8,6.778,0.256093124772645,0.233750975642032,3.3003609080899547,1.6,1.9,sig_r,p,e,NC,1
24,e94110,5.498,4.067,12.97,1.141,2.425,0.933,0.00294,0.425,167.5,6.115,0.260276464168789,0.214770863861658,3.281455213485465,1.6,1.9,sig_r,p,e,NC,1
25,e94110,5.498,4.044,12.97,1.135,2.475,0.931,0.00295,0.416,161.2,5.898,0.264459803564933,0.209835154286894,3.290422892003208,1.6,1.9,sig_r,p,e,NC,1
26,e94110,5.498,4.021,12.97,1.128,2.525,0.929,0.00296,0.407,158.4,5.863,0.268643142961077,0.208897028651041,3.3377057549745337,1.6,1.9,sig_r,p,e,NC,1
27,e94110,5.498,3.998,12.97,1.122,2.575,0.928,0.00301,0.398,165.2,6.167,0.272826482357221,0.221059901720307,3.3727835136136606,1.6,1.9,sig_r,p,e,NC,1
28,e94110,5.498,3.974,12.97,1.115,2.625,0.926,0.00301,0.39,169.1,6.448,0.277191706074936,0.229355935959998,3.4612060952583907,1.6,1.9,sig_r,p,e,NC,1
29,e94110,5.498,3.951,12.97,1.109,2.675,0.925,0.00305,0.382,178.7,6.973,0.28137504547108,0.245790481480884,3.5589540962238653,1.6,1.9,sig_r,p,e,NC,1
30,e94110,5.498,3.928,12.97,1.102,2.725,0.923,0.00306,0.374,199.1,7.893,0.285558384867225,0.277134216068525,3.6271184006419834,1.6,1.9,sig_r,p,e,NC,1
31,e94110,5.498,3.905,12.97,1.096,2.775,0.921,0.00306,0.366,215.1,8.552,0.289741724263369,0.303476699959178,3.639668391726379,1.6,1.9,sig_r,p,e,NC,1
32,e94110,5.498,3.882,12.97,1.089,2.825,0.919,0.00307,0.359,237.3,7.156,0.293925063659513,0.338625843335775,2.556129022196622,1.6,1.9,sig_r,p,e,NC,1
33,e94110,5.498,3.859,12.97,1.083,2.875,0.917,0.00307,0.352,234.6,6.79,0.298108403055657,0.339147596699448,2.411825842692039,1.6,1.9,sig_r,p,e,NC,1
34,e94110,5.498,3.835,12.97,1.076,2.925,0.916,0.00311,0.345,218.2,6.258,0.302473626773372,0.319219554401649,2.3802283694770585,1.6,1.9,sig_r,p,e,NC,1
35,e94110,5.498,3.812,12.97,1.07,2.975,0.914,0.00311,0.338,205.7,5.891,0.306656966169516,0.304728895039014,2.3752484973904915,1.6,1.9,sig_r,p,e,NC,1
36,e94110,5.498,3.777,12.97,1.06,3.05,0.911,0.00311,0.328,186.6,5.525,0.313022917424518,0.281169253362206,2.4913457755821877,1.6,1.9,sig_r,p,e,NC,1
37,e94110,5.498,3.731,12.97,1.047,3.15,0.907,0.00312,0.316,178.2,5.339,0.321389596216806,0.274419894829462,2.533070549146865,1.6,1.9,sig_r,p,e,NC,1
38,e94110,5.498,3.685,12.97,1.034,3.25,0.902,0.00309,0.304,179.2,4.051,0.329756275009094,0.281799889686979,1.5969735346474336,1.6,1.9,sig_r,p,e,NC,1
