,exp,Elab,E',x,W2,Q2,sig (mb/sr/GeV),theta,%*stat_u,%*syst_u,%*norm_c,*y,value,obs,target,current,lepton beam,units,*epsilon
0,e03103,5.011,2.6052,0.5,3.1376,2.2573,0.01704,24,0.440082159624413,1.3,2.5,0.480103771702255,0.146606537028459,sig_r,d,nc,e,1,0.766036578469591
1,e03103,5.011,2.6662,0.525,2.9704,2.3101,0.01611,24,0.564121663563004,1.3,2.5,0.467930552783876,0.136806176549542,sig_r,d,nc,e,1,0.774845423838105
2,e03103,5.011,2.7241,0.55,2.8115,2.3603,0.01451,24,0.387663680220538,1.3,2.5,0.456375972859709,0.121561218165352,sig_r,d,nc,e,1,0.782934341246608
3,e03103,5.011,2.7793,0.575,2.6602,2.4081,0.01301,24,0.567102229054574,1.3,2.5,0.445360207543405,0.107472086652474,sig_r,d,nc,e,1,0.790356148211029
4,e03103,5.011,2.8318,0.6,2.5161,2.4536,0.01161,24,0.420241171403962,1.3,2.5,0.434883256834963,0.0945392531595968,sig_r,d,nc,e,1,0.79719282355678
5,e03103,5.011,2.8819,0.625,2.3786,2.497,0.01067,24,0.448359887535145,1.3,2.5,0.424885252444622,0.0856209760915978,sig_r,d,nc,e,1,0.803509020400381
6,e03103,5.011,2.9298,0.65,2.2473,2.5385,0.009842,24,0.672932330827068,1.3,2.5,0.415326282179206,0.0778115430007122,sig_r,d,nc,e,1,0.809350243001395
7,e03103,5.011,2.9756,0.675,2.1217,2.5782,0.008399,24,0.535897130610787,1.3,2.5,0.406186389942127,0.0654148312557473,sig_r,d,nc,e,1,0.81475473928319
8,e03103,5.011,3.0194,0.7,2.0016,2.6161,0.007243,24,0.508214828109899,1.3,2.5,0.397445619636799,0.0555640372246688,sig_r,d,nc,e,1,0.8197679242627
9,e03103,5.011,3.0613,0.725,1.8865,2.6525,0.006328,24,0.45417193426043,1.3,2.5,0.389084015166633,0.0478190019652334,sig_r,d,nc,e,1,0.828778064850656
10,e03103,5.011,3.1402,0.775,1.6703,2.7208,0.005301,24,0.553103188077721,1.3,2.5,0.37333865495909,0.038858069986334,sig_r,d,nc,e,1,0.832818979063147
11,e03103,5.011,3.1772,0.8,1.5686,2.7529,0.004859,24,0.565136859436098,1.3,2.5,0.365954899221712,0.0350847340737763,sig_r,d,nc,e,1,0.836604976143228
12,e03103,5.011,3.2129,0.825,1.4709,2.7838,0.004226,24,0.605063890203502,1.3,2.5,0.358830572739972,0.0300555513193449,sig_r,d,nc,e,1,0.840133559931001
13,e03103,5.011,3.2471,0.85,1.3769,2.8135,0.003455,24,0.661939218523879,1.3,2.5,0.352005587707044,0.0242074850222261,sig_r,d,nc,e,1,0.843444352221861
14,e03103,5.011,3.2801,0.875,1.2864,2.8421,0.002756,24,0.723875181422351,1.3,2.5,0.345420075833167,0.0190234522107288,sig_r,d,nc,e,1,0.849458751720568
15,e03103,5.011,3.3425,0.925,1.1152,2.8961,0.002512,24,0.752388535031847,1.3,2.5,0.332967471562562,0.016832545533939,sig_r,d,nc,e,1,0.852201522794427
16,e03103,5.011,3.3721,0.95,1.0341,2.9217,0.003035,24,0.731466227347611,1.3,2.5,0.32706046697266,0.0200402461178535,sig_r,d,nc,e,1,0.854777599142509
17,e03103,5.011,3.4006,0.975,0.9559,2.9464,0.003776,24,0.704184322033898,1.3,2.5,0.321372979445221,0.0245736607924704,sig_r,d,nc,e,1,0.857203949233519
18,e03103,5.011,3.4281,1.0,0.8804,2.9703,0.004159,24,0.710266891079586,1.3,2.5,0.315885052883656,0.0266807046311768,sig_r,d,nc,e,1,0.859501390658148
19,e03103,5.011,3.4548,1.025,0.8073,2.9934,0.003541,24,0.808246258119175,1.3,2.5,0.310556775094791,0.0223924410443379,sig_r,d,nc,e,1,0.863705750840949
20,e03103,5.011,3.5054,1.075,0.6685,3.0372,0.00176,24,1.01193181818182,1.3,2.5,0.300458990221513,0.0108202825423242,sig_r,d,nc,e,1,0.865640724973741
21,e03103,5.011,3.5295,1.1,0.6023,3.0581,0.00111,24,1.3972972972973,1.3,2.5,0.295649570943923,0.00673004730154141,sig_r,d,nc,e,1,0.867470092232661
22,e03103,5.011,3.5528,1.125,0.5383,3.0783,0.0007592,24,1.96259220231823,1.3,2.5,0.290999800439034,0.00454031075486096,sig_r,d,nc,e,1,0.869212535140442
23,e03103,5.011,3.5755,1.15,0.4763,3.0979,0.0005203,24,2.84643474918316,1.3,2.5,0.28646976651367,0.0030691950726279,sig_r,d,nc,e,1,0.670988193934122
24,e03103,5.011,2.2598,0.55,3.2036,2.8395,0.005888,29,0.693274456521739,1.3,2.5,0.549032129315506,0.110320800114427,sig_r,d,nc,e,1,0.681201885560266
25,e03103,5.011,2.315,0.575,3.0305,2.909,0.005518,29,0.434396520478434,1.3,2.5,0.538016363999202,0.102864601551317,sig_r,d,nc,e,1,0.690723179184307
26,e03103,5.011,2.3681,0.6,2.8641,2.9757,0.004942,29,0.582152974504249,1.3,2.5,0.527419676711235,0.0915735597197082,sig_r,d,nc,e,1,0.699610946589496
27,e03103,5.011,2.4192,0.625,2.7042,3.0398,0.004276,29,0.422123479887746,1.3,2.5,0.517222111355019,0.0786957808516549,sig_r,d,nc,e,1,0.707908370512037
