,exp,length ,x,Q2,Elab,E',theta,epsilon,target,current,lepton beam,unit,obs,*value,%stat_u,%sys_u,*%norm_c,*%drc_u,r1998,%dR_u
0,e140x,4cm,0.1,0.5,3.3,0.636,28.261,0.342,p,e,nc,1,f2,0.280446108357514,3.53618516529212,0.692026780279976,1.73205080756888,1,0.310160132525621,0.7
1,e140x,4cm,0.1,0.5,4.0,1.336,17.598,0.579,p,e,nc,1,f2,0.284934601867872,2.05974966973846,0.707451224574512,1.73205080756888,1,0.310160132525621,0.7
2,e140x,4cm,0.1,0.5,4.95,2.286,12.067,0.746,p,e,nc,1,f2,0.282106905348453,1.23539813061332,0.740498034076016,1.73205080756888,1,0.310160132525621,0.7
3,e140x,4cm,0.1,1.0,6.45,1.121,21.432,0.322,p,e,nc,1,f2,0.333812036554548,2.42534754990566,0.75990099009901,1.73205080756888,1,0.348619688007481,0.7
4,e140x,4cm,0.1,1.0,6.9,1.571,17.47,0.419,p,e,nc,1,f2,0.333089323825153,2.43383295135142,0.70106341079165,1.73205080756888,1,0.348619688007481,0.7
5,e140x,4cm,0.1,1.0,7.99,2.661,12.45,0.588,p,e,nc,1,f2,0.339748001466008,1.38248957675937,0.718933333333333,1.73205080756888,1,0.348619688007481,0.7
6,e140x,15cm,0.35,3.0,5.6,1.032,42.223,0.297,p,e,nc,1,f2,0.276933377920377,2.15912191976053,0.705276705276705,1.73205080756888,1,0.186797005789584,0.7
7,e140x,15cm,0.35,3.0,6.45,1.882,28.783,0.488,p,e,nc,1,f2,0.270880681981136,1.48689002073143,0.715371127995324,1.73205080756888,1,0.186797005789584,0.7
8,e140x,15cm,0.35,3.0,7.99,3.422,19.066,0.69,p,e,nc,1,f2,0.274458457855615,0.948090840252316,0.729937916762474,1.73205080756888,1,0.186797005789584,0.7
9,e140x,15cm,0.35,3.0,9.75,5.182,13.996,0.807,p,e,nc,1,f2,0.274883414124669,0.820639395836031,0.751841359773371,1.73205080756888,1,0.186797005789584,0.7
10,e140x,15cm,0.5,3.6,4.95,1.113,47.675,0.335,p,e,nc,1,f2,0.169645869193764,2.14400094772445,0.81072278592008,1.73205080756888,1,0.155488360308516,0.7
11,e140x,15cm,0.5,3.6,5.6,1.763,35.145,0.495,p,e,nc,1,f2,0.16887487764501,1.45064295486331,0.757333333333333,1.73205080756888,1,0.155488360308516,0.7
12,e140x,15cm,0.5,3.6,6.45,2.613,26.721,0.635,p,e,nc,1,f2,0.172244372495688,0.991701352857101,0.824586628324946,1.73205080756888,1,0.155488360308516,0.7
13,e140x,15cm,0.5,3.6,6.9,3.063,23.817,0.688,p,e,nc,1,f2,0.166649709713687,1.28030002345502,0.794134560092007,1.73205080756888,1,0.155488360308516,0.7
14,e140x,15cm,0.5,3.6,9.75,5.913,14.355,0.861,p,e,nc,1,f2,0.171787394453965,0.68531906514896,0.8256,1.73205080756888,1,0.155488360308516,0.7
