,exp,Q2,x,value,stat_u,sys,eff_c,ee_c,phe_c,rdc_c,mom_c,rlt_c,tot,obs,target,curent,lepton beam,units,*%norm_c
0,clas6,0.225,0.1315,0.3009,0.0006194,0.01573,0.011032,0.0,0.00079805,0.0045135,0.0080632,0.0062873,0.015725,F2,p,e,nc,1,1
1,clas6,0.225,0.1405,0.3228,0.0007125,0.01276,0.010085,0.0,0.00080765,0.004842,0.0013438,0.0059324,0.012759,F2,p,e,nc,1,1
2,clas6,0.225,0.1495,0.2487,0.0006064,0.008952,0.0068572,0.0,0.00059084,0.0037305,0.001513,0.004074,0.0089539,F2,p,e,nc,1,1
3,clas6,0.225,0.1585,0.2053,0.0005748,0.00811,0.0051196,0.0,0.00046587,0.0054758,0.00039894,0.0030327,0.0081098,F2,p,e,nc,1,1
4,clas6,0.225,0.1675,0.1876,0.0006007,0.00717,0.0043409,0.0,0.0004088,0.0049549,0.0012138,0.0025245,0.0071701,F2,p,e,nc,1,1
5,clas6,0.225,0.1765,0.1794,0.0006436,0.005482,0.0038869,0.0,0.00037719,0.002691,0.0016266,0.0022192,0.0054828,F2,p,e,nc,1,1
6,clas6,0.225,0.1855,0.1746,0.000693,0.005291,0.0035571,0.0,0.00035568,0.0027224,0.0019491,0.0020013,0.0052909,F2,p,e,nc,1,1
7,clas6,0.225,0.1945,0.1754,0.0007588,0.01812,0.0033898,0.0,0.00034743,0.01754,0.0023525,0.0018759,0.018119,F2,p,e,nc,1,1
8,clas6,0.225,0.2035,0.1795,0.0008352,0.009854,0.0032475,0.0,0.00034683,0.0086478,0.0029016,0.0018025,0.0098549,F2,p,e,nc,1,1
9,clas6,0.225,0.2125,0.1955,0.0009521,0.01002,0.0034083,0.0,0.00036951,0.0083926,0.0038341,0.0018537,0.010016,F2,p,e,nc,1,1
10,clas6,0.225,0.2215,0.2221,0.001125,0.009431,0.0037666,0.0,0.00041162,0.0065415,0.0052755,0.0019984,0.0094326,F2,p,e,nc,1,1
11,clas6,0.225,0.2305,0.2509,0.001326,0.009521,0.0040912,0.0,0.00045691,0.0043463,0.0070817,0.0021521,0.0095194,F2,p,e,nc,1,1
12,clas6,0.225,0.2395,0.2994,0.001605,0.01947,0.0047458,0.0,0.00053682,0.016078,0.0095796,0.002458,0.019471,F2,p,e,nc,1,1
13,clas6,0.225,0.2485,0.3569,0.001953,0.01771,0.0056494,0.0,0.00063103,0.011602,0.011783,0.0028148,0.017711,F2,p,e,nc,1,1
14,clas6,0.225,0.2575,0.4087,0.002277,0.01487,0.0062474,0.0,0.00071359,0.0061305,0.011597,0.0031068,0.014875,F2,p,e,nc,1,1
15,clas6,0.225,0.2665,0.4449,0.002542,0.01228,0.006625,0.0,0.00076803,0.0066735,0.007154,0.0032695,0.012284,F2,p,e,nc,1,1
