,exp,Q2,x,value,stat_u,sys_u,obs,target,curent,lepton beam,units,*%norm_c
0,clas6,0.325,0.1045,0.27106,0.0023014,0.011837,F2,d,e,nc,1,1
1,clas6,0.325,0.1135,0.26374,0.0043258,0.011462,F2,d,e,nc,1,1
2,clas6,0.375,0.1135,0.26899,0.00077614,0.011663,F2,d,e,nc,1,1
3,clas6,0.375,0.1225,0.26095,0.001003,0.011188,F2,d,e,nc,1,1
4,clas6,0.375,0.1315,0.26306,0.0013176,0.011238,F2,d,e,nc,1,1
5,clas6,0.375,0.1405,0.25496,0.0015563,0.01082,F2,d,e,nc,1,1
6,clas6,0.375,0.1495,0.26625,0.0018788,0.011302,F2,d,e,nc,1,1
7,clas6,0.375,0.1585,0.27369,0.002175,0.011614,F2,d,e,nc,1,1
8,clas6,0.375,0.1675,0.25936,0.0023278,0.010981,F2,d,e,nc,1,1
9,clas6,0.375,0.1765,0.2385,0.0026249,0.010032,F2,d,e,nc,1,1
10,clas6,0.375,0.1855,0.23307,0.0032671,0.0097651,F2,d,e,nc,1,1
11,clas6,0.375,0.1945,0.23151,0.0043263,0.0097152,F2,d,e,nc,1,1
12,clas6,0.425,0.1225,0.27522,0.00063512,0.012208,F2,d,e,nc,1,1
13,clas6,0.425,0.1315,0.27019,0.00073046,0.011705,F2,d,e,nc,1,1
14,clas6,0.425,0.1405,0.26412,0.00084239,0.011378,F2,d,e,nc,1,1
15,clas6,0.425,0.1495,0.26169,0.00098651,0.011269,F2,d,e,nc,1,1
16,clas6,0.425,0.1585,0.26732,0.0011355,0.011478,F2,d,e,nc,1,1
17,clas6,0.425,0.1675,0.27923,0.0013147,0.012007,F2,d,e,nc,1,1
18,clas6,0.425,0.1765,0.28708,0.0014524,0.012345,F2,d,e,nc,1,1
19,clas6,0.425,0.1855,0.27799,0.0015248,0.011915,F2,d,e,nc,1,1
20,clas6,0.425,0.1945,0.25906,0.0015539,0.011109,F2,d,e,nc,1,1
21,clas6,0.425,0.2035,0.25458,0.0016154,0.010953,F2,d,e,nc,1,1
22,clas6,0.425,0.2125,0.26522,0.001743,0.011373,F2,d,e,nc,1,1
23,clas6,0.425,0.2215,0.2771,0.0019139,0.011925,F2,d,e,nc,1,1
24,clas6,0.425,0.2305,0.28146,0.0020919,0.012143,F2,d,e,nc,1,1
25,clas6,0.425,0.2395,0.25894,0.0021401,0.011096,F2,d,e,nc,1,1
26,clas6,0.425,0.2485,0.24745,0.0022053,0.010628,F2,d,e,nc,1,1
27,clas6,0.425,0.2575,0.22266,0.0021288,0.0095008,F2,d,e,nc,1,1
28,clas6,0.425,0.2665,0.2065,0.0020489,0.0088274,F2,d,e,nc,1,1
29,clas6,0.425,0.2755,0.19452,0.00201,0.008322,F2,d,e,nc,1,1
30,clas6,0.425,0.2845,0.19131,0.0021423,0.0081925,F2,d,e,nc,1,1
31,clas6,0.425,0.2935,0.18163,0.0022149,0.0077048,F2,d,e,nc,1,1
32,clas6,0.425,0.3025,0.18248,0.002437,0.0077333,F2,d,e,nc,1,1
33,clas6,0.425,0.3115,0.18936,0.0027069,0.008056,F2,d,e,nc,1,1
34,clas6,0.425,0.3205,0.19351,0.003004,0.0081949,F2,d,e,nc,1,1
35,clas6,0.425,0.3295,0.20357,0.0034381,0.0086902,F2,d,e,nc,1,1
36,clas6,0.425,0.3385,0.20876,0.0039138,0.0088559,F2,d,e,nc,1,1
37,clas6,0.425,0.3475,0.22976,0.0046214,0.0098199,F2,d,e,nc,1,1
38,clas6,0.425,0.3565,0.24257,0.0053464,0.010317,F2,d,e,nc,1,1
39,clas6,0.425,0.3655,0.27653,0.006689,0.011865,F2,d,e,nc,1,1
40,clas6,0.425,0.3745,0.28454,0.0077126,0.012326,F2,d,e,nc,1,1
41,clas6,0.425,0.3835,0.29488,0.0086996,0.012568,F2,d,e,nc,1,1
42,clas6,0.425,0.3925,0.31586,0.010299,0.013592,F2,d,e,nc,1,1
43,clas6,0.425,0.4015,0.31324,0.011082,0.013287,F2,d,e,nc,1,1
44,clas6,0.425,0.4105,0.32275,0.012553,0.013971,F2,d,e,nc,1,1
45,clas6,0.425,0.4195,0.29916,0.012498,0.012725,F2,d,e,nc,1,1
46,clas6,0.425,0.4285,0.2755,0.012329,0.011799,F2,d,e,nc,1,1
47,clas6,0.425,0.4375,0.28184,0.013658,0.011892,F2,d,e,nc,1,1
48,clas6,0.425,0.4465,0.24309,0.012563,0.010319,F2,d,e,nc,1,1
49,clas6,0.425,0.4555,0.24361,0.014204,0.010611,F2,d,e,nc,1,1
