,exp,x,Q2,target,obs,value,ST_u,SY_c,*dRRC_c,curent,lepton beam,units,W2
0,e140,0.2,1.0,d,r,0.376,0.042,0.031,0.03,e,NC,1,4.879844
1,e140,0.2,1.5,d,r,0.269,0.042,0.03,0.03,e,NC,1,6.879844
2,e140,0.2,2.5,d,r,0.104,0.047,0.027,0.03,e,NC,1,10.879844
3,e140,0.2,5.0,d,r,0.233,0.055,0.04,0.03,e,NC,1,20.879844
4,e140,0.35,1.5,d,r,0.296,0.051,0.04,0.03,e,NC,1,3.66555828571429
5,e140,0.35,2.5,d,r,0.153,0.033,0.025,0.03,e,NC,1,5.52270114285714
6,e140,0.35,5.0,d,r,0.123,0.037,0.028,0.03,e,NC,1,10.1655582857143
7,e140,0.5,2.5,d,r,0.202,0.025,0.018,0.03,e,NC,1,3.379844
8,e140,0.5,5.0,d,r,0.102,0.026,0.022,0.03,e,NC,1,5.879844
9,e140,0.5,7.5,d,r,0.145,0.059,0.029,0.03,e,NC,1,8.379844
10,e140,0.5,10.0,d,r,0.046,0.038,0.028,0.03,e,NC,1,10.879844
