,X,Q2,obs,target,lepton beam,current,units,value,stat_u,syst_u,*norm_c
0,0.07,0.59,F2,p,e,NC,1,0.2781,0.007,0.0042,0.0058401
1,0.07,0.81,F2,p,e,NC,1,0.3021,0.006,0.0039,0.0063441
2,0.07,0.9,F2,p,e,NC,1,0.3176,0.0041,0.0041,0.0066696
3,0.07,1.12,F2,p,e,NC,1,0.3277,0.0046,0.0043,0.0068817
4,0.07,1.27,F2,p,e,NC,1,0.3442,0.0059,0.0055,0.0072282
5,0.07,1.52,F2,p,e,NC,1,0.3621,0.0094,0.0101,0.0076041
6,0.07,1.66,F2,p,e,NC,1,0.3556,0.0103,0.0046,0.0074676
7,0.07,2.01,F2,p,e,NC,1,0.3822,0.0134,0.0092,0.0080262
8,0.1,0.58,F2,p,e,NC,1,0.287,0.0049,0.0049,0.006027
9,0.1,0.62,F2,p,e,NC,1,0.2936,0.0053,0.0044,0.0061656
10,0.1,0.66,F2,p,e,NC,1,0.3012,0.0036,0.0036,0.0063252
11,0.1,0.74,F2,p,e,NC,1,0.3083,0.0093,0.004,0.0064743
12,0.1,0.87,F2,p,e,NC,1,0.3159,0.0063,0.0041,0.0066339
13,0.1,1.0,F2,p,e,NC,1,0.3272,0.0033,0.0043,0.0068712
14,0.1,1.08,F2,p,e,NC,1,0.3321,0.0066,0.0037,0.0069741
15,0.1,1.18,F2,p,e,NC,1,0.3324,0.0053,0.003,0.0069804
16,0.1,1.3,F2,p,e,NC,1,0.3367,0.004,0.0037,0.0070707
17,0.1,1.42,F2,p,e,NC,1,0.3362,0.0071,0.0034,0.0070602
18,0.1,1.53,F2,p,e,NC,1,0.339,0.0078,0.0071,0.007119
19,0.1,1.67,F2,p,e,NC,1,0.3496,0.0147,0.0098,0.0073416
20,0.1,1.81,F2,p,e,NC,1,0.3557,0.0046,0.0043,0.0074697
21,0.1,1.99,F2,p,e,NC,1,0.3511,0.0046,0.0035,0.0073731
22,0.1,2.15,F2,p,e,NC,1,0.3654,0.0099,0.0077,0.0076734
23,0.1,2.38,F2,p,e,NC,1,0.3596,0.0065,0.0079,0.0075516
24,0.1,2.93,F2,p,e,NC,1,0.3641,0.0087,0.0102,0.0076461
25,0.1,3.34,F2,p,e,NC,1,0.3207,0.0192,0.0116,0.0067347
26,0.14,0.65,F2,p,e,NC,1,0.3069,0.0055,0.0043,0.0064449
27,0.14,0.78,F2,p,e,NC,1,0.3176,0.0038,0.0029,0.0066696
28,0.14,0.93,F2,p,e,NC,1,0.3307,0.0053,0.0036,0.0069447
29,0.14,1.14,F2,p,e,NC,1,0.3323,0.006,0.0037,0.0069783
30,0.14,1.29,F2,p,e,NC,1,0.3379,0.0037,0.0027,0.0070959
31,0.14,1.41,F2,p,e,NC,1,0.345,0.0062,0.0038,0.007245
32,0.14,1.6,F2,p,e,NC,1,0.3457,0.0045,0.0024,0.0072597
33,0.14,1.75,F2,p,e,NC,1,0.3488,0.0038,0.0028,0.0073248
34,0.14,2.04,F2,p,e,NC,1,0.3435,0.0117,0.0058,0.0072135
35,0.14,2.19,F2,p,e,NC,1,0.3492,0.0045,0.0031,0.0073332
36,0.14,2.37,F2,p,e,NC,1,0.3573,0.0043,0.0039,0.0075033
37,0.14,2.58,F2,p,e,NC,1,0.3501,0.0063,0.0077,0.0073521
38,0.14,2.81,F2,p,e,NC,1,0.3619,0.0083,0.008,0.0075999
39,0.14,3.0,F2,p,e,NC,1,0.3594,0.0086,0.009,0.0075474
40,0.14,3.31,F2,p,e,NC,1,0.3472,0.008,0.0066,0.0072912
41,0.14,3.77,F2,p,e,NC,1,0.3585,0.009,0.0075,0.0075285
42,0.14,4.18,F2,p,e,NC,1,0.3507,0.0126,0.0091,0.0073647
43,0.18,0.69,F2,p,e,NC,1,0.3126,0.0059,0.0047,0.0065646
44,0.18,0.82,F2,p,e,NC,1,0.3232,0.0074,0.0036,0.0067872
45,0.18,0.89,F2,p,e,NC,1,0.3265,0.0042,0.0026,0.0068565
46,0.18,1.0,F2,p,e,NC,1,0.3291,0.0059,0.0043,0.0069111
47,0.18,1.1,F2,p,e,NC,1,0.3506,0.0081,0.0049,0.0073626
48,0.18,1.25,F2,p,e,NC,1,0.337,0.0064,0.004,0.007077
49,0.18,1.41,F2,p,e,NC,1,0.3255,0.0036,0.0023,0.0068355
50,0.18,1.5,F2,p,e,NC,1,0.3412,0.0061,0.0041,0.0071652
51,0.18,1.89,F2,p,e,NC,1,0.3432,0.0038,0.0028,0.0072072
52,0.18,2.15,F2,p,e,NC,1,0.3519,0.0056,0.0046,0.0073899
53,0.18,2.56,F2,p,e,NC,1,0.3403,0.0037,0.0037,0.0071463
54,0.18,2.72,F2,p,e,NC,1,0.3456,0.0062,0.0059,0.0072576
55,0.18,3.01,F2,p,e,NC,1,0.3677,0.0114,0.0052,0.0077217
56,0.18,3.25,F2,p,e,NC,1,0.355,0.0057,0.0071,0.007455
57,0.18,3.54,F2,p,e,NC,1,0.3441,0.0052,0.0069,0.0072261
58,0.18,4.14,F2,p,e,NC,1,0.3438,0.0038,0.0062,0.0072198
59,0.18,4.59,F2,p,e,NC,1,0.321,0.0119,0.0071,0.006741
60,0.18,5.1,F2,p,e,NC,1,0.3547,0.0053,0.0071,0.0074487
61,0.18,5.44,F2,p,e,NC,1,0.333,0.0063,0.009,0.006993
62,0.23,0.72,F2,p,e,NC,1,0.303,0.0058,0.0045,0.006363
63,0.23,0.87,F2,p,e,NC,1,0.3204,0.0077,0.0035,0.0067284
64,0.23,1.01,F2,p,e,NC,1,0.319,0.0035,0.0022,0.006699
65,0.23,1.29,F2,p,e,NC,1,0.3264,0.0046,0.0026,0.0068544
66,0.23,1.46,F2,p,e,NC,1,0.3322,0.0047,0.0023,0.0069762
67,0.23,1.55,F2,p,e,NC,1,0.3255,0.0036,0.0023,0.0068355
68,0.23,1.73,F2,p,e,NC,1,0.3351,0.0054,0.0037,0.0070371
69,0.23,2.02,F2,p,e,NC,1,0.3309,0.0043,0.0023,0.0069489
70,0.23,2.29,F2,p,e,NC,1,0.337,0.0044,0.004,0.007077
71,0.23,2.5,F2,p,e,NC,1,0.3403,0.0051,0.0034,0.0071463
72,0.23,2.92,F2,p,e,NC,1,0.3343,0.004,0.0037,0.0070203
73,0.23,3.3,F2,p,e,NC,1,0.3403,0.0065,0.0034,0.0071463
74,0.23,3.62,F2,p,e,NC,1,0.3274,0.0092,0.0056,0.0068754
75,0.23,3.97,F2,p,e,NC,1,0.3314,0.0046,0.005,0.0069594
76,0.23,4.48,F2,p,e,NC,1,0.3335,0.0063,0.004,0.0070035
77,0.23,5.15,F2,p,e,NC,1,0.3276,0.0075,0.0046,0.0068796
78,0.23,5.7,F2,p,e,NC,1,0.3224,0.0068,0.0058,0.0067704
79,0.23,6.17,F2,p,e,NC,1,0.3188,0.0051,0.0057,0.0066948
80,0.23,7.31,F2,p,e,NC,1,0.2828,0.0221,0.0068,0.0059388
81,0.28,0.9,F2,p,e,NC,1,0.2998,0.0072,0.0033,0.0062958
82,0.28,1.07,F2,p,e,NC,1,0.3061,0.0021,0.0018,0.0064281
83,0.28,1.35,F2,p,e,NC,1,0.3143,0.0057,0.0038,0.0066003
84,0.28,1.46,F2,p,e,NC,1,0.3131,0.0075,0.0031,0.0065751
85,0.28,1.6,F2,p,e,NC,1,0.3142,0.0044,0.0028,0.0065982
86,0.28,1.79,F2,p,e,NC,1,0.3165,0.0044,0.0022,0.0066465
87,0.28,2.11,F2,p,e,NC,1,0.3163,0.0044,0.0029,0.0066423
88,0.28,2.34,F2,p,e,NC,1,0.3131,0.006,0.0028,0.0065751
89,0.28,2.53,F2,p,e,NC,1,0.3125,0.0063,0.0038,0.0065625
90,0.28,2.71,F2,p,e,NC,1,0.3073,0.0055,0.0028,0.0064533
91,0.28,2.89,F2,p,e,NC,1,0.3135,0.0035,0.0022,0.0065835
92,0.28,3.09,F2,p,e,NC,1,0.3073,0.0092,0.0028,0.0064533
93,0.28,3.48,F2,p,e,NC,1,0.3038,0.0033,0.0033,0.0063798
94,0.28,3.7,F2,p,e,NC,1,0.3031,0.0094,0.0027,0.0063651
95,0.28,4.3,F2,p,e,NC,1,0.3012,0.0045,0.0033,0.0063252
96,0.28,4.77,F2,p,e,NC,1,0.2991,0.0036,0.0039,0.0062811
97,0.28,5.27,F2,p,e,NC,1,0.3002,0.0027,0.0036,0.0063042
98,0.28,6.04,F2,p,e,NC,1,0.3059,0.0052,0.0052,0.0064239
99,0.28,6.74,F2,p,e,NC,1,0.2955,0.0077,0.0053,0.0062055
