,E,theta,E',x,Q2,epsilon,W2,Gamma_v,sigma(ub/nucleon),%stat_u,%syst_u,%rad1_c,%rad2_c,y,value,obs,target,curent,lepton beam,units
0,2.301,10.586,0.406,0.00895,0.0318,0.338,4.403,0.005823,0.9507,4.14431471547281,4.49142736930683,5.51172820027348,13.2533922372988,0.823554976097349,0.0161668054640216,sig_r,d,e,NC,1
1,2.301,10.586,0.411,0.00906,0.0322,0.342,4.398,0.005838,0.93,4.21505376344086,4.51612903225806,5.17204301075269,13.2258064516129,0.821382007822686,0.0165118454914406,sig_r,d,e,NC,1
2,2.301,10.586,0.415,0.00918,0.0325,0.345,4.388,0.005855,0.9004,4.30919591292759,4.57574411372723,5.28653931585962,13.3274100399822,0.819643633202955,0.0167586506840475,sig_r,d,e,NC,1
3,2.301,10.586,0.419,0.0093,0.0328,0.349,4.379,0.005872,0.9862,3.94443317785439,4.22835124721152,4.73534779963496,11.8637193267086,0.817905258583225,0.0170552459221555,sig_r,d,e,NC,1
4,2.301,10.586,0.424,0.00942,0.0332,0.352,4.371,0.005887,1.052,3.70722433460076,3.99239543726236,52.0912547528517,10.8365019011407,0.815732290308562,0.0173561065500738,sig_r,d,e,NC,1
5,2.301,10.586,0.428,0.00954,0.0335,0.356,4.362,0.005905,0.9473,3.94806291565502,4.24363981843133,3.76860551039797,11.7175129314895,0.813993915688831,0.0176556346129965,sig_r,d,e,NC,1
6,2.301,10.586,0.433,0.00966,0.0339,0.359,4.354,0.00592,0.9777,3.85598854454332,4.12191878899458,4.42876137874604,11.148614094303,0.811820947414168,0.0179589955779393,sig_r,d,e,NC,1
7,2.301,10.586,0.437,0.00978,0.0342,0.362,4.345,0.005937,0.8748,4.17238225880201,4.40100594421582,4.88111568358482,12.1170553269319,0.810082572794437,0.0182110156218478,sig_r,d,e,NC,1
8,2.301,10.586,0.441,0.0099,0.0346,0.366,4.337,0.005955,0.9222,3.9253957926697,4.16395575797007,3.65430492301019,11.060507482108,0.808344198174707,0.0186220715390762,sig_r,d,e,NC,1
9,2.301,10.586,0.446,0.01003,0.0349,0.369,4.326,0.005971,1.023,3.54838709677419,3.86119257086999,4.09579667644184,9.87292277614858,0.806171229900044,0.0188209032772389,sig_r,d,e,NC,1
10,2.301,10.586,0.45,0.01015,0.0353,0.372,4.318,0.005988,0.8939,3.9713614498266,4.19510012305627,4.96699854569862,10.9855688555767,0.804432855280313,0.0191843440650259,sig_r,d,e,NC,1
11,2.301,10.586,0.454,0.01027,0.0356,0.376,4.311,0.006005,0.948,3.73417721518987,3.97679324894515,4.67299578059072,10.1054852320675,0.802694480660582,0.0194921608791937,sig_r,d,e,NC,1
12,2.301,10.586,0.459,0.0104,0.0359,0.379,4.3,0.006022,0.9792,3.60498366013072,3.85008169934641,4.52410130718954,9.53839869281046,0.800521512385919,0.019692057199677,sig_r,d,e,NC,1
13,2.301,10.586,0.463,0.01052,0.0363,0.382,4.293,0.00604,0.8967,3.88089662094346,4.05932864949258,4.55001672800268,10.2152336344374,0.798783137766189,0.0200598007717005,sig_r,d,e,NC,1
14,2.301,10.586,0.468,0.01065,0.0366,0.386,4.283,0.006057,0.8591,4.00419043184728,4.13223140495868,5.0052380398091,10.3829589104877,0.796610169491525,0.0203128277727944,sig_r,d,e,NC,1
15,2.301,10.586,0.472,0.01077,0.037,0.389,4.276,0.006075,0.9759,3.54544523004406,3.74013730915053,4.34470744953376,8.90460088123783,0.794871794871795,0.0206834807642716,sig_r,d,e,NC,1
16,2.301,11.876,0.632,0.01989,0.0623,0.503,3.95,0.005365,0.6842,1.98772288804443,2.79158140894475,4.58930137386729,3.82928968137971,0.725336810082573,0.0499664718040226,sig_r,d,e,NC,1
17,2.301,11.876,0.639,0.02019,0.063,0.507,3.936,0.005392,0.7216,1.89855875831486,2.67461197339246,2.57760532150776,3.46452328159645,0.722294654498044,0.0506425581205481,sig_r,d,e,NC,1
18,2.301,11.876,0.646,0.02049,0.0636,0.512,3.922,0.005419,0.7189,1.91959938795382,2.68465711503686,15.4402559465851,3.42189456113507,0.719252498913516,0.0512551709744341,sig_r,d,e,NC,1
19,2.301,11.876,0.653,0.02079,0.0643,0.517,3.909,0.005446,0.739,1.85385656292287,2.62516914749662,4.07307171853857,3.234100135318,0.716210343328987,0.0520276549346188,sig_r,d,e,NC,1
20,2.301,11.876,0.66,0.0211,0.065,0.521,3.895,0.005473,0.7468,1.80771290840921,2.58435993572576,5.31601499732191,3.1065881092662,0.713168187744459,0.0526973270823508,sig_r,d,e,NC,1
21,2.301,11.876,0.667,0.02141,0.0657,0.526,3.881,0.005501,0.747,1.79384203480589,2.57028112449799,4.29718875502008,3.01204819277108,0.71012603215993,0.0534660869266922,sig_r,d,e,NC,1
22,2.301,11.876,0.673,0.02172,0.0663,0.53,3.868,0.005529,0.7293,1.82366652954888,2.59152612093789,4.15466886055121,3.01659125188537,0.707518470230335,0.0540932385026069,sig_r,d,e,NC,1
23,2.301,11.876,0.68,0.02203,0.067,0.535,3.855,0.005557,0.7517,1.7560196887056,2.54090727683916,4.03086337634695,2.84688040441666,0.704476314645806,0.0548585332689966,sig_r,d,e,NC,1
24,2.301,11.876,0.687,0.02234,0.0677,0.539,3.842,0.005586,0.7504,1.7590618336887,2.51865671641791,4.03784648187633,2.75852878464819,0.701434159061278,0.055518802253815,sig_r,d,e,NC,1
25,2.301,11.876,0.694,0.02266,0.0684,0.544,3.828,0.005614,0.7875,1.68888888888889,2.45079365079365,4.99047619047619,2.57777777777778,0.698392003476749,0.0562791433928894,sig_r,d,e,NC,1
26,2.301,11.876,0.701,0.02298,0.069,0.548,3.815,0.005643,0.755,1.72185430463576,2.49006622516556,4.0794701986755,2.60927152317881,0.695349847892221,0.0567680954336532,sig_r,d,e,NC,1
27,2.301,11.876,0.708,0.02331,0.0697,0.553,3.8,0.005673,0.7929,1.65216294614706,2.40887879934418,3.89708664396519,2.40887879934418,0.692307692307692,0.0575223487049299,sig_r,d,e,NC,1
28,2.301,11.876,0.714,0.02363,0.0704,0.557,3.788,0.005702,0.7758,1.67568961072441,2.42330497550915,5.23330755349317,2.39752513534416,0.689700130378097,0.0583018431668282,sig_r,d,e,NC,1
29,2.301,11.876,0.721,0.02396,0.071,0.561,3.774,0.005732,0.7488,1.72275641025641,2.45726495726496,4.20673076923077,2.41720085470085,0.686657974793568,0.0587801530277367,sig_r,d,e,NC,1
30,2.301,11.876,0.728,0.0243,0.0717,0.566,3.76,0.005763,0.7937,1.63789845029608,2.3686531435051,3.17500314980471,2.17966486077863,0.68361581920904,0.0595256252333839,sig_r,d,e,NC,1
31,2.301,11.876,0.735,0.02463,0.0724,0.57,3.747,0.005792,0.7971,1.64345753355915,2.35854974281771,4.05218918579852,2.14527662777569,0.680573663624511,0.0601627677839458,sig_r,d,e,NC,1
32,2.301,13.896,0.406,0.01538,0.0547,0.336,4.382,0.00335,0.3853,3.2701790812354,4.02283934596418,6.33272774461459,11.0563197508435,0.823554976097349,0.0474529505705896,sig_r,d,e,NC,1
33,2.301,13.896,0.411,0.01559,0.0553,0.339,4.372,0.003359,0.4091,3.10437545832315,3.83769249572232,6.01319970667319,10.1686629186018,0.821382007822686,0.0481713791882813,sig_r,d,e,NC,1
34,2.301,13.896,0.415,0.01579,0.0559,0.342,4.364,0.003367,0.3878,3.22331098504384,3.94533264569366,6.39504899432697,10.4693140794224,0.819643633202955,0.0490431372657776,sig_r,d,e,NC,1
35,2.301,13.896,0.419,0.016,0.0565,0.346,4.354,0.003376,0.4308,2.92479108635097,3.64438254410399,6.47632311977716,9.19220055710306,0.817905258583225,0.0500638704148456,sig_r,d,e,NC,1
36,2.301,13.896,0.424,0.0162,0.0571,0.349,4.346,0.003385,0.4356,2.86960514233242,3.58126721763085,6.47382920110193,8.88429752066116,0.815732290308562,0.0507912652864407,sig_r,d,e,NC,1
37,2.301,13.896,0.428,0.01641,0.0577,0.353,4.336,0.003394,0.4411,2.76581274087509,3.49127182044888,5.7356608478803,8.45613239628202,0.813993915688831,0.0518226341121057,sig_r,d,e,NC,1
38,2.301,13.896,0.433,0.01661,0.0582,0.356,4.329,0.003403,0.4484,2.69848349687779,3.4121320249777,5.68688670829616,8.14005352363961,0.811820947414168,0.0523746691809696,sig_r,d,e,NC,1
39,2.301,13.896,0.437,0.01682,0.0588,0.359,4.32,0.003412,0.4313,2.7591003941572,3.47785763969395,5.95872942267563,8.25411546487364,0.810082572794437,0.053266159788295,sig_r,d,e,NC,1
40,2.301,13.896,0.441,0.01703,0.0594,0.363,4.311,0.003421,0.4154,2.81656234954261,3.51468464130958,6.25902744342802,8.37746750120366,0.808344198174707,0.0543114110434118,sig_r,d,e,NC,1
41,2.301,13.896,0.446,0.01724,0.06,0.366,4.302,0.00343,0.4257,2.77190509748649,3.42964529011041,6.13107822410148,7.98684519614752,0.806171229900044,0.0550502987049771,sig_r,d,e,NC,1
42,2.301,13.896,0.45,0.01745,0.0606,0.369,4.294,0.003439,0.4174,2.75515093435553,3.44992812649736,6.66027791087686,7.93004312410158,0.804432855280313,0.0559535043611353,sig_r,d,e,NC,1
