,Elab,exp,theta,E',x,Q2,sigma (ub/srGeV),epsilon,W2,Gamma_v,%stat_u,%syst_u,%rad1_c,%rad2_c,y,*value,obs,target,curent,lepton beam,units
332,5.648,e99118,10.566,3.788,0.20785,0.7255,0.3969,0.91,3.645,0.005608,0.791131267321744,1.39077853363568,0.269589317208365,0.08994708994709,0.329320113314448,0.299728138042595,sig_r,p,e,NC,1
333,5.648,e99118,10.566,3.748,0.20138,0.7179,0.3828,0.907,3.727,0.005549,0.801985370950888,1.40282131661442,0.284743991640543,0.0945663531870429,0.336402266288952,0.294153876531037,sig_r,p,e,NC,1
334,5.648,e99118,10.566,3.709,0.19517,0.7103,0.3792,0.903,3.809,0.005489,0.812236286919831,1.41086497890295,0.287447257383966,0.0986286919831224,0.343307365439093,0.296052060134937,sig_r,p,e,NC,1
335,5.648,e99118,10.566,3.669,0.18922,0.7027,0.3738,0.899,3.891,0.005426,0.813269127875869,1.42054574638844,0.302300695559122,0.103531300160514,0.350389518413598,0.296620818416481,sig_r,p,e,NC,1
336,5.648,e99118,22.566,0.787,0.07466,0.681,0.02014,0.26,9.321,0.0004602,4.11618669314796,2.67130089374379,1.4746772591857,5.61072492552135,0.860658640226629,0.239112623222281,sig_r,p,e,NC,1
337,5.648,e99118,22.566,0.78,0.07386,0.6747,0.02039,0.258,9.34,0.0004599,4.07062285434036,2.68268759195684,1.46150073565473,5.73810691515449,0.861898016997167,0.240203604912074,sig_r,p,e,NC,1
338,5.648,e99118,22.566,0.773,0.07305,0.6683,0.02185,0.256,9.361,0.0004595,3.84897025171625,2.61327231121281,1.40045766590389,5.49199084668192,0.863137393767706,0.255305982002318,sig_r,p,e,NC,1
339,5.648,e99118,18.566,1.132,0.07851,0.6653,0.03492,0.372,8.689,0.0007373,3.4077892325315,2.19931271477663,1.14833906071019,2.58304696449026,0.79957507082153,0.25058398168211,sig_r,p,e,NC,1
340,5.648,e99118,14.566,1.828,0.09258,0.6637,0.07678,0.571,7.385,0.001457,2.21411825996353,1.81036728314665,0.79447772857515,0.619953112789789,0.676345609065156,0.270593680076984,sig_r,p,e,NC,1
341,5.648,e99118,22.566,0.765,0.07225,0.662,0.0205,0.253,9.381,0.0004592,4.05365853658537,2.74146341463415,1.48292682926829,6.09756097560976,0.864553824362606,0.237996300150244,sig_r,p,e,NC,1
342,5.648,e99118,18.566,1.121,0.07759,0.6591,0.03406,0.368,8.716,0.0007361,3.46447445684087,2.24603640634175,1.20082207868467,2.7745155607751,0.801522662889518,0.243024497503892,sig_r,p,e,NC,1
343,5.648,e99118,14.566,1.811,0.09131,0.6575,0.07952,0.567,7.424,0.001451,2.13782696177062,1.79828973843058,0.767102615694165,0.628772635814889,0.67935552407932,0.279366073062738,sig_r,p,e,NC,1
344,5.648,e99118,22.566,0.758,0.07145,0.6557,0.02021,0.251,9.401,0.0004588,4.11182582879763,2.77585353785255,1.92478970806531,6.28401781296388,0.865793201133145,0.232742352823408,sig_r,p,e,NC,1
