,exp,Elab,X,Y,Q2,obs,target,lepton beam,current,units,value,stat_u,syst_u,*norm_c,*nv,*E',*sin2 theta/2,*epsilon
0,hermes,27.6,0.0069,0.8143,0.291,sig_r,p,e_plus,NC,1,0.14001,0.0022401,0.0099747,0.01064076,22.4807638824511,5.11923611754891,0.000514895094637566,0.358370771644991
1,hermes,27.6,0.0102,0.7647,0.404,sig_r,p,e_plus,NC,1,0.17311,0.0023369,0.0085462,0.01315636,21.1129227810527,6.48707721894728,0.000564109253881969,0.445105723619587
2,hermes,27.6,0.0142,0.6989,0.514,sig_r,p,e_plus,NC,1,0.1932,0.0017581,0.0095272,0.0146832,19.2948737199315,8.30512628006848,0.000560593173956036,0.551372219108377
3,hermes,27.6,0.0186,0.6498,0.626,sig_r,p,e_plus,NC,1,0.21521,0.0021306,0.0093051,0.01635596,17.9402526537818,9.65974734621822,0.000587001880260603,0.623001165211972
4,hermes,27.6,0.0244,0.5737,0.725,sig_r,p,e_plus,NC,1,0.25564,0.0021218,0.012663,0.01942864,15.838547310287,11.761452689713,0.000558351859991835,0.720602600867715
5,hermes,27.6,0.0325,0.518,0.872,sig_r,p,e_plus,NC,1,0.28002,0.0024642,0.011482,0.02128152,14.3021157946531,13.2978842053469,0.000593970484527289,0.781239602028246
6,hermes,27.6,0.0398,0.4381,0.903,sig_r,p,e_plus,NC,1,0.2971,0.0039217,0.012881,0.0225796,12.0940523513088,15.5059476486912,0.000527497448811349,0.853219266698449
7,hermes,27.6,0.0486,0.3691,0.929,sig_r,p,e_plus,NC,1,0.32455,0.0069779,0.022728,0.0246658,10.1893530583415,17.4106469416585,0.000483316622332367,0.90167418065591
8,hermes,27.6,0.0595,0.3576,1.102,sig_r,p,e_plus,NC,1,0.32569,0.0079469,0.011469,0.02475244,9.8726057587214,17.7273942412786,0.000563076779481103,0.908440504077849
9,hermes,27.6,0.0724,0.3006,1.127,sig_r,p,e_plus,NC,1,0.36193,0.00865,0.020502,0.02750668,8.297600395811,19.302399604189,0.000528863433700643,0.938341004203599
10,hermes,27.6,0.0882,0.2555,1.167,sig_r,p,e_plus,NC,1,0.34684,0.0078038,0.01262,0.02635984,7.05292778092047,20.5470722190795,0.000514460262815321,0.957020104096482
11,hermes,27.6,0.1078,0.2158,1.205,sig_r,p,e_plus,NC,1,0.37032,0.011961,0.022276,0.02814432,5.9584795344771,21.6415204655229,0.000504347884884161,0.970173117558144
12,hermes,27.6,0.133,0.1834,1.263,sig_r,p,e_plus,NC,1,0.36616,0.009447,0.010417,0.02782816,5.06196194110008,22.5380380588999,0.000507595974476882,0.978835470479726
13,hermes,27.6,0.1657,0.1558,1.337,sig_r,p,e_plus,NC,1,0.38079,0.0085677,0.02937,0.02894004,4.30106558336861,23.2989344166314,0.000519788031066863,0.984803004201644
14,hermes,27.6,0.2093,0.1335,1.447,sig_r,p,e_plus,NC,1,0.33987,0.0059477,0.012261,0.02583012,3.68524587491863,23.9147541250814,0.00054806685401899,0.988737973009334
15,hermes,27.6,0.2642,0.1278,1.749,sig_r,p,e_plus,NC,1,0.35104,0.0038614,0.015448,0.02667904,3.52877657780095,24.0712234221991,0.000658146494113697,0.989418295637869
16,hermes,27.6,0.3477,0.1484,2.672,sig_r,p,e_plus,NC,1,0.26921,0.0032843,0.021319,0.02045996,4.09636766248874,23.5036323375113,0.00102975141047018,0.985213241658218
17,hermes,27.6,0.4605,0.1771,4.224,sig_r,p,e_plus,NC,1,0.17832,0.0019437,0.0080078,0.01355232,4.88946611752776,22.7105338824722,0.00168471907191696,0.97801657400734
18,hermes,27.6,0.6346,0.2643,8.688,sig_r,p,e_plus,NC,1,0.063223,0.0016564,0.0011123,0.004804948,7.29771519692071,20.3022848030793,0.00387619683879014,0.94742820783037
19,hermes,27.6,0.0085,0.8041,0.354,sig_r,p,e_plus,NC,1,0.16138,0.00234,0.0084944,0.01226488,22.1999247460178,5.40007525398219,0.000593792047021167,0.376574361879144
20,hermes,27.6,0.0117,0.7872,0.477,sig_r,p,e_plus,NC,1,0.19268,0.0016378,0.0075908,0.01464368,21.7319993439396,5.86800065606036,0.00073630737744563,0.406406528080603
21,hermes,27.6,0.0152,0.7774,0.612,sig_r,p,e_plus,NC,1,0.20477,0.0013924,0.0065683,0.01556252,21.4622376837616,6.13776231623836,0.000903175778932245,0.423261651214904
22,hermes,27.6,0.0193,0.7703,0.77,sig_r,p,e_plus,NC,1,0.21848,0.0015294,0.0066547,0.01660448,21.266723377929,6.333276622071,0.00110126844244468,0.435287656131353
23,hermes,27.6,0.025,0.692,0.896,sig_r,p,e_plus,NC,1,0.23766,0.0013309,0.0053013,0.01806216,19.1044776119403,8.4955223880597,0.000955319950706305,0.561499279236707
24,hermes,27.6,0.0327,0.6755,1.144,sig_r,p,e_plus,NC,1,0.26075,0.0018513,0.0053455,0.019817,18.6485658209607,8.95143417903928,0.00115761548745386,0.585840354233773
25,hermes,27.6,0.0401,0.5171,1.074,sig_r,p,e_plus,NC,1,0.29637,0.0032304,0.0088744,0.02252412,14.2766750501146,13.3233249498854,0.000730167650054117,0.781979454139777
26,hermes,27.6,0.049,0.4425,1.123,sig_r,p,e_plus,NC,1,0.31174,0.0033045,0.0088348,0.02369224,12.216613724381,15.383386275619,0.000661239421998851,0.849476320753766
27,hermes,27.6,0.0596,0.415,1.281,sig_r,p,e_plus,NC,1,0.33033,0.0066066,0.0082722,0.02510508,11.4569768606631,16.1430231393369,0.000718778680387982,0.870436346734673
28,hermes,27.6,0.0725,0.3619,1.359,sig_r,p,e_plus,NC,1,0.34015,0.0058505,0.013719,0.0258514,9.99191235938534,17.6080876406147,0.000699098213272293,0.905642145734346
29,hermes,27.6,0.0884,0.3056,1.399,sig_r,p,e_plus,NC,1,0.36443,0.0064868,0.013234,0.02769668,8.43592316375459,19.1640768362454,0.00066124246722432,0.935768408551555
30,hermes,27.6,0.1082,0.2773,1.554,sig_r,p,e_plus,NC,1,0.36865,0.0042026,0.016129,0.0280174,7.65580599773774,19.9441940022623,0.000705773668012109,0.948147067858076
31,hermes,27.6,0.1333,0.2364,1.632,sig_r,p,e_plus,NC,1,0.36985,0.0061764,0.0072336,0.0281086,6.52615179381199,21.073848206188,0.000701466981778463,0.963351887472225
32,hermes,27.6,0.1661,0.2105,1.811,sig_r,p,e_plus,NC,1,0.37066,0.0035954,0.015353,0.02817016,5.8118712364042,21.7881287635958,0.000752886385298705,0.971238733779441
33,hermes,27.6,0.2104,0.1881,2.05,sig_r,p,e_plus,NC,1,0.35028,0.0048338,0.010103,0.02662128,5.19368124072738,22.4063187592726,0.000828732322306431,0.977052751782248
34,hermes,27.6,0.2722,0.1753,2.471,sig_r,p,e_plus,NC,1,0.32769,0.003113,0.012933,0.02490444,4.83895730751094,22.7610426924891,0.000983357690559472,0.979792908670917
35,hermes,27.6,0.362,0.2021,3.79,sig_r,p,e_plus,NC,1,0.26786,0.0021696,0.0061659,0.02035736,5.58081730259515,22.0191826974048,0.00155908194308109,0.972017990894879
36,hermes,27.6,0.49,0.2374,6.026,sig_r,p,e_plus,NC,1,0.15506,0.00096136,0.0018094,0.01178456,6.55541534310953,21.0445846568905,0.00259369972005893,0.959425686253215
37,hermes,27.6,0.6641,0.3715,12.778,sig_r,p,e_plus,NC,1,0.047148,0.0010325,0.00051669,0.003583248,10.2564382467382,17.3435617532618,0.00667352849834439,0.889636810501007
38,hermes,27.6,0.027,0.7809,1.092,sig_r,p,e_plus,NC,1,0.24036,0.0018267,0.0082245,0.01826736,21.558872305141,6.04112769485904,0.00163732747384955,0.416779843127667
39,hermes,27.6,0.0338,0.7946,1.391,sig_r,p,e_plus,NC,1,0.25554,0.0027598,0.0097054,0.01942104,21.9370182056749,5.66298179432508,0.00222491227038477,0.392563039432707
40,hermes,27.6,0.0401,0.6226,1.293,sig_r,p,e_plus,NC,1,0.2831,0.0023498,0.0089027,0.0215156,17.1878406329592,10.4121593670408,0.00112483454285311,0.659269407419767
41,hermes,27.6,0.049,0.5753,1.46,sig_r,p,e_plus,NC,1,0.302,0.002114,0.0053171,0.022952,15.88268569688,11.71731430312,0.00112864068839035,0.718021997707174
42,hermes,27.6,0.0596,0.4749,1.466,sig_r,p,e_plus,NC,1,0.32267,0.0035494,0.0063194,0.02452292,13.1115753924529,14.4884246075471,0.00091652376755505,0.821700862433371
43,hermes,27.6,0.0726,0.4327,1.627,sig_r,p,e_plus,NC,1,0.34009,0.003673,0.0072785,0.02584684,11.9458786351595,15.6541213648405,0.000941433792233147,0.856761181871855
44,hermes,27.6,0.0885,0.3689,1.691,sig_r,p,e_plus,NC,1,0.34286,0.0037371,0.0051896,0.02605736,10.1851517232241,17.4148482767759,0.000879538468671801,0.901088232980619
45,hermes,27.6,0.1082,0.3592,2.013,sig_r,p,e_plus,NC,1,0.35991,0.0034191,0.009833,0.02735316,9.91707688123943,17.6829231187606,0.00103114714290812,0.906679806565312
46,hermes,27.6,0.1334,0.3123,2.158,sig_r,p,e_plus,NC,1,0.35255,0.0036665,0.0077928,0.0267938,8.62308717709375,18.9769128229063,0.00103004643756812,0.931862683284107
47,hermes,27.6,0.1662,0.2856,2.458,sig_r,p,e_plus,NC,1,0.35834,0.004121,0.003758,0.02723384,7.88348099625647,19.7165190037435,0.00112923040570173,0.943904156533492
48,hermes,27.6,0.2105,0.2615,2.851,sig_r,p,e_plus,NC,1,0.35225,0.0025714,0.0085373,0.026771,7.21958581709707,20.3804141829029,0.00126711239185623,0.953354911151936
49,hermes,27.6,0.2724,0.2466,3.479,sig_r,p,e_plus,NC,1,0.31434,0.0020746,0.0055642,0.02388984,6.80792074867951,20.7920792513205,0.00151560990021808,0.958332191203299
50,hermes,27.6,0.3622,0.2732,5.125,sig_r,p,e_plus,NC,1,0.24792,0.0014875,0.0045985,0.01884192,7.542452602492,20.057547397508,0.00231444555654112,0.946843718131606
51,hermes,27.6,0.4957,0.3225,8.28,sig_r,p,e_plus,NC,1,0.14624,0.0009652,0.0032793,0.01111424,8.90386535290922,18.6961346470908,0.00401152438275098,0.921503271930975
52,hermes,27.6,0.0408,0.7643,1.615,sig_r,p,e_plus,NC,1,0.26979,0.0019425,0.0091036,0.02050404,21.0998578535892,6.50014214641081,0.00225050819796045,0.444820750651095
53,hermes,27.6,0.0496,0.7501,1.927,sig_r,p,e_plus,NC,1,0.2791,0.0018142,0.008706,0.0212116,20.7093851021391,6.89061489786093,0.00253311357602441,0.468275160161886
54,hermes,27.6,0.0596,0.5426,1.675,sig_r,p,e_plus,NC,1,0.31496,0.0038425,0.006449,0.02393696,14.9808245445829,12.6191754554171,0.00120230529347006,0.754729848028336
