,x,Q2,W2,value,%stat_u,%*syst_u,%*norm_c,exp,target,current,lepton beam,units,obs
0,0.3122129,1.4,3.96412,0.2446567,1.49891337535412,2.83,1.26,jlcee96,d,e,nc,1,f2
1,0.3140183,1.4,3.938339,0.2367156,1.52222160263202,2.83,1.26,jlcee96,d,e,nc,1,f2
2,0.3158447,1.4,3.912557,0.2373147,1.53028194207944,2.83,1.26,jlcee96,d,e,nc,1,f2
3,0.3176925,1.4,3.886776,0.2375364,1.54142396702148,2.83,1.26,jlcee96,d,e,nc,1,f2
4,0.3195621,1.4,3.860995,0.2332841,1.53148414315421,2.83,1.26,jlcee96,d,e,nc,1,f2
5,0.3214538,1.4,3.835214,0.2339213,1.5456749770115,2.83,1.26,jlcee96,d,e,nc,1,f2
6,0.323368,1.4,3.809433,0.2304558,1.53788492196768,2.83,1.26,jlcee96,d,e,nc,1,f2
7,0.3253052,1.4,3.783651,0.2351897,1.53777950309899,2.83,1.26,jlcee96,d,e,nc,1,f2
8,0.3272656,1.4,3.757871,0.2291111,1.55113610820253,2.83,1.26,jlcee96,d,e,nc,1,f2
9,0.3292499,1.4,3.732089,0.2372426,1.54399884337804,2.83,1.26,jlcee96,d,e,nc,1,f2
10,0.3312584,1.4,3.706308,0.2396053,1.52998493772884,2.83,1.26,jlcee96,d,e,nc,1,f2
11,0.3332915,1.4,3.680527,0.2363252,1.54607845460408,2.83,1.26,jlcee96,d,e,nc,1,f2
12,0.3353497,1.4,3.654746,0.231291,1.56515255673589,2.83,1.26,jlcee96,d,e,nc,1,f2
13,0.3374335,1.4,3.628965,0.2299432,1.56096636038813,2.83,1.26,jlcee96,d,e,nc,1,f2
14,0.3395434,1.4,3.603184,0.2287455,1.56868615994632,2.83,1.26,jlcee96,d,e,nc,1,f2
15,0.3416799,1.4,3.577403,0.2273652,1.59743487569778,2.83,1.26,jlcee96,d,e,nc,1,f2
16,0.3438433,1.4,3.551621,0.2235822,1.5926370703929,2.83,1.26,jlcee96,d,e,nc,1,f2
17,0.3460344,1.4,3.52584,0.2385937,1.13653126633268,2.83,1.26,jlcee96,d,e,nc,1,f2
18,0.3482535,1.4,3.500059,0.2267132,0.944619457534894,2.83,1.26,jlcee96,d,e,nc,1,f2
19,0.3505014,1.4,3.474278,0.224297,0.958315536988903,2.83,1.26,jlcee96,d,e,nc,1,f2
20,0.3550852,1.4,3.422716,0.2237552,1.1882503736226,2.83,1.26,jlcee96,d,e,nc,1,f2
21,0.3574223,1.4,3.396935,0.2213436,1.18211820897464,2.83,1.26,jlcee96,d,e,nc,1,f2
22,0.3597904,1.4,3.371154,0.2148201,1.19068979113221,2.83,1.26,jlcee96,d,e,nc,1,f2
23,0.3621902,1.4,3.345373,0.2184458,1.18989424378954,2.83,1.26,jlcee96,d,e,nc,1,f2
24,0.3646221,1.4,3.319592,0.2143029,1.18870159946506,2.83,1.26,jlcee96,d,e,nc,1,f2
25,0.3670869,1.4,3.293811,0.2162236,1.19098007803034,2.83,1.26,jlcee96,d,e,nc,1,f2
26,0.3695853,1.4,3.268029,0.2214207,1.19015521132396,2.83,1.26,jlcee96,d,e,nc,1,f2
