,exp,x*,q2,elab*,w2,obs,target,lepton beam,current,units,value,f2nstat_u,f2nsys_u,*%norm_c
0,bonus,0.079,0.423,4.223,5.712,F2,n,e,nc,1,0.002,0.002,0.109,3
1,bonus,0.113,0.505,4.223,5.067,F2,n,e,nc,1,0.107,0.13,0.067,3
2,bonus,0.111,0.508,4.223,5.151,F2,n,e,nc,1,0.05,0.084,0.095,3
3,bonus,0.104,0.513,4.223,5.427,F2,n,e,nc,1,0.172,0.191,0.033,3
4,bonus,0.102,0.513,4.223,5.553,F2,n,e,nc,1,0.333,0.166,0.051,3
5,bonus,0.257,0.611,4.223,2.718,F2,n,e,nc,1,0.277,0.451,0.037,3
6,bonus,0.218,0.629,4.223,3.135,F2,n,e,nc,1,0.381,0.21,0.082,3
7,bonus,0.212,0.628,4.223,3.213,F2,n,e,nc,1,0.205,0.144,0.013,3
8,bonus,0.204,0.624,4.223,3.348,F2,n,e,nc,1,0.392,0.175,0.086,3
9,bonus,0.197,0.627,4.223,3.418,F2,n,e,nc,1,0.364,0.157,0.071,3
10,bonus,0.191,0.624,4.223,3.499,F2,n,e,nc,1,0.187,0.099,0.024,3
11,bonus,0.188,0.626,4.223,3.563,F2,n,e,nc,1,0.182,0.094,0.027,3
12,bonus,0.185,0.625,4.223,3.632,F2,n,e,nc,1,0.134,0.072,0.051,3
13,bonus,0.179,0.626,4.223,3.725,F2,n,e,nc,1,0.181,0.072,0.03,3
14,bonus,0.177,0.625,4.223,3.818,F2,n,e,nc,1,0.135,0.061,0.054,3
15,bonus,0.171,0.626,4.223,3.882,F2,n,e,nc,1,0.241,0.074,0.012,3
16,bonus,0.167,0.625,4.223,3.962,F2,n,e,nc,1,0.132,0.05,0.058,3
17,bonus,0.164,0.625,4.223,4.048,F2,n,e,nc,1,0.156,0.048,0.048,3
18,bonus,0.162,0.625,4.223,4.116,F2,n,e,nc,1,0.247,0.055,0.013,3
19,bonus,0.159,0.624,4.223,4.199,F2,n,e,nc,1,0.158,0.041,0.049,3
20,bonus,0.154,0.624,4.223,4.277,F2,n,e,nc,1,0.213,0.043,0.025,3
21,bonus,0.15,0.623,4.223,4.373,F2,n,e,nc,1,0.209,0.039,0.027,3
22,bonus,0.147,0.623,4.223,4.455,F2,n,e,nc,1,0.266,0.039,0.014,3
23,bonus,0.144,0.622,4.223,4.536,F2,n,e,nc,1,0.154,0.03,0.053,3
24,bonus,0.142,0.621,4.223,4.622,F2,n,e,nc,1,0.203,0.031,0.03,3
25,bonus,0.138,0.62,4.223,4.71,F2,n,e,nc,1,0.209,0.029,0.027,3
26,bonus,0.136,0.619,4.223,4.792,F2,n,e,nc,1,0.232,0.028,0.017,3
27,bonus,0.133,0.618,4.223,4.887,F2,n,e,nc,1,0.233,0.027,0.016,3
28,bonus,0.13,0.617,4.223,4.975,F2,n,e,nc,1,0.22,0.024,0.021,3
29,bonus,0.127,0.616,4.223,5.06,F2,n,e,nc,1,0.212,0.023,0.023,3
30,bonus,0.125,0.615,4.223,5.153,F2,n,e,nc,1,0.199,0.021,0.028,3
31,bonus,0.122,0.614,4.223,5.241,F2,n,e,nc,1,0.195,0.02,0.028,3
32,bonus,0.12,0.612,4.223,5.353,F2,n,e,nc,1,6.332,7.339,3.061,3
33,bonus,0.117,0.61,4.223,5.434,F2,n,e,nc,1,10.758,3.198,5.286,3
34,bonus,0.625,0.755,4.223,1.317,F2,n,e,nc,1,0.043,0.058,0.014,3
35,bonus,0.599,0.753,4.223,1.372,F2,n,e,nc,1,0.127,0.076,0.011,3
36,bonus,0.585,0.752,4.223,1.411,F2,n,e,nc,1,0.072,0.071,0.06,3
37,bonus,0.556,0.751,4.223,1.466,F2,n,e,nc,1,0.417,0.113,0.084,3
38,bonus,0.537,0.752,4.223,1.513,F2,n,e,nc,1,0.216,0.079,0.02,3
39,bonus,0.519,0.751,4.223,1.559,F2,n,e,nc,1,0.286,0.077,0.039,3
40,bonus,0.498,0.75,4.223,1.617,F2,n,e,nc,1,0.236,0.067,0.033,3
41,bonus,0.488,0.75,4.223,1.654,F2,n,e,nc,1,0.134,0.047,0.014,3
42,bonus,0.467,0.75,4.223,1.72,F2,n,e,nc,1,0.054,0.03,0.044,3
43,bonus,0.451,0.749,4.223,1.767,F2,n,e,nc,1,0.064,0.033,0.036,3
44,bonus,0.44,0.749,4.223,1.828,F2,n,e,nc,1,0.105,0.034,0.015,3
45,bonus,0.428,0.748,4.223,1.867,F2,n,e,nc,1,0.09,0.032,0.022,3
46,bonus,0.412,0.747,4.223,1.936,F2,n,e,nc,1,0.102,0.034,0.018,3
47,bonus,0.396,0.748,4.223,1.992,F2,n,e,nc,1,0.063,0.028,0.038,3
48,bonus,0.388,0.747,4.223,2.05,F2,n,e,nc,1,0.167,0.035,0.013,3
49,bonus,0.376,0.746,4.223,2.105,F2,n,e,nc,1,0.132,0.033,0.015,3
50,bonus,0.365,0.746,4.223,2.159,F2,n,e,nc,1,0.154,0.034,0.014,3
51,bonus,0.355,0.745,4.223,2.22,F2,n,e,nc,1,0.212,0.037,0.014,3
52,bonus,0.345,0.744,4.223,2.279,F2,n,e,nc,1,0.182,0.033,0.011,3
53,bonus,0.336,0.743,4.223,2.339,F2,n,e,nc,1,0.163,0.03,0.015,3
54,bonus,0.326,0.742,4.223,2.398,F2,n,e,nc,1,0.153,0.027,0.018,3
55,bonus,0.317,0.742,4.223,2.461,F2,n,e,nc,1,0.248,0.032,0.034,3
56,bonus,0.308,0.741,4.223,2.528,F2,n,e,nc,1,0.17,0.027,0.011,3
57,bonus,0.3,0.739,4.223,2.591,F2,n,e,nc,1,0.22,0.029,0.02,3
58,bonus,0.291,0.738,4.223,2.654,F2,n,e,nc,1,0.195,0.027,0.01,3
59,bonus,0.284,0.738,4.223,2.723,F2,n,e,nc,1,0.175,0.025,0.017,3
60,bonus,0.277,0.737,4.223,2.789,F2,n,e,nc,1,0.194,0.026,0.017,3
61,bonus,0.269,0.736,4.223,2.857,F2,n,e,nc,1,0.232,0.026,0.013,3
62,bonus,0.262,0.735,4.223,2.924,F2,n,e,nc,1,0.234,0.026,0.013,3
63,bonus,0.256,0.734,4.223,2.992,F2,n,e,nc,1,0.24,0.024,0.013,3
64,bonus,0.249,0.733,4.223,3.061,F2,n,e,nc,1,0.253,0.024,0.02,3
65,bonus,0.244,0.732,4.223,3.134,F2,n,e,nc,1,0.188,0.02,0.018,3
66,bonus,0.238,0.731,4.223,3.205,F2,n,e,nc,1,0.211,0.021,0.011,3
67,bonus,0.231,0.73,4.223,3.276,F2,n,e,nc,1,0.201,0.019,0.013,3
68,bonus,0.226,0.729,4.223,3.347,F2,n,e,nc,1,0.187,0.019,0.02,3
69,bonus,0.221,0.728,4.223,3.424,F2,n,e,nc,1,0.209,0.019,0.013,3
70,bonus,0.216,0.727,4.223,3.498,F2,n,e,nc,1,0.25,0.02,0.017,3
71,bonus,0.21,0.726,4.223,3.574,F2,n,e,nc,1,0.258,0.02,0.019,3
72,bonus,0.206,0.725,4.223,3.651,F2,n,e,nc,1,0.236,0.019,0.012,3
73,bonus,0.202,0.723,4.223,3.725,F2,n,e,nc,1,0.255,0.019,0.015,3
74,bonus,0.196,0.722,4.223,3.803,F2,n,e,nc,1,0.251,0.019,0.013,3
75,bonus,0.192,0.721,4.223,3.881,F2,n,e,nc,1,0.259,0.019,0.015,3
76,bonus,0.188,0.719,4.223,3.96,F2,n,e,nc,1,0.247,0.018,0.012,3
77,bonus,0.183,0.718,4.223,4.04,F2,n,e,nc,1,0.233,0.017,0.015,3
78,bonus,0.18,0.717,4.223,4.118,F2,n,e,nc,1,0.245,0.017,0.013,3
79,bonus,0.176,0.716,4.223,4.204,F2,n,e,nc,1,0.247,0.017,0.013,3
80,bonus,0.173,0.714,4.223,4.284,F2,n,e,nc,1,0.222,0.016,0.022,3
81,bonus,0.169,0.713,4.223,4.367,F2,n,e,nc,1,0.252,0.017,0.013,3
82,bonus,0.165,0.712,4.223,4.455,F2,n,e,nc,1,0.24,0.016,0.016,3
83,bonus,0.163,0.712,4.223,4.538,F2,n,e,nc,1,0.249,0.016,0.014,3
84,bonus,0.159,0.711,4.223,4.622,F2,n,e,nc,1,0.26,0.016,0.013,3
85,bonus,0.156,0.712,4.223,4.71,F2,n,e,nc,1,0.25,0.016,0.014,3
86,bonus,0.153,0.711,4.223,4.794,F2,n,e,nc,1,0.242,0.015,0.015,3
87,bonus,0.15,0.711,4.223,4.884,F2,n,e,nc,1,0.208,0.014,0.028,3
88,bonus,0.147,0.71,4.223,4.97,F2,n,e,nc,1,0.227,0.015,0.02,3
89,bonus,0.145,0.709,4.223,5.063,F2,n,e,nc,1,0.239,0.015,0.015,3
90,bonus,0.142,0.709,4.223,5.154,F2,n,e,nc,1,0.26,0.016,0.013,3
91,bonus,0.139,0.708,4.223,5.246,F2,n,e,nc,1,0.266,0.016,0.015,3
92,bonus,0.7,0.865,4.223,1.235,F2,n,e,nc,1,0.014,0.004,0.002,3
93,bonus,0.676,0.863,4.223,1.279,F2,n,e,nc,1,0.043,0.008,0.005,3
94,bonus,0.652,0.863,4.223,1.323,F2,n,e,nc,1,0.082,0.012,0.008,3
95,bonus,0.629,0.862,4.223,1.37,F2,n,e,nc,1,0.161,0.016,0.021,3
96,bonus,0.609,0.861,4.223,1.418,F2,n,e,nc,1,0.205,0.018,0.018,3
97,bonus,0.59,0.861,4.223,1.465,F2,n,e,nc,1,0.261,0.019,0.026,3
98,bonus,0.571,0.859,4.223,1.515,F2,n,e,nc,1,0.275,0.019,0.034,3
99,bonus,0.552,0.859,4.223,1.562,F2,n,e,nc,1,0.218,0.016,0.02,3
100,bonus,0.534,0.858,4.223,1.613,F2,n,e,nc,1,0.168,0.013,0.012,3
101,bonus,0.518,0.858,4.223,1.664,F2,n,e,nc,1,0.151,0.012,0.01,3
102,bonus,0.501,0.857,4.223,1.715,F2,n,e,nc,1,0.135,0.011,0.008,3
103,bonus,0.486,0.857,4.223,1.77,F2,n,e,nc,1,0.136,0.011,0.01,3
104,bonus,0.473,0.856,4.223,1.822,F2,n,e,nc,1,0.121,0.011,0.007,3
105,bonus,0.457,0.855,4.223,1.879,F2,n,e,nc,1,0.105,0.01,0.011,3
106,bonus,0.444,0.854,4.223,1.933,F2,n,e,nc,1,0.119,0.011,0.007,3
107,bonus,0.431,0.853,4.223,1.987,F2,n,e,nc,1,0.118,0.011,0.009,3
108,bonus,0.419,0.853,4.223,2.045,F2,n,e,nc,1,0.136,0.012,0.007,3
109,bonus,0.408,0.852,4.223,2.102,F2,n,e,nc,1,0.16,0.013,0.01,3
110,bonus,0.396,0.851,4.223,2.158,F2,n,e,nc,1,0.149,0.013,0.011,3
111,bonus,0.384,0.85,4.223,2.22,F2,n,e,nc,1,0.199,0.014,0.012,3
112,bonus,0.374,0.849,4.223,2.281,F2,n,e,nc,1,0.195,0.014,0.012,3
113,bonus,0.365,0.849,4.223,2.34,F2,n,e,nc,1,0.197,0.014,0.013,3
114,bonus,0.356,0.848,4.223,2.402,F2,n,e,nc,1,0.178,0.013,0.009,3
115,bonus,0.345,0.847,4.223,2.467,F2,n,e,nc,1,0.168,0.012,0.009,3
116,bonus,0.338,0.847,4.223,2.528,F2,n,e,nc,1,0.177,0.013,0.009,3
117,bonus,0.329,0.846,4.223,2.594,F2,n,e,nc,1,0.184,0.013,0.01,3
