,exp,target,current,lepton beam,units,obs,x,Q2,w2,value,%stat_u,%*syst_u,%*norm_c
0,jlcee96,p,e,nc,1,f2,0.1282933,0.45,3.937588,0.2594219,1.17414836604003,2.83,1.26
1,jlcee96,p,e,nc,1,f2,0.1290916,0.45,3.915897,0.2487565,1.19386749692973,2.83,1.26
2,jlcee96,p,e,nc,1,f2,0.1298999,0.45,3.894206,0.2593278,1.18887022525159,2.83,1.26
3,jlcee96,p,e,nc,1,f2,0.1307184,0.45,3.872514,0.256887,1.18892042026261,2.83,1.26
4,jlcee96,p,e,nc,1,f2,0.1315473,0.45,3.850823,0.249241,1.19345452794685,2.83,1.26
5,jlcee96,p,e,nc,1,f2,0.1323867,0.45,3.829132,0.2653612,1.19331725964459,2.83,1.26
6,jlcee96,p,e,nc,1,f2,0.133237,0.45,3.807441,0.2572572,1.18899412727807,2.83,1.26
7,jlcee96,p,e,nc,1,f2,0.1340982,0.45,3.785749,0.2674955,1.19943849522702,2.83,1.26
8,jlcee96,p,e,nc,1,f2,0.1349707,0.45,3.764058,0.2584394,1.20008056047182,2.83,1.26
9,jlcee96,p,e,nc,1,f2,0.1358545,0.45,3.742367,0.2528163,1.22166806491512,2.83,1.26
10,jlcee96,p,e,nc,1,f2,0.13675,0.45,3.720676,0.2612768,1.22741667074918,2.83,1.26
11,jlcee96,p,e,nc,1,f2,0.1395088,0.45,3.655602,0.2544774,1.28379416011009,2.83,1.26
12,jlcee96,p,e,nc,1,f2,0.1404533,0.45,3.633911,0.253752,1.29513501371418,2.83,1.26
13,jlcee96,p,e,nc,1,f2,0.1414107,0.45,3.61222,0.2505725,1.29148330323559,2.83,1.26
14,jlcee96,p,e,nc,1,f2,0.1423813,0.45,3.590528,0.2559901,1.28445592231887,2.83,1.26
15,jlcee96,p,e,nc,1,f2,0.1433652,0.45,3.568837,0.2475434,1.2973187731929,2.83,1.26
16,jlcee96,p,e,nc,1,f2,0.1443628,0.45,3.547146,0.2594727,1.29272559309708,2.83,1.26
17,jlcee96,p,e,nc,1,f2,0.1453744,0.45,3.525455,0.2542227,1.28906938680141,2.83,1.26
18,jlcee96,p,e,nc,1,f2,0.1464003,0.45,3.503764,0.2579277,1.29459961066609,2.83,1.26
19,jlcee96,p,e,nc,1,f2,0.1474408,0.45,3.482072,0.2595169,1.30233214098966,2.83,1.26
20,jlcee96,p,e,nc,1,f2,0.1484962,0.45,3.460381,0.2557458,1.30679096196301,2.83,1.26
21,jlcee96,p,e,nc,1,f2,0.1495668,0.45,3.43869,0.2398355,1.33423534047295,2.83,1.26
22,jlcee96,p,e,nc,1,f2,0.1517549,0.45,3.395308,0.2602627,0.980181562705682,2.83,1.26
23,jlcee96,p,e,nc,1,f2,0.154008,0.45,3.351925,0.2509919,1.45555972124997,2.83,1.26
24,jlcee96,p,e,nc,1,f2,0.1551599,0.45,3.330234,0.2452207,1.45235781481743,2.83,1.26
25,jlcee96,p,e,nc,1,f2,0.1563291,0.45,3.308542,0.2426883,1.45873369255955,2.83,1.26
26,jlcee96,p,e,nc,1,f2,0.1575161,0.45,3.286851,0.2433192,1.44864030458755,2.83,1.26
27,jlcee96,p,e,nc,1,f2,0.1587212,0.45,3.26516,0.252377,1.45108825289151,2.83,1.26
28,jlcee96,p,e,nc,1,f2,0.1599449,0.45,3.243469,0.2523967,1.44994288752587,2.83,1.26
29,jlcee96,p,e,nc,1,f2,0.1611876,0.45,3.221777,0.2482838,1.44172193272376,2.83,1.26
30,jlcee96,p,e,nc,1,f2,0.1624498,0.45,3.200087,0.2489696,1.45210660257317,2.83,1.26
31,jlcee96,p,e,nc,1,f2,0.1637319,0.45,3.178395,0.2581247,1.45069844148971,2.83,1.26
32,jlcee96,p,e,nc,1,f2,0.1650344,0.45,3.156704,0.255268,1.44696240813576,2.83,1.26
33,jlcee96,p,e,nc,1,f2,0.1663578,0.45,3.135013,0.2560094,1.45391966076246,2.83,1.26
34,jlcee96,p,e,nc,1,f2,0.1677026,0.45,3.113321,0.2591144,1.45197758210273,2.83,1.26
35,jlcee96,p,e,nc,1,f2,0.1690693,0.45,3.09163,0.2716935,1.46070185705584,2.83,1.26
36,jlcee96,p,e,nc,1,f2,0.1704585,0.45,3.069939,0.2772373,1.22570447771638,2.83,1.26
37,jlcee96,p,e,nc,1,f2,0.1733065,0.45,3.026556,0.2685145,1.54601818523767,2.83,1.26
38,jlcee96,p,e,nc,1,f2,0.1747664,0.45,3.004865,0.2810482,1.54395153571523,2.83,1.26
39,jlcee96,p,e,nc,1,f2,0.1762512,0.45,2.983174,0.2807693,1.54431449592245,2.83,1.26
40,jlcee96,p,e,nc,1,f2,0.1777615,0.45,2.961483,0.2888401,1.52437421258336,2.83,1.26
41,jlcee96,p,e,nc,1,f2,0.1792977,0.45,2.939792,0.2970799,1.52962687815635,2.83,1.26
42,jlcee96,p,e,nc,1,f2,0.1808609,0.45,2.9181,0.3031128,1.51276092596552,2.83,1.26
43,jlcee96,p,e,nc,1,f2,0.1824515,0.45,2.896409,0.3210922,1.52375081051486,2.83,1.26
