,W2,Q2,x,nu,value,*stat_u,obs,target,lepton beam,current,units,exp
0,0.71,2,1.0931,0.97501,0.0258004423933765,0.0564476739957331,r,d,e,NC,1,e06009
1,0.75,2,1.0697,0.99632,0.0543252733089762,0.0407726772071378,r,d,e,NC,1,e06009
2,0.79,2,1.0473,1.0176,0.134982279525974,0.0285714060313604,r,d,e,NC,1,e06009
3,0.83,2,1.0258,1.039,0.140885852315972,0.0268610884184477,r,d,e,NC,1,e06009
4,0.87,2,1.0052,1.0603,0.188012418403456,0.0264181155813913,r,d,e,NC,1,e06009
5,0.91,2,0.98539,1.0816,0.180792290308985,0.0222952246113956,r,d,e,NC,1,e06009
6,0.95,2,0.96635,1.1029,0.146976413352238,0.0233704761665788,r,d,e,NC,1,e06009
7,0.99,2,0.94803,1.1242,0.137837155855034,0.0253812584060195,r,d,e,NC,1,e06009
8,1.03,2,0.93039,1.1455,0.123175866132601,0.0269884278955857,r,d,e,NC,1,e06009
9,1.07,2,0.91339,1.1668,0.13166558228426,0.0278173336855235,r,d,e,NC,1,e06009
10,1.11,2,0.897,1.1882,0.13159591758815,0.0285677904897293,r,d,e,NC,1,e06009
11,1.15,2,0.8812,1.2095,0.120317293139019,0.0264673527357109,r,d,e,NC,1,e06009
12,1.19,2,0.86593,1.2308,0.11765416710382,0.0268420299400729,r,d,e,NC,1,e06009
13,1.23,2,0.85119,1.2521,0.18802263869766,0.0373660953619446,r,d,e,NC,1,e06009
14,1.27,2,0.83694,1.2734,0.204986633269973,0.0415594849532115,r,d,e,NC,1,e06009
15,1.31,2,0.82317,1.2947,0.280181838242077,0.0447770645619291,r,d,e,NC,1,e06009
16,1.35,2,0.80983,1.3161,0.201187633866655,0.0418211105299397,r,d,e,NC,1,e06009
17,1.39,2,0.79693,1.3374,0.251766321978337,0.0406114680013271,r,d,e,NC,1,e06009
18,1.43,2,0.78442,1.3587,0.20580213477693,0.0354039130488257,r,d,e,NC,1,e06009
19,1.47,2,0.77231,1.38,0.213354192258563,0.032507052035344,r,d,e,NC,1,e06009
20,1.51,2,0.76056,1.4013,0.239360466330249,0.0301508876446812,r,d,e,NC,1,e06009
21,1.55,2,0.74916,1.4226,0.209548743977784,0.0263433734137171,r,d,e,NC,1,e06009
22,1.59,2,0.7381,1.444,0.163812733772783,0.0322254967049733,r,d,e,NC,1,e06009
23,1.63,2,0.72737,1.4653,0.169630790142688,0.0316792198775411,r,d,e,NC,1,e06009
24,1.67,2,0.71694,1.4866,0.15774999079222,0.0319507234635732,r,d,e,NC,1,e06009
25,1.71,2,0.7068,1.5079,0.217640638947565,0.0327489514650312,r,d,e,NC,1,e06009
26,1.75,2,0.69695,1.5292,0.210808327250616,0.0324911081284512,r,d,e,NC,1,e06009
27,1.79,2,0.68737,1.5505,0.235794591319396,0.0329843489051126,r,d,e,NC,1,e06009
28,1.83,2,0.67805,1.5718,0.265220758883355,0.033222567303955,r,d,e,NC,1,e06009
29,1.87,2,0.66898,1.5932,0.297019846184246,0.0337043535876499,r,d,e,NC,1,e06009
30,1.91,2,0.66014,1.6145,0.266238205123794,0.029847295240277,r,d,e,NC,1,e06009
31,1.95,2,0.65154,1.6358,0.31337178294413,0.0268958785669515,r,d,e,NC,1,e06009
32,1.99,2,0.64316,1.6571,0.257056120259863,0.0301464264291829,r,d,e,NC,1,e06009
33,2.03,2,0.63499,1.6784,0.259440817274923,0.0298345477588836,r,d,e,NC,1,e06009
34,2.07,2,0.62703,1.6997,0.273562554071309,0.0297196379393962,r,d,e,NC,1,e06009
35,2.11,2,0.61926,1.7211,0.282514509116349,0.0298978527456746,r,d,e,NC,1,e06009
