,exp,x,Q2,target,obs,current,lepton beam,units,value,stat_u,syst_u
0,bcdms,0.1,20,d,r,nc,e,1,0.19,0.12,0.072
1,bcdms,0.14,25,d,r,nc,e,1,0.114,0.076,0.046
2,bcdms,0.18,35,d,r,nc,e,1,0.16,0.077,0.038
3,bcdms,0.225,45,d,r,nc,e,1,0.222,0.069,0.041
4,bcdms,0.275,50,d,r,nc,e,1,0.061,0.049,0.036
5,bcdms,0.35,65,d,r,nc,e,1,0.077,0.042,0.034
6,bcdms,0.45,75,d,r,nc,e,1,0.06,0.062,0.036
7,bcdms,0.55,85,d,r,nc,e,1,0.165,0.12,0.056
8,bcdms,0.65,85,d,r,nc,e,1,0.043,0.181,0.107
