,Elab,x,Q2,y,obs,target,lepton beam,current,units,value,stat_u,sys_u,*norm_c
116,19.35,0.083,2.386,0.7902,sig_r,p,e,NC,1,0.30784,0.010159,0.0049254,0.00646464
117,4.504,0.337,1.171,0.411,sig_r,p,e,NC,1,0.26548,0.0029203,0.0013274,0.00557508
118,4.504,0.293,1.103,0.4452,sig_r,p,e,NC,1,0.28527,0.0028527,0.0014264,0.00599067
119,4.504,0.26,1.043,0.4754,sig_r,p,e,NC,1,0.29765,0.0032742,0.0017859,0.00625065
120,4.504,0.235,0.994,0.5004,sig_r,p,e,NC,1,0.29959,0.0044939,0.0017976,0.00629139
121,4.504,0.188,0.884,0.556,sig_r,p,e,NC,1,0.30415,0.0045622,0.002129,0.00638715
122,4.504,0.15,0.773,0.6115,sig_r,p,e,NC,1,0.29011,0.0043516,0.0020308,0.00609231
123,4.504,0.118,0.663,0.667,sig_r,p,e,NC,1,0.27828,0.0044525,0.0022263,0.00584388
124,6.509,0.521,2.514,0.3948,sig_r,p,e,NC,1,0.16202,0.0022682,0.0011341,0.00340242
125,6.509,0.485,2.443,0.4122,sig_r,p,e,NC,1,0.17898,0.0034007,0.0010739,0.00375858
126,6.509,0.409,2.269,0.4537,sig_r,p,e,NC,1,0.22481,0.003597,0.0011241,0.00472101
127,6.509,0.355,2.121,0.4892,sig_r,p,e,NC,1,0.25826,0.0041322,0.0012913,0.00542346
128,6.509,0.3,1.946,0.5314,sig_r,p,e,NC,1,0.27815,0.0044505,0.0011126,0.00584115
129,6.509,0.253,1.772,0.5726,sig_r,p,e,NC,1,0.3046,0.004569,0.001523,0.0063966
130,6.509,0.202,1.545,0.6276,sig_r,p,e,NC,1,0.30025,0.0045037,0.0015012,0.00630525
131,6.509,0.179,1.43,0.6556,sig_r,p,e,NC,1,0.29522,0.0047235,0.0017713,0.00619962
132,6.509,0.157,1.313,0.6834,sig_r,p,e,NC,1,0.3012,0.0048193,0.0018072,0.0063252
133,6.509,0.102,0.958,0.7695,sig_r,p,e,NC,1,0.27633,0.0060793,0.0022107,0.00580293
134,8.614,0.649,4.297,0.4094,sig_r,p,e,NC,1,0.083216,0.001165,0.0010818,0.001747536
135,8.614,0.606,4.175,0.4263,sig_r,p,e,NC,1,0.098453,0.0017722,0.001083,0.002067513
136,8.614,0.54,3.967,0.4546,sig_r,p,e,NC,1,0.1346,0.0017498,0.001346,0.0028266
137,8.614,0.475,3.733,0.4866,sig_r,p,e,NC,1,0.17727,0.0024817,0.0014181,0.00372267
138,8.614,0.409,3.465,0.5235,sig_r,p,e,NC,1,0.2159,0.0032384,0.0015113,0.0045339
