,spec(HMS=0),exp,obs,target,Lepton beam,current,Units,Elab,ep,angle,x,Q2,w2,value,%*ptp_u,ptp_total_frac,stat,gerr,%*norm_c,density,    cer   ,kin,%csb_c,csb,    %acc_c   ,acc,rad,%*live_c,live,%*pion_c,pion
14,0,e1210002,F2,d/p,e,NC,1,10.602,4.77511,21.035,0.61475,6.72191,5.09286,0.73969,1.059,0.01059,0.00972,0.013,1.13,0.0113,0.001,0.00108,0.005,5e-05,0.3,0.003,0.005,0.046,0.00046,0.14,0.0014
15,0,e1210002,F2,d/p,e,NC,1,10.602,4.71429,21.035,0.60065,6.63629,5.29262,0.74648,0.958,0.00958,0.0086,0.01295,1.13,0.0113,0.001,0.00108,0.006,6e-05,0.3,0.003,0.005,0.046,0.00046,0.14,0.0014
16,0,e1210002,F2,d/p,e,NC,1,10.602,4.65346,21.035,0.58684,6.55067,5.49238,0.75578,0.896,0.00896,0.00783,0.01293,1.13,0.0113,0.001,0.00108,0.007,7e-05,0.3,0.003,0.005,0.046,0.00046,0.14,0.0014
17,0,e1210002,F2,d/p,e,NC,1,10.602,4.59263,21.035,0.5733,6.46504,5.69216,0.75148,0.852,0.00852,0.0073,0.01291,1.13,0.0113,0.001,0.00108,0.008,8e-05,0.3,0.003,0.005,0.046,0.00046,0.14,0.0014
18,0,e1210002,F2,d/p,e,NC,1,10.602,4.5318,21.035,0.56004,6.37941,5.89194,0.76103,0.828,0.00828,0.00698,0.01296,1.13,0.0113,0.001,0.00108,0.009,9e-05,0.3,0.003,0.005,0.046,0.00046,0.14,0.0014
19,0,e1210002,F2,d/p,e,NC,1,10.602,4.47097,21.035,0.54704,6.29378,6.09173,0.76259,0.818,0.00818,0.00684,0.01295,1.13,0.0113,0.001,0.00108,0.01,0.0001,0.3,0.003,0.005,0.046,0.00046,0.14,0.0014
20,0,e1210002,F2,d/p,e,NC,1,10.602,4.41013,21.035,0.53429,6.20814,6.29153,0.77029,0.822,0.00822,0.00686,0.0129,1.13,0.0113,0.001,0.00108,0.012,0.00012,0.3,0.003,0.005,0.046,0.00046,0.14,0.0014
21,0,e1210002,F2,d/p,e,NC,1,10.602,4.3493,21.035,0.5218,6.12249,6.49134,0.76755,0.836,0.00836,0.00701,0.01289,1.13,0.0113,0.001,0.00108,0.014,0.00014,0.3,0.003,0.005,0.046,0.00046,0.14,0.0014
22,0,e1210002,F2,d/p,e,NC,1,10.602,5.44399,21.035,0.79175,7.66349,2.8961,0.6295,1.376,0.01376,0.01291,0.01471,1.13,0.0113,0.001,0.00125,0.002,2e-05,0.3,0.003,0.00501,0.028,0.00028,0.14,0.0014
23,0,e1210002,F2,d/p,e,NC,1,10.602,5.38319,21.035,0.77378,7.57791,3.09577,0.70292,1.204,0.01204,0.01105,0.01311,1.13,0.0113,0.001,0.00125,0.002,2e-05,0.3,0.003,0.00501,0.028,0.00028,0.14,0.0014
24,0,e1210002,F2,d/p,e,NC,1,10.602,5.3224,21.035,0.75623,7.49233,3.29544,0.7509,1.088,0.01088,0.00972,0.01319,1.13,0.0113,0.001,0.00125,0.002,2e-05,0.3,0.003,0.005,0.028,0.00028,0.14,0.0014
25,0,e1210002,F2,d/p,e,NC,1,10.602,5.2616,21.035,0.73908,7.40674,3.49512,0.74186,1.0,0.01,0.00864,0.01329,1.13,0.0113,0.001,0.00125,0.002,2e-05,0.3,0.003,0.005,0.028,0.00028,0.14,0.0014
26,0,e1210002,F2,d/p,e,NC,1,10.602,5.2008,21.035,0.72232,7.32115,3.6948,0.73537,0.935,0.00935,0.00783,0.01321,1.13,0.0113,0.001,0.00125,0.002,2e-05,0.3,0.003,0.005,0.028,0.00028,0.14,0.0014
27,0,e1210002,F2,d/p,e,NC,1,10.602,5.13999,21.035,0.70593,7.23556,3.8945,0.7309,0.894,0.00894,0.00728,0.01309,1.13,0.0113,0.001,0.00125,0.003,3e-05,0.3,0.003,0.005,0.028,0.00028,0.14,0.0014
28,0,e1210002,F2,d/p,e,NC,1,10.602,5.07919,21.035,0.6899,7.14996,4.09421,0.73042,0.865,0.00865,0.00692,0.01303,1.13,0.0113,0.001,0.00125,0.003,3e-05,0.3,0.003,0.005,0.028,0.00028,0.14,0.0014
29,0,e1210002,F2,d/p,e,NC,1,10.602,5.01838,21.035,0.67421,7.06436,4.29392,0.72777,0.852,0.00852,0.00674,0.01301,1.13,0.0113,0.001,0.00125,0.003,3e-05,0.3,0.003,0.005,0.028,0.00028,0.14,0.0014
30,0,e1210002,F2,d/p,e,NC,1,10.602,4.95756,21.035,0.65887,6.97875,4.49364,0.73474,0.851,0.00851,0.00669,0.01294,1.13,0.0113,0.001,0.00125,0.004,4e-05,0.3,0.003,0.005,0.028,0.00028,0.14,0.0014
31,0,e1210002,F2,d/p,e,NC,1,10.602,4.89675,21.035,0.64385,6.89314,4.69337,0.72802,0.849,0.00849,0.00669,0.01293,1.13,0.0113,0.001,0.00125,0.004,4e-05,0.3,0.003,0.005,0.028,0.00028,0.14,0.0014
32,0,e1210002,F2,d/p,e,NC,1,10.602,5.94544,21.035,0.95779,8.36938,1.24922,4.83622,3.832,0.03832,0.03817,0.02985,1.13,0.0113,0.001,0.00195,0.011,0.00011,0.3,0.003,0.01613,0.061,0.00061,0.14,0.0014
33,0,e1210002,F2,d/p,e,NC,1,10.602,5.91505,21.035,0.94671,8.32661,1.34902,1.67407,2.959,0.02959,0.02936,0.02175,1.13,0.0113,0.001,0.00195,0.003,3e-05,0.3,0.003,0.00938,0.061,0.00061,0.14,0.0014
34,0,e1210002,F2,d/p,e,NC,1,10.602,5.88467,21.035,0.93578,8.28383,1.44881,1.01536,2.407,0.02407,0.02372,0.01581,1.13,0.0113,0.001,0.00195,0.002,2e-05,0.3,0.003,0.00688,0.061,0.00061,0.14,0.0014
