,exp,Elab,EP,Theta,target,current,lepton beam,units,obs,x,Q2,W2,Epsilon,Sigma(nb/Ser*Gev),%*stat_u,%*syst,*y,*value
0,jlcee96,2.445,0.705,20.0,d,e,nc,1,sig_r,0.064,0.208,3.936,0.508,315.0,1.12,3.1,0.711656442,0.151
1,jlcee96,2.445,0.715,20.0,d,e,nc,1,sig_r,0.065,0.211,3.915,0.514,308.0,1.15,3.1,0.707566462,0.148
2,jlcee96,2.445,0.725,20.0,d,e,nc,1,sig_r,0.066,0.214,3.893,0.52,310.0,1.15,3.1,0.703476483,0.15
3,jlcee96,2.445,0.735,20.0,d,e,nc,1,sig_r,0.068,0.217,3.871,0.526,310.0,1.14,3.1,0.699386503,0.151
4,jlcee96,2.445,0.745,20.0,d,e,nc,1,sig_r,0.069,0.22,3.85,0.532,307.0,1.15,3.1,0.695296524,0.15
5,jlcee96,2.445,0.755,20.0,d,e,nc,1,sig_r,0.07,0.223,3.828,0.538,321.0,1.14,3.1,0.691206544,0.158
6,jlcee96,2.445,0.765,20.0,d,e,nc,1,sig_r,0.072,0.226,3.806,0.543,321.0,1.14,3.1,0.687116564,0.159
7,jlcee96,2.445,0.775,20.0,d,e,nc,1,sig_r,0.073,0.229,3.784,0.549,336.0,1.16,3.1,0.683026585,0.167
8,jlcee96,2.445,0.785,20.0,d,e,nc,1,sig_r,0.074,0.231,3.763,0.555,326.0,1.14,3.1,0.678936605,0.161
9,jlcee96,2.445,0.795,20.0,d,e,nc,1,sig_r,0.076,0.234,3.741,0.56,319.0,1.17,3.1,0.674846626,0.159
10,jlcee96,2.445,0.805,20.0,d,e,nc,1,sig_r,0.077,0.237,3.719,0.566,259.0,2.33,3.1,0.670756646,0.129
11,jlcee96,2.445,0.815,20.0,d,e,nc,1,sig_r,0.079,0.24,3.698,0.572,336.0,1.01,3.1,0.666666667,0.169
12,jlcee96,2.445,0.835,20.0,d,e,nc,1,sig_r,0.081,0.246,3.654,0.582,334.0,1.78,3.1,0.658486708,0.169
13,jlcee96,2.445,0.845,20.0,d,e,nc,1,sig_r,0.083,0.249,3.632,0.588,326.0,1.79,3.1,0.654396728,0.166
14,jlcee96,2.445,0.855,20.0,d,e,nc,1,sig_r,0.084,0.252,3.611,0.593,332.0,1.78,3.1,0.650306748,0.169
15,jlcee96,2.445,0.865,20.0,d,e,nc,1,sig_r,0.086,0.255,3.589,0.598,337.0,1.78,3.1,0.646216769,0.172
16,jlcee96,2.445,0.875,20.0,d,e,nc,1,sig_r,0.088,0.258,3.567,0.604,344.0,1.77,3.1,0.642126789,0.176
17,jlcee96,2.445,0.885,20.0,d,e,nc,1,sig_r,0.089,0.261,3.546,0.609,336.0,1.78,3.1,0.63803681,0.172
18,jlcee96,2.445,0.895,20.0,d,e,nc,1,sig_r,0.091,0.264,3.524,0.614,347.0,1.79,3.1,0.63394683,0.179
19,jlcee96,2.445,0.905,20.0,d,e,nc,1,sig_r,0.092,0.267,3.502,0.619,353.0,1.78,3.1,0.629856851,0.182
20,jlcee96,2.445,0.915,20.0,d,e,nc,1,sig_r,0.094,0.27,3.481,0.624,338.0,1.8,3.1,0.625766871,0.175
21,jlcee96,2.445,0.925,20.0,d,e,nc,1,sig_r,0.096,0.273,3.459,0.629,337.0,1.83,3.1,0.621676892,0.174
22,jlcee96,2.445,0.935,20.0,d,e,nc,1,sig_r,0.097,0.276,3.437,0.634,334.0,1.86,3.1,0.617586912,0.173
23,jlcee96,2.445,0.955,20.0,d,e,nc,1,sig_r,0.101,0.281,3.394,0.644,249.0,2.72,3.1,0.609406953,0.128
24,jlcee96,2.445,0.965,20.0,d,e,nc,1,sig_r,0.102,0.284,3.372,0.649,348.0,1.37,3.1,0.605316973,0.18
25,jlcee96,2.445,0.975,20.0,d,e,nc,1,sig_r,0.104,0.287,3.35,0.654,348.0,1.38,3.1,0.601226994,0.18
26,jlcee96,2.445,0.985,20.0,d,e,nc,1,sig_r,0.106,0.29,3.329,0.658,354.0,1.37,3.1,0.597137014,0.183
27,jlcee96,2.445,0.995,20.0,d,e,nc,1,sig_r,0.108,0.293,3.307,0.663,350.0,1.37,3.1,0.593047035,0.181
28,jlcee96,2.445,1.005,20.0,d,e,nc,1,sig_r,0.11,0.296,3.285,0.668,354.0,1.36,3.1,0.588957055,0.184
29,jlcee96,2.445,1.015,20.0,d,e,nc,1,sig_r,0.111,0.299,3.263,0.672,366.0,1.38,3.1,0.584867076,0.19
30,jlcee96,2.445,1.025,20.0,d,e,nc,1,sig_r,0.113,0.302,3.242,0.677,366.0,1.37,3.1,0.580777096,0.19
31,jlcee96,2.445,1.035,20.0,d,e,nc,1,sig_r,0.115,0.305,3.22,0.681,365.0,1.36,3.1,0.576687117,0.189
32,jlcee96,2.445,1.045,20.0,d,e,nc,1,sig_r,0.117,0.308,3.198,0.686,386.0,1.37,3.1,0.572597137,0.2
33,jlcee96,2.445,1.055,20.0,d,e,nc,1,sig_r,0.119,0.311,3.177,0.69,388.0,1.37,3.1,0.568507157,0.201
34,jlcee96,2.445,1.065,20.0,d,e,nc,1,sig_r,0.121,0.314,3.155,0.695,388.0,1.37,3.1,0.564417178,0.201
35,jlcee96,2.445,1.075,20.0,d,e,nc,1,sig_r,0.123,0.317,3.133,0.699,386.0,1.38,3.1,0.560327198,0.2
36,jlcee96,2.445,1.085,20.0,d,e,nc,1,sig_r,0.125,0.32,3.112,0.703,392.0,1.39,3.1,0.556237219,0.202
37,jlcee96,2.445,1.095,20.0,d,e,nc,1,sig_r,0.127,0.323,3.09,0.708,406.0,1.39,3.1,0.552147239,0.21
38,jlcee96,2.445,1.105,20.0,d,e,nc,1,sig_r,0.13,0.326,3.068,0.712,421.0,1.17,3.1,0.54805726,0.217
39,jlcee96,2.445,1.125,20.0,d,e,nc,1,sig_r,0.134,0.332,3.025,0.72,413.0,1.52,3.1,0.539877301,0.212
40,jlcee96,2.445,1.135,20.0,d,e,nc,1,sig_r,0.136,0.335,3.003,0.724,413.0,1.54,3.1,0.535787321,0.212
41,jlcee96,2.445,1.145,20.0,d,e,nc,1,sig_r,0.138,0.338,2.981,0.728,412.0,1.53,3.1,0.531697342,0.211
42,jlcee96,2.445,1.155,20.0,d,e,nc,1,sig_r,0.141,0.341,2.96,0.732,431.0,1.52,3.1,0.527607362,0.22
43,jlcee96,2.445,1.165,20.0,d,e,nc,1,sig_r,0.143,0.343,2.938,0.736,437.0,1.51,3.1,0.523517382,0.221
