,exp,Elab,E',x,W2,Q2,theta,%*syst_u,%*norm_c,y,obs,target,curent,lepton beam,units,*epsilon,R1990,value,stat_u
54,e03157,5.766,2.2198,0.9,1.5458,5.9891,40,1.3,2.5,0.615019077349983,f2,p,e,nc,1,0.549067060952441,0.09651,0.007699,0.0001086
55,e03158,5.766,2.2574,0.925,1.3742,6.0903,40,1.3,2.5,0.608498092265002,f2,p,e,nc,1,0.555405212074032,0.09509,0.003856,5.592e-05
56,e03159,5.766,2.2941,0.95,1.2061,6.1894,40,1.3,2.5,0.60213319458897,f2,p,e,nc,1,0.561499286761192,0.09374,0.0003594,1.175e-05
57,e03160,5.766,2.4192,0.675,2.9215,4.2392,32,1.3,2.5,0.580437044745057,f2,p,e,nc,1,0.62540864911007,0.129,0.08542,0.0009554
58,e03161,5.766,2.4704,0.7,2.7356,4.329,32,1.3,2.5,0.571557405480402,f2,p,e,nc,1,0.634106510524052,0.1266,0.06416,0.0007166
59,e03162,5.766,2.5201,0.725,2.5554,4.416,32,1.3,2.5,0.562937911897329,f2,p,e,nc,1,0.64234855804521,0.1244,0.0456,0.0005176
60,e03163,5.766,2.5683,0.75,2.3805,4.5005,32,1.3,2.5,0.554578563995838,f2,p,e,nc,1,0.650164529132491,0.1223,0.04613,0.0003537
61,e03164,5.766,2.6151,0.775,2.2107,4.5824,32,1.3,2.5,0.546462018730489,f2,p,e,nc,1,0.657578006340747,0.1203,0.0467,0.0005204
62,e03165,5.766,2.6605,0.8,2.0459,4.6621,32,1.3,2.5,0.538588276101283,f2,p,e,nc,1,0.664618592034347,0.1185,0.02696,0.0002656
63,e03166,5.766,2.7047,0.825,1.8857,4.7394,32,1.3,2.5,0.530922650017343,f2,p,e,nc,1,0.671313748310211,0.1168,0.02051,0.0003363
64,e03167,5.766,2.7476,0.85,1.73,4.8146,32,1.3,2.5,0.523482483524107,f2,p,e,nc,1,0.677677064050859,0.1152,0.01555,0.0002074
65,e03168,5.766,2.7893,0.875,1.5786,4.8877,32,1.3,2.5,0.516250433576136,f2,p,e,nc,1,0.683730756163518,0.1137,0.01348,0.0002876
66,e03169,5.766,2.8299,0.9,1.4313,4.9588,32,1.3,2.5,0.509209157127992,f2,p,e,nc,1,0.689498921546061,0.1122,0.009719,0.0002003
67,e03170,5.766,2.8694,0.925,1.288,5.028,32,1.3,2.5,0.502358654179674,f2,p,e,nc,1,0.69499522047574,0.1109,0.002274,0.0001318
68,e03171,5.766,2.9078,0.95,1.1485,5.0954,32,1.3,2.5,0.495698924731183,f2,p,e,nc,1,0.700232511503332,0.1096,1.751e-05,1.407e-06
69,e03172,5.766,3.4097,0.9,1.3225,3.9795,26,1.3,2.5,0.408654179673951,f2,p,e,nc,1,0.796604807821129,0.1334,0.006847,8.37e-05
70,e03173,5.766,3.4478,0.925,1.2066,4.0239,26,1.3,2.5,0.402046479361776,f2,p,e,nc,1,0.800660778179245,0.1321,0.001004,1.711e-05
71,e03174,5.766,3.6977,0.8,1.6566,3.105,22,1.3,2.5,0.358706208810267,f2,p,e,nc,1,0.847688070394649,0.1611,0.0364,0.0002313
72,e03175,5.766,3.7383,0.825,1.5462,3.1391,22,1.3,2.5,0.351664932362123,f2,p,e,nc,1,0.851393533975749,0.1597,0.03533,0.0002088
73,e03176,5.766,3.815,0.875,1.338,3.2035,22,1.3,2.5,0.338362816510579,f2,p,e,nc,1,0.858106393689505,0.157,0.01265,9.547e-05
74,e03177,5.766,4.0331,0.7,1.8559,2.2763,18,1.3,2.5,0.300537634408602,f2,p,e,nc,1,0.895769805266296,0.1984,0.06599,0.0003854
75,e03178,5.766,4.0753,0.725,1.7528,2.3002,18,1.3,2.5,0.293218869233437,f2,p,e,nc,1,0.8988608411472,0.1969,0.06077,0.0003241
76,e03179,5.766,4.1539,0.775,1.561,2.3445,18,1.3,2.5,0.279587235518557,f2,p,e,nc,1,0.904334232463615,0.1941,0.06339,0.0003258
77,e03180,5.766,4.2255,0.825,1.3863,2.3849,18,1.3,2.5,0.267169614984391,f2,p,e,nc,1,0.909012293334295,0.1917,0.03769,0.000248
78,e03181,5.766,4.291,0.875,1.2263,2.4219,18,1.3,2.5,0.255809920221991,f2,p,e,nc,1,0.913041245053345,0.1896,0.004155,4.242e-05
