,I,J,x,Q2,obs,target,curent,lepton beam,units,value,*%dST_u,*%dSR_u,*%1dN1_c,*%2dN1_c,*%3dN1_c,*%4dN1_c,*%5dN1_c,*%6dN1_c,*%7dN1_c,*%8dN1_c,*%1dN2_c,*%2dN2_c,*%3dN2_c,*%4dN2_c,*%5dN2_c,*%6dN2_c,*%7dN2_c,*%8dN2_c,%*norm_c
0,1,1,0.275,0.905,sig,d/p,e,nc,1,0.8715,0.9,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
1,2,1,0.224,0.869,sig,d/p,e,nc,1,0.8645,0.8,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
2,3,1,0.177,0.824,sig,d/p,e,nc,1,0.8815,0.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
3,4,1,0.153,0.794,sig,d/p,e,nc,1,0.8795,1.9,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
4,5,1,0.119,0.737,sig,d/p,e,nc,1,0.914,2.6,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
5,6,1,0.09,0.666,sig,d/p,e,nc,1,0.913,2.4,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
6,7,1,0.067,0.586,sig,d/p,e,nc,1,0.9265,2.2,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
7,8,1,0.419,1.686,sig,d/p,e,nc,1,0.8245,1.0,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
8,9,1,0.365,1.647,sig,d/p,e,nc,1,0.8245,0.9,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
9,10,1,0.315,1.602,sig,d/p,e,nc,1,0.8445,0.8,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
10,11,1,0.271,1.552,sig,d/p,e,nc,1,0.855,0.8,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
11,12,1,0.209,1.455,sig,d/p,e,nc,1,0.8875,2.6,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
12,13,1,0.168,1.363,sig,d/p,e,nc,1,0.887,2.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
13,14,1,0.132,1.256,sig,d/p,e,nc,1,0.9355,2.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
14,15,1,0.104,1.141,sig,d/p,e,nc,1,0.919,2.4,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
15,16,1,0.081,1.019,sig,d/p,e,nc,1,0.944,2.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
16,17,1,0.505,2.379,sig,d/p,e,nc,1,0.7915,1.3,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
17,18,1,0.449,2.333,sig,d/p,e,nc,1,0.7895,1.2,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
18,19,1,0.396,2.281,sig,d/p,e,nc,1,0.7895,1.0,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
19,20,1,0.348,2.222,sig,d/p,e,nc,1,0.813,0.9,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
20,21,1,0.282,2.118,sig,d/p,e,nc,1,0.8205,1.9,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
21,22,1,0.226,1.995,sig,d/p,e,nc,1,0.8725,2.4,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
22,23,1,0.185,1.872,sig,d/p,e,nc,1,0.9185,2.6,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
23,24,1,0.15,1.738,sig,d/p,e,nc,1,0.9025,2.5,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
24,25,1,0.122,1.594,sig,d/p,e,nc,1,0.924,2.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
25,26,1,0.098,1.44,sig,d/p,e,nc,1,0.9445,2.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
26,27,1,0.077,1.275,sig,d/p,e,nc,1,0.931,2.6,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
27,28,1,0.063,1.136,sig,d/p,e,nc,1,0.9575,2.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
28,29,1,0.599,3.503,sig,d/p,e,nc,1,0.7425,1.6,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
29,30,1,0.542,3.445,sig,d/p,e,nc,1,0.7635,1.5,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
30,31,1,0.49,3.383,sig,d/p,e,nc,1,0.7665,1.4,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
31,32,1,0.442,3.315,sig,d/p,e,nc,1,0.751,1.4,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
32,33,1,0.371,3.19,sig,d/p,e,nc,1,0.797,2.4,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
33,34,1,0.309,3.047,sig,d/p,e,nc,1,0.8345,2.5,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
34,35,1,0.239,2.819,sig,d/p,e,nc,1,0.8665,1.8,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
35,36,1,0.183,2.569,sig,d/p,e,nc,1,0.8765,2.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
36,37,1,0.152,2.382,sig,d/p,e,nc,1,0.9035,2.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
37,38,1,0.126,2.188,sig,d/p,e,nc,1,0.8915,2.5,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
38,39,1,0.107,2.017,sig,d/p,e,nc,1,0.931,2.6,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
39,40,1,0.09,1.845,sig,d/p,e,nc,1,0.902,2.6,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
40,41,1,0.075,1.658,sig,d/p,e,nc,1,0.942,2.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
41,42,1,0.323,1.107,sig,d/p,e,nc,1,0.879,1.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
42,43,1,0.269,1.051,sig,d/p,e,nc,1,0.871,1.5,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
43,44,1,0.24,1.016,sig,d/p,e,nc,1,0.8925,2.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
44,45,1,0.177,0.912,sig,d/p,e,nc,1,0.8945,2.6,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
45,46,1,0.127,0.791,sig,d/p,e,nc,1,0.9205,2.6,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
46,47,1,0.089,0.657,sig,d/p,e,nc,1,0.9435,2.6,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
47,48,1,0.453,1.87,sig,d/p,e,nc,1,0.7475,3.4,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
48,49,1,0.348,1.741,sig,d/p,e,nc,1,0.829,2.9,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
49,50,1,0.214,1.469,sig,d/p,e,nc,1,0.8555,3.1,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
50,51,1,0.12,1.115,sig,d/p,e,nc,1,0.892,3.6,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
51,52,1,0.541,2.764,sig,d/p,e,nc,1,0.7695,1.4,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
52,53,1,0.487,2.691,sig,d/p,e,nc,1,0.7735,1.4,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
53,54,1,0.44,2.616,sig,d/p,e,nc,1,0.8,1.4,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
54,55,1,0.375,2.492,sig,d/p,e,nc,1,0.8235,2.4,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
55,56,1,0.297,2.297,sig,d/p,e,nc,1,0.8315,2.6,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
56,57,1,0.237,2.098,sig,d/p,e,nc,1,0.8565,2.8,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
57,58,1,0.187,1.88,sig,d/p,e,nc,1,0.8875,2.8,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
58,59,1,0.144,1.644,sig,d/p,e,nc,1,0.899,3.0,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
59,60,1,0.108,1.388,sig,d/p,e,nc,1,0.961,3.0,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
60,61,1,0.077,1.114,sig,d/p,e,nc,1,0.95,3.1,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
61,62,1,0.641,4.153,sig,d/p,e,nc,1,0.719,2.1,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
62,63,1,0.579,4.042,sig,d/p,e,nc,1,0.7445,3.1,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
63,64,1,0.553,3.992,sig,d/p,e,nc,1,0.7765,8.8,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
64,65,1,0.471,3.804,sig,d/p,e,nc,1,0.793,2.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
65,66,1,0.398,3.594,sig,d/p,e,nc,1,0.795,2.6,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
66,67,1,0.332,3.357,sig,d/p,e,nc,1,0.8025,2.8,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
67,68,1,0.273,3.092,sig,d/p,e,nc,1,0.8565,2.8,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
68,69,1,0.224,2.819,sig,d/p,e,nc,1,0.8775,3.0,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
69,70,1,0.179,2.509,sig,d/p,e,nc,1,0.8955,3.1,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
70,71,1,0.142,2.189,sig,d/p,e,nc,1,0.927,3.1,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
71,72,1,0.108,1.834,sig,d/p,e,nc,1,0.9085,3.0,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
72,73,1,0.084,1.542,sig,d/p,e,nc,1,0.931,3.3,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
73,74,1,0.695,5.185,sig,d/p,e,nc,1,0.629,5.3,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
74,75,1,0.6,4.979,sig,d/p,e,nc,1,0.71,3.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
75,76,1,0.532,4.801,sig,d/p,e,nc,1,0.7445,2.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
76,77,1,0.454,4.553,sig,d/p,e,nc,1,0.7685,2.9,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
77,78,1,0.387,4.294,sig,d/p,e,nc,1,0.82,3.0,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
78,79,1,0.328,4.014,sig,d/p,e,nc,1,0.8315,2.6,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
79,80,1,0.274,3.699,sig,d/p,e,nc,1,0.843,3.1,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
80,81,1,0.227,3.373,sig,d/p,e,nc,1,0.8855,3.1,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
81,82,1,0.185,3.013,sig,d/p,e,nc,1,0.85,3.2,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
82,83,1,0.147,2.631,sig,d/p,e,nc,1,0.909,3.3,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
83,84,1,0.12,2.305,sig,d/p,e,nc,1,0.9155,3.3,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
84,85,1,0.096,1.968,sig,d/p,e,nc,1,0.928,3.5,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
85,86,1,0.746,6.88,sig,d/p,e,nc,1,0.663,7.6,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
86,87,1,0.692,6.734,sig,d/p,e,nc,1,0.661,4.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
87,88,1,0.662,6.647,sig,d/p,e,nc,1,0.6775,27.6,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
88,89,1,0.599,6.441,sig,d/p,e,nc,1,0.724,3.9,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
89,90,1,0.528,6.174,sig,d/p,e,nc,1,0.7635,3.5,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
90,91,1,0.465,5.894,sig,d/p,e,nc,1,0.7565,3.1,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
91,92,1,0.404,5.569,sig,d/p,e,nc,1,0.8065,3.1,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
92,93,1,0.347,5.215,sig,d/p,e,nc,1,0.843,3.0,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
93,94,1,0.297,4.845,sig,d/p,e,nc,1,0.869,3.0,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
94,95,1,0.251,4.446,sig,d/p,e,nc,1,0.8725,3.3,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
