,exp,Elab,E',x,W2,Q2,sig (mb/sr/GeV),theta,%*syst_u,%*norm_c,*y,obs,target,lepton beam,current,units,*epsilon,value,%*stat_u,R1990
0,e03103,5.011,2.6052,0.5,3.1376,2.2573,0.01704,24,1.3,2.5,0.480103771702255,f2,d,nc,e,1,0.766036578469591,0.153,0.440196078431373,0.2049
1,e03103,5.011,2.6662,0.525,2.9704,2.3101,0.01611,24,1.3,2.5,0.467930552783876,f2,d,nc,e,1,0.774845423838105,0.14245,0.564057564057564,0.2011
2,e03103,5.011,2.7241,0.55,2.8115,2.3603,0.01451,24,1.3,2.5,0.456375972859709,f2,d,nc,e,1,0.782934341246608,0.1263,0.387727632620744,0.1976
3,e03103,5.011,2.7793,0.575,2.6602,2.4081,0.01301,24,1.3,2.5,0.445360207543405,f2,d,nc,e,1,0.790356148211029,0.11145,0.567070435172723,0.1945
4,e03103,5.011,2.8318,0.6,2.5161,2.4536,0.01161,24,1.3,2.5,0.434883256834963,f2,d,nc,e,1,0.79719282355678,0.0979,0.420173646578141,0.1916
5,e03103,5.011,2.8819,0.625,2.3786,2.497,0.01067,24,1.3,2.5,0.424885252444622,f2,d,nc,e,1,0.803509020400381,0.08855,0.448221343873518,0.1889
6,e03103,5.011,2.9298,0.65,2.2473,2.5385,0.009842,24,1.3,2.5,0.415326282179206,f2,d,nc,e,1,0.809350243001395,0.08035,0.672682016179216,0.1865
7,e03103,5.011,2.9756,0.675,2.1217,2.5782,0.008399,24,1.3,2.5,0.406186389942127,f2,d,nc,e,1,0.81475473928319,0.06745,0.535804299481097,0.1842
8,e03103,5.011,3.0194,0.7,2.0016,2.6161,0.007243,24,1.3,2.5,0.397445619636799,f2,d,nc,e,1,0.8197679242627,0.0572,0.508566433566434,0.1821
9,e03103,5.011,3.0613,0.725,1.8865,2.6525,0.006328,24,1.3,2.5,0.389084015166633,f2,d,nc,e,1,0.828778064850656,0.04921,0.454074375127007,0.1802
10,e03103,5.011,3.1402,0.775,1.6703,2.7208,0.005301,24,1.3,2.5,0.37333865495909,f2,d,nc,e,1,0.832818979063147,0.039905,0.553063525873951,0.1767
11,e03103,5.011,3.1772,0.8,1.5686,2.7529,0.004859,24,1.3,2.5,0.365954899221712,f2,d,nc,e,1,0.836604976143228,0.036,0.565,0.1751
