,exp,x,Q2,value,stat_u,sys_u,obs,target,lepton beam,current,units,*%norm_c
0,e665,0.00089,0.229,0.14,0.02268,0.01498,F2,p,mu,nc,1,1.8
1,e665,0.00089,0.313,0.179,0.01378,0.00949,F2,p,mu,nc,1,1.8
2,e665,0.00089,0.428,0.271,0.01328,0.02412,F2,p,mu,nc,1,1.8
3,e665,0.00089,0.585,0.367,0.02386,0.02826,F2,p,mu,nc,1,1.8
4,e665,0.00124,0.229,0.124,0.0222,0.05146,F2,p,mu,nc,1,1.8
5,e665,0.00124,0.313,0.187,0.00972,0.00991,F2,p,mu,nc,1,1.8
6,e665,0.00124,0.428,0.228,0.00889,0.01208,F2,p,mu,nc,1,1.8
7,e665,0.00124,0.585,0.301,0.01114,0.01385,F2,p,mu,nc,1,1.8
8,e665,0.00124,0.8,0.341,0.01671,0.01876,F2,p,mu,nc,1,1.8
9,e665,0.00175,0.229,0.088,0.01918,0.05368,F2,p,mu,nc,1,1.8
10,e665,0.00175,0.313,0.187,0.01496,0.01683,F2,p,mu,nc,1,1.8
11,e665,0.00175,0.428,0.232,0.01137,0.00951,F2,p,mu,nc,1,1.8
12,e665,0.00175,0.585,0.245,0.01201,0.01274,F2,p,mu,nc,1,1.8
13,e665,0.00175,0.8,0.32,0.01536,0.01536,F2,p,mu,nc,1,1.8
14,e665,0.00246,0.313,0.149,0.01207,0.0155,F2,p,mu,nc,1,1.8
15,e665,0.00246,0.428,0.204,0.00938,0.00877,F2,p,mu,nc,1,1.8
16,e665,0.00246,0.585,0.262,0.00917,0.00812,F2,p,mu,nc,1,1.8
17,e665,0.00246,0.8,0.306,0.01193,0.00979,F2,p,mu,nc,1,1.8
18,e665,0.00246,1.094,0.357,0.01606,0.01178,F2,p,mu,nc,1,1.8
19,e665,0.00246,1.496,0.434,0.02387,0.02127,F2,p,mu,nc,1,1.8
20,e665,0.0037,0.428,0.194,0.01048,0.0097,F2,p,mu,nc,1,1.8
21,e665,0.0037,0.585,0.245,0.00907,0.00833,F2,p,mu,nc,1,1.8
22,e665,0.0037,0.8,0.291,0.0096,0.00931,F2,p,mu,nc,1,1.8
23,e665,0.0037,1.094,0.317,0.01395,0.00919,F2,p,mu,nc,1,1.8
24,e665,0.0037,1.496,0.382,0.01795,0.0107,F2,p,mu,nc,1,1.8
25,e665,0.0037,2.046,0.445,0.02759,0.01691,F2,p,mu,nc,1,1.8
26,e665,0.0052,0.428,0.178,0.01157,0.01477,F2,p,mu,nc,1,1.8
27,e665,0.0052,0.585,0.238,0.01,0.0119,F2,p,mu,nc,1,1.8
28,e665,0.0052,0.8,0.27,0.0108,0.00999,F2,p,mu,nc,1,1.8
29,e665,0.0052,1.094,0.299,0.01375,0.01106,F2,p,mu,nc,1,1.8
30,e665,0.0052,1.496,0.337,0.01921,0.00741,F2,p,mu,nc,1,1.8
31,e665,0.0052,2.046,0.365,0.02446,0.00986,F2,p,mu,nc,1,1.8
32,e665,0.0052,2.799,0.441,0.03263,0.01764,F2,p,mu,nc,1,1.8
33,e665,0.00693,0.8,0.272,0.01088,0.00925,F2,p,mu,nc,1,1.8
34,e665,0.00693,1.094,0.301,0.01565,0.01204,F2,p,mu,nc,1,1.8
35,e665,0.00693,1.496,0.329,0.01777,0.01283,F2,p,mu,nc,1,1.8
36,e665,0.00693,2.046,0.39,0.02184,0.01443,F2,p,mu,nc,1,1.8
37,e665,0.00693,2.799,0.412,0.02472,0.01277,F2,p,mu,nc,1,1.8
38,e665,0.00693,3.828,0.482,0.03422,0.02169,F2,p,mu,nc,1,1.8
39,e665,0.00893,0.8,0.262,0.01205,0.01389,F2,p,mu,nc,1,1.8
40,e665,0.00893,1.094,0.281,0.01461,0.00983,F2,p,mu,nc,1,1.8
41,e665,0.00893,1.496,0.327,0.01995,0.01014,F2,p,mu,nc,1,1.8
42,e665,0.00893,2.046,0.422,0.02532,0.01139,F2,p,mu,nc,1,1.8
43,e665,0.00893,2.799,0.4,0.0288,0.0196,F2,p,mu,nc,1,1.8
44,e665,0.00893,3.828,0.49,0.03332,0.01715,F2,p,mu,nc,1,1.8
45,e665,0.01225,1.496,0.313,0.01471,0.0169,F2,p,mu,nc,1,1.8
46,e665,0.01225,2.046,0.374,0.01758,0.01047,F2,p,mu,nc,1,1.8
47,e665,0.01225,2.799,0.377,0.02262,0.00829,F2,p,mu,nc,1,1.8
48,e665,0.01225,3.828,0.408,0.02326,0.01061,F2,p,mu,nc,1,1.8
49,e665,0.01225,5.236,0.403,0.0274,0.01451,F2,p,mu,nc,1,1.8
