,Unnamed: 0,col,Ebeam,E',th,w2,q2,obs,target,current,lepton beam,eps,cs(nb/sr/gev),x,y,y+,det,value,cse(stat),%stat_u,csm(model),sys1,%p2p_syst,sys2,%charge_u,sys3,%LT1_u,sys4,%LT2_u,sys5,%trig_u,sys6,%track_u,sys7,%cer_u,sys8,%calo_u,sys9,%csb_u,sys10,%acc_c,sys11,%Ep_c,sys12,%thetaoff_c,sys13,%theta_c,sys14,%rc_c,sys15,%csb_c
0,0,Jlab_E06-009,4.074,1.4326,49.9828,1.67,4.167,sig_r,d,NC,e_minus,0.4625,0.21196,0.8409235071599783,0.6483554246440845,1.249185042352223,1.690758509181534,0.01606870930932714,0.0059866,2.824400830345348,0.20532,0.0023787,1.122240045291564,0.00080569,0.3801141724853745,0.0,0.0,2.5482e-05,0.01202207963766748,1.4838e-05,0.007000377429703717,0.00031795,0.1500047178712965,0.00031795,0.1500047178712965,0.00042393,0.2000047178712965,0.00021196,0.1,0.0016957,0.800009435742593,0.0008706,0.4107378750707681,0.00080825,0.3813219475372712,0.0024153,1.139507454236648,0.00015555,0.07338648801660691,4.5728e-05,0.02157388186450274
1,1,Jlab_E06-009,4.074,1.4243,49.9828,1.71,4.1427,sig_r,d,NC,e_minus,0.4606,0.21445,0.8334008605230522,0.650392734413353,1.2470243361099,1.721353769574722,0.01624093218353627,0.0060084,2.801771974819305,0.21797,0.0023989,1.118629051060853,0.00081516,0.3801165772907438,0.0,0.0,2.5781e-05,0.01202191653065983,1.5012e-05,0.007000233154581487,0.00032168,0.1500023315458149,0.00032168,0.1500023315458149,0.00042891,0.2000046630916298,0.00021445,0.1,0.0017156,0.8,0.00087488,0.4079645605036139,0.00081045,0.3779202611331313,0.0024226,1.129680578223362,0.00015428,0.07194217766379109,4.9522e-05,0.02309256236885055
2,2,Jlab_E06-009,4.074,1.4159,49.9828,1.75,4.1184,sig_r,d,NC,e_minus,0.4587,0.23559,0.8258941230365663,0.6524545900834561,1.244854868896934,1.752843756240681,0.01782508236181583,0.0062676,2.660384566407742,0.23149,0.002633,1.117619593361348,0.00089551,0.3801137569506346,0.0,0.0,2.8322e-05,0.01202173267116601,1.6491e-05,0.006999872660129886,0.00035339,0.1500021223311686,0.00035339,0.1500021223311686,0.00047119,0.2000042446623371,0.00023559,0.1,0.0018847,0.7999915106753259,0.0009594,0.4072329046224373,0.00088761,0.3767604737043169,0.0026535,1.126321151152426,0.00016829,0.07143342247124242,5.3677e-05,0.02278407402691116
3,3,Jlab_E06-009,4.074,1.4075,49.9828,1.79,4.0941,sig_r,d,NC,e_minus,0.4568,0.25985,0.8184346809522078,0.6545164457535592,1.242693904181576,1.784999128121438,0.01964112055839988,0.0065448,2.51868385607081,0.24584,0.0029104,1.120030786992496,0.00098771,0.3801077544737348,0.0,0.0,3.1238e-05,0.01202155089474697,1.819e-05,0.007000192418703098,0.00038978,0.150001924187031,0.00038978,0.150001924187031,0.0005197,0.2,0.00025985,0.09999999999999998,0.0020788,0.7999999999999998,0.0010637,0.40935154897056,0.00098616,0.3795112564941312,0.0029454,1.133500096209351,0.00018138,0.06980180873580911,5.812e-05,0.02236675004810467
4,4,Jlab_E06-009,4.074,1.3992,49.9828,1.83,4.0698,sig_r,d,NC,e_minus,0.4549,0.25065,0.8110524095538459,0.6565537555228277,1.240558301756243,1.817571261352565,0.01892368950804185,0.0064926,2.590305206463196,0.26147,0.0028166,1.123718332335927,0.00095276,0.3801156991821265,0.0,0.0,3.0133e-05,0.01202194294833433,1.7546e-05,0.007000199481348495,0.00037598,0.1500019948134849,0.00037598,0.1500019948134849,0.00050131,0.2000039896269699,0.00025065,0.1,0.0020052,0.8,0.001037,0.4137243167763814,0.00095127,0.3795212447636147,0.0028425,1.134051466187912,0.0001746,0.0696588868940754,6.3018e-05,0.02514183123877917
5,5,Jlab_E06-009,4.074,1.3908,49.9828,1.87,4.0455,sig_r,d,NC,e_minus,0.4529,0.27757,0.8036858577035599,0.6586156111929308,1.238414240815893,1.851104280491559,0.02093326606453029,0.006787,2.44514897143063,0.27822,0.0031234,1.12526569874266,0.0010551,0.3801203300068451,0.0,0.0,3.3369e-05,0.01202183233058328,1.943e-05,0.007000036026948158,0.00041636,0.1500018013474079,0.00041636,0.1500018013474079,0.00055515,0.2000036026948157,0.00027757,0.1,0.0022206,0.8000144107792629,0.0011515,0.4148503080304068,0.0010589,0.3814893540368196,0.0031637,1.13978455885002,0.00019248,0.06934466981302015,6.8318e-05,0.02461289044205065
6,6,Jlab_E06-009,4.074,1.3825,49.9828,1.91,4.0211,sig_r,d,NC,e_minus,0.451,0.29508,0.796375068475462,0.6606529209621992,1.236292328423912,1.88512623195248,0.02222466498163831,0.0070384,2.385251457231937,0.29625,0.0033238,1.126406398264877,0.0011216,0.3801003117798563,0.0,0.0,3.5474e-05,0.01202182458994171,2.0656e-05,0.007000135556459266,0.00044262,0.15,0.00044262,0.15,0.00059017,0.2000033889114816,0.00029508,0.09999999999999998,0.0023607,0.8000203334688897,0.0012288,0.4164294428629524,0.0011243,0.381015317879897,0.0033601,1.138708146943202,0.00020376,0.06905246034973565,7.4065e-05,0.02509997288870815
7,7,Jlab_E06-009,4.074,1.3741,49.9828,1.95,3.9968,sig_r,d,NC,e_minus,0.449,0.31882,0.7890997463303349,0.6627147766323023,1.23416517125857,1.920110769644701,0.02398413582754425,0.0072763,2.282259582209397,0.31561,0.0035886,1.125588106141396,0.0012119,0.380120444137758,0.0,0.0,3.8327e-05,0.01202151684335989,2.2317e-05,0.006999874537356503,0.00047823,0.15,0.00047823,0.15,0.00063764,0.2,0.00031882,0.1,0.0025506,0.8000125462643498,0.0013256,0.4157832005520356,0.0012116,0.3800263471551346,0.0036209,1.135719214603852,0.00021972,0.06891663007339564,8.0308e-05,0.02518913493507308
8,8,Jlab_E06-009,4.074,1.3657,49.9828,1.99,3.9725,sig_r,d,NC,e_minus,0.4471,0.3351,0.7818695541235595,0.6647766323024055,1.232046516590836,1.955852080050859,0.0251775939915135,0.0074709,2.229453894359892,0.33624,0.003761,1.12235153685467,0.0012737,0.3800954938824231,0.0,0.0,4.0284e-05,0.01202148612354521,2.3457e-05,0.006999999999999999,0.00050265,0.15,0.00050265,0.15,0.00067019,0.1999970158161743,0.0003351,0.1,0.0026808,0.8,0.0013821,0.4124440465532677,0.0012687,0.3786034019695613,0.0037925,1.1317517159057,0.00023057,0.06880632646971054,8.7078e-05,0.02598567591763653
9,9,Jlab_E06-009,4.074,1.3574,49.9828,2.03,3.9482,sig_r,d,NC,e_minus,0.4451,0.35852,0.7747125899095934,0.666813942071674,1.229952720522084,1.992076837188677,0.0268991614334171,0.0077401,2.158903268994756,0.35812,0.0040054,1.117204061140243,0.0013628,0.3801182639741158,0.0,0.0,4.31e-05,0.01202164453865893,2.5096e-05,0.006999888430213098,0.00053778,0.15,0.00053778,0.15,0.00071704,0.2,0.00035852,0.1,0.0028682,0.8000111569786903,0.0014603,0.4073133995314069,0.0013472,0.3757670422849492,0.0040282,1.12356353899364,0.00024446,0.06818587526497825,9.4374e-05,0.02632321767265424
