,exp,x,Q2,value,dST_u,dSY_u,target,length(cm),*dRC_u,obs,lepton beam,current,units,W2
0,e140x,0.1,0.5,0.259,0.031,0.033,d,4,0.25,r,e,nc,1,5.379844
1,e140x,0.1,1.0,0.349,0.059,0.054,d,4,0.25,r,e,nc,1,9.879844
2,e140x,0.35,3.0,0.233,0.032,0.026,d,15,0.25,r,e,nc,1,6.4512725714285715
3,e140x,0.5,3.6,0.194,0.028,0.028,d,15,0.25,r,e,nc,1,4.479844
4,e140x,0.5,3.6,0.255,0.028,0.036,d,4,0.25,r,e,nc,1,4.479844
