,exp,x,Q2,target,obs,current,lepton beam,units,value,stat_u,syst_u
0,bcdms,0.07,15,p,r,nc,e,1,0.167,0.134,0.074
1,bcdms,0.1,20,p,r,nc,e,1,0.122,0.078,0.062
2,bcdms,0.14,20,p,r,nc,e,1,0.163,0.055,0.04
3,bcdms,0.18,25,p,r,nc,e,1,0.121,0.051,0.031
4,bcdms,0.225,30,p,r,nc,e,1,0.046,0.032,0.028
5,bcdms,0.275,35,p,r,nc,e,1,0.025,0.027,0.022
6,bcdms,0.35,40,p,r,nc,e,1,0.023,0.025,0.022
7,bcdms,0.45,45,p,r,nc,e,1,-0.011,0.035,0.027
8,bcdms,0.55,50,p,r,nc,e,1,0.005,0.056,0.039
9,bcdms,0.65,50,p,r,nc,e,1,-0.057,0.092,0.071
