,exp,X,Q2,scaled,value,obs,target,lepton beam,stat_scaled,stat_u,syst_scaled,syst_u,*norm_c
0,MARATHON,0.195,2.73,1.112,1.084878048780488,F2,h/t,e,0.003,0.0029268292682926834,0.005,0.004878048780487806,0.013018536585365857
1,MARATHON,0.225,3.15,1.124,1.0965853658536588,F2,h/t,e,0.003,0.0029268292682926834,0.004,0.0039024390243902443,0.013159024390243907
2,MARATHON,0.255,3.57,1.141,1.1131707317073172,F2,h/t,e,0.004,0.0039024390243902443,0.004,0.0039024390243902443,0.013358048780487807
3,MARATHON,0.285,3.99,1.16,1.1317073170731708,F2,h/t,e,0.005,0.004878048780487806,0.005,0.004878048780487806,0.01358048780487805
4,MARATHON,0.315,4.41,1.154,1.1258536585365855,F2,h/t,e,0.005,0.004878048780487806,0.004,0.0039024390243902443,0.013510243902439026
5,MARATHON,0.345,4.83,1.171,1.142439024390244,F2,h/t,e,0.006,0.005853658536585367,0.005,0.004878048780487806,0.013709268292682928
6,MARATHON,0.375,5.25,1.177,1.1482926829268294,F2,h/t,e,0.008,0.007804878048780489,0.006,0.005853658536585367,0.013779512195121952
7,MARATHON,0.405,5.67,1.219,1.189268292682927,F2,h/t,e,0.009,0.00878048780487805,0.004,0.0039024390243902443,0.014271219512195125
8,MARATHON,0.435,6.09,1.206,1.1765853658536587,F2,h/t,e,0.01,0.009756097560975611,0.005,0.004878048780487806,0.014119024390243904
9,MARATHON,0.465,6.51,1.226,1.19609756097561,F2,h/t,e,0.01,0.009756097560975611,0.004,0.0039024390243902443,0.01435317073170732
10,MARATHON,0.495,6.93,1.235,1.204878048780488,F2,h/t,e,0.01,0.009756097560975611,0.004,0.0039024390243902443,0.014458536585365856
11,MARATHON,0.525,7.35,1.26,1.229268292682927,F2,h/t,e,0.011,0.010731707317073172,0.004,0.0039024390243902443,0.014751219512195124
12,MARATHON,0.555,7.77,1.267,1.2360975609756097,F2,h/t,e,0.011,0.010731707317073172,0.004,0.0039024390243902443,0.014833170731707318
13,MARATHON,0.585,8.19,1.268,1.2370731707317075,F2,h/t,e,0.012,0.011707317073170733,0.004,0.0039024390243902443,0.01484487804878049
14,MARATHON,0.615,8.61,1.268,1.2370731707317075,F2,h/t,e,0.013,0.012682926829268294,0.004,0.0039024390243902443,0.01484487804878049
15,MARATHON,0.645,9.03,1.292,1.260487804878049,F2,h/t,e,0.013,0.012682926829268294,0.004,0.0039024390243902443,0.015125853658536588
16,MARATHON,0.675,9.45,1.289,1.257560975609756,F2,h/t,e,0.014,0.013658536585365855,0.004,0.0039024390243902443,0.015090731707317074
17,MARATHON,0.705,9.87,1.309,1.2770731707317073,F2,h/t,e,0.014,0.013658536585365855,0.004,0.0039024390243902443,0.015324878048780488
18,MARATHON,0.735,10.3,1.302,1.2702439024390246,F2,h/t,e,0.013,0.012682926829268294,0.004,0.0039024390243902443,0.015242926829268295
19,MARATHON,0.765,10.7,1.316,1.2839024390243905,F2,h/t,e,0.014,0.013658536585365855,0.004,0.0039024390243902443,0.015406829268292687
20,MARATHON,0.795,11.1,1.312,1.2800000000000002,F2,h/t,e,0.015,0.014634146341463415,0.004,0.0039024390243902443,0.015360000000000004
21,MARATHON,0.825,11.9,1.301,1.2692682926829268,F2,h/t,e,0.017,0.01658536585365854,0.004,0.0039024390243902443,0.015231219512195122
