,x,exp,Q2,y,sigma_d measured (b/GeV2),Elab,*W2,*nu,*E',*epsilon,obs,target,lepton beam,current,units,%dE,%dE1_c,%dE2_c,%dE3_c,%dE4_c,%dEp,%dEp1_c,%dEp2_c,%dEp3_c,%dEp4_c,%dAC_c,%dRC_c,%dRE_c,R,F2d,dFstat,dFsyst,%*norm_c,*epsilon.1,value,%*dST_u
0,0.0078,nmc,0.8,0.635,8.019e-06,90,102.64394656410258,54.671696462741245,35.328303537258755,0.644107577491351,sig_r,d,mu,nc,1,0.5,0.5,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,2.1,1.7,0.3,0.337,0.2667,0.0027,0.0074,2.5,0.644107577491351,0.242775197782826,1.01237345331834
1,0.0092,nmc,1.09,0.709,3.849e-06,90,118.26810486956524,63.15472327801985,26.84527672198015,0.536467975713319,sig_r,d,mu,nc,1,0.4,0.4,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,1.0,2.2,0.5,0.337,0.2901,0.0062,0.0073,2.5,0.536467975713319,0.25620560949111,2.13719407101
2,0.012,nmc,0.9,0.462,5.052e-06,90,74.979844,39.978678038379535,50.021321961620465,0.834389154931398,sig_r,d,mu,nc,1,0.7,0.7,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,2.7,0.8,0.2,0.246,0.2694,0.0054,0.0078,2.5,0.834389154931398,0.260591126688438,2.00445434298441
3,0.0125,nmc,1.22,0.596,2.554e-06,90,97.259844,52.02558635394456,37.97441364605544,0.69451622766914,sig_r,d,mu,nc,1,0.6,0.6,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,1.7,1.4,0.3,0.246,0.2946,0.0029,0.0068,2.5,0.69451622766914,0.276831622145588,0.98438560760353
4,0.0139,nmc,1.62,0.703,1.286e-06,90,115.80660658992808,62.12513997330922,27.874860026690783,0.545708985223731,sig_r,d,mu,nc,1,0.4,0.4,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,1.0,1.9,0.5,0.246,0.3102,0.0074,0.0069,2.5,0.545708985223731,0.28237737797865,2.38555770470664
5,0.0173,nmc,1.27,0.448,1.971e-06,90,73.02024862427747,39.13134574854875,50.86865425145125,0.846058016352945,sig_r,d,mu,nc,1,0.7,0.7,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,2.0,0.7,0.2,0.19,0.2978,0.004,0.0068,2.5,0.846058016352945,0.290480056823416,1.34318334452653
6,0.0176,nmc,1.72,0.594,1.046e-06,90,96.88711672727273,52.0934289591006,37.9065710408994,0.696939166672403,sig_r,d,mu,nc,1,0.6,0.6,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,1.3,1.2,0.3,0.19,0.3304,0.0041,0.0063,2.5,0.696939166672403,0.314412216017383,1.2409200968523
7,0.0185,nmc,2.16,0.702,5.819e-07,90,115.47660075675678,62.23707716245031,27.762922837549688,0.54720014497321,sig_r,d,mu,nc,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.4,0.19,0.3238,0.0084,0.0062,2.5,0.54720014497321,0.300390328980278,2.59419394688079
8,0.0246,nmc,1.27,0.32,1.541e-06,90,51.235860260162596,27.519198432922497,62.480801567077506,0.929874663126721,sig_r,d,mu,nc,1,0.9,0.9,0.0,0.0,0.0,-0.4,-0.4,0.0,0.0,0.0,2.2,0.3,0.1,0.099,0.2967,0.0049,0.0072,2.5,0.929874663126721,0.294825475897209,1.65149983147961
9,0.0247,nmc,1.75,0.437,7.932e-07,90,69.98004642914981,37.76663242491994,52.23336757508006,0.854841405780712,sig_r,d,mu,nc,1,0.7,0.7,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,1.4,0.5,0.2,0.099,0.3205,0.0035,0.0054,2.5,0.854841405780712,0.316308719271966,1.09204368174727
