,exp,X,Q2,RS,obs,target,lepton beam,current,units,value,%stat_u,%ucor_u,%cor_c
0,HERA I and II bottom rean.,0.00013,2.5,318,sigbb_r,p,none,NC,1,0.0018,28.4,22.4,11.4
1,HERA I and II bottom rean.,0.00018,5.0,318,sigbb_r,p,none,NC,1,0.0048,10.5,7.1,19.8
2,HERA I and II bottom rean.,0.00013,7.0,318,sigbb_r,p,none,NC,1,0.0059,8.8,11.2,12.7
3,HERA I and II bottom rean.,0.0003,7.0,318,sigbb_r,p,none,NC,1,0.004,8.5,10.3,15.2
4,HERA I and II bottom rean.,0.00032,12.0,318,sigbb_r,p,none,NC,1,0.0072,4.9,5.8,10.5
5,HERA I and II bottom rean.,0.0008,12.0,318,sigbb_r,p,none,NC,1,0.0041,4.6,6.9,11.1
6,HERA I and II bottom rean.,0.0015,12.0,318,sigbb_r,p,none,NC,1,0.0014,32.2,26.9,3.6
7,HERA I and II bottom rean.,0.0008,18.0,318,sigbb_r,p,none,NC,1,0.0082,4.8,5.0,12.8
8,HERA I and II bottom rean.,0.0006,32.0,318,sigbb_r,p,none,NC,1,0.0207,8.9,7.8,8.9
9,HERA I and II bottom rean.,0.0008,32.0,318,sigbb_r,p,none,NC,1,0.0152,5.8,6.1,10.0
10,HERA I and II bottom rean.,0.0014,32.0,318,sigbb_r,p,none,NC,1,0.0113,3.9,5.3,9.0
11,HERA I and II bottom rean.,0.0024,32.0,318,sigbb_r,p,none,NC,1,0.0082,9.0,9.5,12.9
12,HERA I and II bottom rean.,0.0032,32.0,318,sigbb_r,p,none,NC,1,0.0046,32.2,41.9,3.0
13,HERA I and II bottom rean.,0.0055,32.0,318,sigbb_r,p,none,NC,1,0.0058,39.8,20.4,57.4
14,HERA I and II bottom rean.,0.0014,60.0,318,sigbb_r,p,none,NC,1,0.026,4.8,6.9,8.8
15,HERA I and II bottom rean.,0.002,60.0,318,sigbb_r,p,none,NC,1,0.0167,7.5,6.5,10.5
16,HERA I and II bottom rean.,0.0032,60.0,318,sigbb_r,p,none,NC,1,0.0097,10.7,7.7,14.4
17,HERA I and II bottom rean.,0.005,60.0,318,sigbb_r,p,none,NC,1,0.0129,5.4,4.2,14.7
18,HERA I and II bottom rean.,0.002,120.0,318,sigbb_r,p,none,NC,1,0.0288,6.3,5.4,9.0
19,HERA I and II bottom rean.,0.0055,120.0,318,sigbb_r,p,none,NC,1,0.0127,21.2,14.9,10.9
20,HERA I and II bottom rean.,0.01,120.0,318,sigbb_r,p,none,NC,1,0.0149,20.5,20.6,23.6
21,HERA I and II bottom rean.,0.005,200.0,318,sigbb_r,p,none,NC,1,0.0274,3.8,3.7,6.9
22,HERA I and II bottom rean.,0.013,200.0,318,sigbb_r,p,none,NC,1,0.0123,9.5,4.8,19.5
23,HERA I and II bottom rean.,0.025,350.0,318,sigbb_r,p,none,NC,1,0.0138,20.4,26.2,35.0
24,HERA I and II bottom rean.,0.013,650.0,318,sigbb_r,p,none,NC,1,0.0164,8.1,7.5,13.1
25,HERA I and II bottom rean.,0.032,650.0,318,sigbb_r,p,none,NC,1,0.0103,8.1,8.7,14.6
26,HERA I and II bottom rean.,0.05,2000.0,318,sigbb_r,p,none,NC,1,0.0052,30.6,15.2,47.6
