,exp,x,Q2,value,stat_u,sys_u,Ebeam,%*norm_c,target,lepton beam,current,obs
0,bcdms,0.07,7.5,0.38934,0.006,0.00412,100,3,p,mu,NC,sig_r
1,bcdms,0.07,8.75,0.37624,0.00521,0.00488,100,3,p,mu,NC,sig_r
2,bcdms,0.1,7.5,0.38055,0.00424,0.00277,100,3,p,mu,NC,sig_r
3,bcdms,0.1,8.75,0.38347,0.00351,0.00303,100,3,p,mu,NC,sig_r
4,bcdms,0.1,10.25,0.3796,0.00362,0.00297,100,3,p,mu,NC,sig_r
5,bcdms,0.14,8.75,0.3756,0.0039,0.00246,100,3,p,mu,NC,sig_r
6,bcdms,0.14,10.25,0.37676,0.00396,0.00258,100,3,p,mu,NC,sig_r
7,bcdms,0.14,11.75,0.37259,0.0043,0.00263,100,3,p,mu,NC,sig_r
8,bcdms,0.14,13.25,0.36575,0.00468,0.00228,100,3,p,mu,NC,sig_r
9,bcdms,0.14,15.0,0.37196,0.00481,0.0025,100,3,p,mu,NC,sig_r
10,bcdms,0.18,8.75,0.36786,0.00489,0.00274,100,3,p,mu,NC,sig_r
11,bcdms,0.18,10.25,0.36457,0.00474,0.00236,100,3,p,mu,NC,sig_r
12,bcdms,0.18,11.75,0.36492,0.00501,0.00239,100,3,p,mu,NC,sig_r
13,bcdms,0.18,13.25,0.3627,0.00534,0.00252,100,3,p,mu,NC,sig_r
14,bcdms,0.18,15.0,0.36228,0.00521,0.00231,100,3,p,mu,NC,sig_r
15,bcdms,0.18,17.0,0.3535,0.00571,0.00218,100,3,p,mu,NC,sig_r
16,bcdms,0.225,10.25,0.34051,0.00481,0.00228,100,3,p,mu,NC,sig_r
17,bcdms,0.225,11.75,0.34545,0.00501,0.00223,100,3,p,mu,NC,sig_r
18,bcdms,0.225,13.25,0.33693,0.0052,0.00214,100,3,p,mu,NC,sig_r
19,bcdms,0.225,15.0,0.33517,0.0049,0.00213,100,3,p,mu,NC,sig_r
20,bcdms,0.225,17.0,0.31962,0.00522,0.00197,100,3,p,mu,NC,sig_r
21,bcdms,0.225,19.0,0.32172,0.00578,0.00209,100,3,p,mu,NC,sig_r
22,bcdms,0.225,21.5,0.31154,0.00552,0.00196,100,3,p,mu,NC,sig_r
23,bcdms,0.225,24.5,0.32112,0.00522,0.00059,100,3,p,mu,NC,sig_r
24,bcdms,0.225,28.0,0.3141,0.00529,0.00077,100,3,p,mu,NC,sig_r
25,bcdms,0.275,10.25,0.3044,0.00536,0.00299,100,3,p,mu,NC,sig_r
26,bcdms,0.275,11.75,0.29925,0.00545,0.00216,100,3,p,mu,NC,sig_r
27,bcdms,0.275,13.25,0.30155,0.00574,0.00195,100,3,p,mu,NC,sig_r
28,bcdms,0.275,15.0,0.30341,0.00527,0.00187,100,3,p,mu,NC,sig_r
29,bcdms,0.275,17.0,0.30373,0.00564,0.00185,100,3,p,mu,NC,sig_r
30,bcdms,0.275,19.0,0.28923,0.00592,0.00181,100,3,p,mu,NC,sig_r
31,bcdms,0.275,21.5,0.29763,0.00559,0.0018,100,3,p,mu,NC,sig_r
32,bcdms,0.275,24.5,0.27886,0.00498,0.00048,100,3,p,mu,NC,sig_r
33,bcdms,0.275,28.0,0.28971,0.00507,0.00084,100,3,p,mu,NC,sig_r
34,bcdms,0.275,32.5,0.2809,0.00471,0.00061,100,3,p,mu,NC,sig_r
35,bcdms,0.275,37.5,0.26784,0.00583,0.00046,100,3,p,mu,NC,sig_r
36,bcdms,0.35,11.75,0.24001,0.00427,0.0022,100,3,p,mu,NC,sig_r
37,bcdms,0.35,13.25,0.23349,0.00434,0.00185,100,3,p,mu,NC,sig_r
38,bcdms,0.35,15.0,0.23093,0.00383,0.00167,100,3,p,mu,NC,sig_r
39,bcdms,0.35,17.0,0.23689,0.0041,0.00158,100,3,p,mu,NC,sig_r
40,bcdms,0.35,19.0,0.22257,0.00416,0.00143,100,3,p,mu,NC,sig_r
41,bcdms,0.35,21.5,0.23218,0.00388,0.00142,100,3,p,mu,NC,sig_r
42,bcdms,0.35,24.5,0.22318,0.00283,0.00074,100,3,p,mu,NC,sig_r
43,bcdms,0.35,28.0,0.22454,0.00353,0.00064,100,3,p,mu,NC,sig_r
44,bcdms,0.35,32.5,0.21917,0.0032,0.00044,100,3,p,mu,NC,sig_r
45,bcdms,0.35,37.5,0.21761,0.00344,0.00038,100,3,p,mu,NC,sig_r
46,bcdms,0.35,43.0,0.21422,0.00367,0.00035,100,3,p,mu,NC,sig_r
47,bcdms,0.45,11.75,0.1602,0.00409,0.0015,100,3,p,mu,NC,sig_r
48,bcdms,0.45,13.25,0.15598,0.0043,0.00144,100,3,p,mu,NC,sig_r
49,bcdms,0.45,15.0,0.15493,0.00378,0.0014,100,3,p,mu,NC,sig_r
50,bcdms,0.45,17.0,0.15323,0.00403,0.00121,100,3,p,mu,NC,sig_r
51,bcdms,0.45,19.0,0.15558,0.00429,0.00121,100,3,p,mu,NC,sig_r
52,bcdms,0.45,21.5,0.1447,0.00362,0.00112,100,3,p,mu,NC,sig_r
53,bcdms,0.45,24.5,0.14443,0.00256,0.00069,100,3,p,mu,NC,sig_r
54,bcdms,0.45,28.0,0.13996,0.00313,0.00054,100,3,p,mu,NC,sig_r
55,bcdms,0.45,32.5,0.14332,0.00282,0.0006,100,3,p,mu,NC,sig_r
56,bcdms,0.45,37.5,0.14506,0.0031,0.00046,100,3,p,mu,NC,sig_r
57,bcdms,0.45,43.0,0.14063,0.00311,0.00053,100,3,p,mu,NC,sig_r
58,bcdms,0.45,49.5,0.13379,0.0031,0.00042,100,3,p,mu,NC,sig_r
59,bcdms,0.45,57.0,0.13603,0.00354,0.00038,100,3,p,mu,NC,sig_r
60,bcdms,0.55,11.75,0.09286,0.00316,0.00225,100,3,p,mu,NC,sig_r
61,bcdms,0.55,13.25,0.08784,0.00329,0.00183,100,3,p,mu,NC,sig_r
62,bcdms,0.55,15.0,0.08998,0.00306,0.00165,100,3,p,mu,NC,sig_r
63,bcdms,0.55,17.0,0.08469,0.00308,0.00138,100,3,p,mu,NC,sig_r
64,bcdms,0.55,19.0,0.08286,0.00319,0.00121,100,3,p,mu,NC,sig_r
65,bcdms,0.55,21.5,0.08279,0.00289,0.00105,100,3,p,mu,NC,sig_r
66,bcdms,0.55,24.5,0.08513,0.00206,0.00094,100,3,p,mu,NC,sig_r
67,bcdms,0.55,28.0,0.08099,0.00199,0.00084,100,3,p,mu,NC,sig_r
68,bcdms,0.55,32.5,0.08516,0.00236,0.0007,100,3,p,mu,NC,sig_r
69,bcdms,0.55,37.5,0.081,0.00247,0.00058,100,3,p,mu,NC,sig_r
70,bcdms,0.55,43.0,0.08005,0.00251,0.00046,100,3,p,mu,NC,sig_r
71,bcdms,0.55,49.5,0.0769,0.0025,0.0004,100,3,p,mu,NC,sig_r
72,bcdms,0.55,57.0,0.07387,0.00267,0.00039,100,3,p,mu,NC,sig_r
73,bcdms,0.55,65.5,0.07196,0.00287,0.00035,100,3,p,mu,NC,sig_r
74,bcdms,0.65,13.25,0.04389,0.00187,0.00277,100,3,p,mu,NC,sig_r
75,bcdms,0.65,15.0,0.04264,0.00166,0.00233,100,3,p,mu,NC,sig_r
76,bcdms,0.65,17.0,0.04166,0.00184,0.00202,100,3,p,mu,NC,sig_r
77,bcdms,0.65,19.0,0.0415,0.00198,0.00173,100,3,p,mu,NC,sig_r
78,bcdms,0.65,21.5,0.0401,0.00178,0.00144,100,3,p,mu,NC,sig_r
79,bcdms,0.65,24.5,0.04115,0.00121,0.00113,100,3,p,mu,NC,sig_r
80,bcdms,0.65,28.0,0.03869,0.00121,0.00095,100,3,p,mu,NC,sig_r
81,bcdms,0.65,32.5,0.03826,0.00143,0.00079,100,3,p,mu,NC,sig_r
82,bcdms,0.65,37.5,0.03662,0.00161,0.00062,100,3,p,mu,NC,sig_r
83,bcdms,0.65,43.0,0.03524,0.00166,0.0005,100,3,p,mu,NC,sig_r
84,bcdms,0.65,49.5,0.03303,0.00166,0.0004,100,3,p,mu,NC,sig_r
85,bcdms,0.65,57.0,0.03363,0.00184,0.00035,100,3,p,mu,NC,sig_r
