,exp,Elab,x,Q2,obs,target,lepton beam,current,units,value unscaled,stat unscaled,sys unscaled,value,stat_u,sys_u,*norm_c
0,bonus,4.223,0.079,0.423,F2,n/d,e_minus,NC,1,0.005,0.005,0.0,0.01,0.01,0.0,0.00045
1,bonus,4.223,0.113,0.505,F2,n/d,e_minus,NC,1,0.211,0.255,0.001,0.422,0.51,0.002,0.01899
2,bonus,4.223,0.111,0.508,F2,n/d,e_minus,NC,1,0.097,0.166,0.0,0.194,0.332,0.0,0.00873
3,bonus,4.223,0.104,0.513,F2,n/d,e_minus,NC,1,0.336,0.373,0.001,0.672,0.746,0.002,0.03024
4,bonus,4.223,0.102,0.513,F2,n/d,e_minus,NC,1,0.652,0.326,0.003,1.304,0.652,0.006,0.05868
5,bonus,4.223,0.257,0.611,F2,n/d,e_minus,NC,1,0.531,0.862,0.004,1.062,1.724,0.008,0.04779
6,bonus,4.223,0.218,0.629,F2,n/d,e_minus,NC,1,0.714,0.393,0.005,1.428,0.786,0.01,0.06426
7,bonus,4.223,0.212,0.628,F2,n/d,e_minus,NC,1,0.384,0.27,0.003,0.768,0.54,0.006,0.03456
8,bonus,4.223,0.204,0.624,F2,n/d,e_minus,NC,1,0.727,0.325,0.005,1.454,0.65,0.01,0.06543
9,bonus,4.223,0.197,0.627,F2,n/d,e_minus,NC,1,0.669,0.288,0.004,1.338,0.576,0.008,0.06021
10,bonus,4.223,0.191,0.624,F2,n/d,e_minus,NC,1,0.34,0.181,0.002,0.68,0.362,0.004,0.030600000000000002
11,bonus,4.223,0.188,0.626,F2,n/d,e_minus,NC,1,0.328,0.17,0.002,0.656,0.34,0.004,0.02952
12,bonus,4.223,0.185,0.625,F2,n/d,e_minus,NC,1,0.24,0.13,0.001,0.48,0.26,0.002,0.021599999999999998
13,bonus,4.223,0.179,0.626,F2,n/d,e_minus,NC,1,0.323,0.129,0.002,0.646,0.258,0.004,0.02907
14,bonus,4.223,0.177,0.625,F2,n/d,e_minus,NC,1,0.24,0.108,0.001,0.48,0.216,0.002,0.021599999999999998
15,bonus,4.223,0.171,0.626,F2,n/d,e_minus,NC,1,0.429,0.131,0.002,0.858,0.262,0.004,0.03861
16,bonus,4.223,0.167,0.625,F2,n/d,e_minus,NC,1,0.235,0.089,0.001,0.47,0.178,0.002,0.02115
17,bonus,4.223,0.164,0.625,F2,n/d,e_minus,NC,1,0.279,0.086,0.002,0.558,0.172,0.004,0.02511
18,bonus,4.223,0.162,0.625,F2,n/d,e_minus,NC,1,0.444,0.099,0.002,0.888,0.198,0.004,0.03996
19,bonus,4.223,0.159,0.624,F2,n/d,e_minus,NC,1,0.286,0.074,0.002,0.572,0.148,0.004,0.025739999999999996
20,bonus,4.223,0.154,0.624,F2,n/d,e_minus,NC,1,0.387,0.078,0.002,0.774,0.156,0.004,0.03483
21,bonus,4.223,0.15,0.623,F2,n/d,e_minus,NC,1,0.382,0.072,0.002,0.764,0.144,0.004,0.03438
22,bonus,4.223,0.147,0.623,F2,n/d,e_minus,NC,1,0.488,0.071,0.002,0.976,0.142,0.004,0.04392
23,bonus,4.223,0.144,0.622,F2,n/d,e_minus,NC,1,0.283,0.056,0.001,0.566,0.112,0.002,0.025469999999999996
24,bonus,4.223,0.142,0.621,F2,n/d,e_minus,NC,1,0.375,0.057,0.002,0.75,0.114,0.004,0.03375
25,bonus,4.223,0.138,0.62,F2,n/d,e_minus,NC,1,0.388,0.053,0.002,0.776,0.106,0.004,0.03492
26,bonus,4.223,0.136,0.619,F2,n/d,e_minus,NC,1,0.431,0.052,0.002,0.862,0.104,0.004,0.03879
27,bonus,4.223,0.133,0.618,F2,n/d,e_minus,NC,1,0.434,0.05,0.002,0.868,0.1,0.004,0.03906
28,bonus,4.223,0.13,0.617,F2,n/d,e_minus,NC,1,0.409,0.046,0.002,0.818,0.092,0.004,0.036809999999999996
29,bonus,4.223,0.127,0.616,F2,n/d,e_minus,NC,1,0.395,0.042,0.002,0.79,0.084,0.004,0.03555
30,bonus,4.223,0.125,0.615,F2,n/d,e_minus,NC,1,0.371,0.04,0.002,0.742,0.08,0.004,0.033389999999999996
31,bonus,4.223,0.122,0.614,F2,n/d,e_minus,NC,1,0.365,0.038,0.002,0.73,0.076,0.004,0.03285
32,bonus,4.223,0.625,0.755,F2,n/d,e_minus,NC,1,0.214,0.292,0.01,0.428,0.584,0.02,0.01926
33,bonus,4.223,0.599,0.753,F2,n/d,e_minus,NC,1,0.441,0.263,0.019,0.882,0.526,0.038,0.039689999999999996
34,bonus,4.223,0.585,0.752,F2,n/d,e_minus,NC,1,0.207,0.204,0.008,0.414,0.408,0.016,0.018629999999999997
35,bonus,4.223,0.556,0.751,F2,n/d,e_minus,NC,1,1.033,0.281,0.036,2.066,0.562,0.072,0.09296999999999998
36,bonus,4.223,0.537,0.752,F2,n/d,e_minus,NC,1,0.52,0.189,0.017,1.04,0.378,0.034,0.0468
37,bonus,4.223,0.519,0.751,F2,n/d,e_minus,NC,1,0.708,0.19,0.021,1.416,0.38,0.042,0.06372
38,bonus,4.223,0.498,0.75,F2,n/d,e_minus,NC,1,0.632,0.18,0.017,1.264,0.36,0.034,0.05688
39,bonus,4.223,0.488,0.75,F2,n/d,e_minus,NC,1,0.38,0.134,0.009,0.76,0.268,0.018,0.0342
40,bonus,4.223,0.467,0.75,F2,n/d,e_minus,NC,1,0.166,0.094,0.004,0.332,0.188,0.008,0.01494
41,bonus,4.223,0.451,0.749,F2,n/d,e_minus,NC,1,0.206,0.105,0.004,0.412,0.21,0.008,0.018539999999999997
42,bonus,4.223,0.44,0.749,F2,n/d,e_minus,NC,1,0.345,0.112,0.007,0.69,0.224,0.014,0.031049999999999998
43,bonus,4.223,0.428,0.748,F2,n/d,e_minus,NC,1,0.296,0.106,0.006,0.592,0.212,0.012,0.026639999999999997
44,bonus,4.223,0.412,0.747,F2,n/d,e_minus,NC,1,0.324,0.108,0.006,0.648,0.216,0.012,0.02916
45,bonus,4.223,0.396,0.748,F2,n/d,e_minus,NC,1,0.191,0.083,0.003,0.382,0.166,0.006,0.01719
46,bonus,4.223,0.388,0.747,F2,n/d,e_minus,NC,1,0.468,0.098,0.007,0.936,0.196,0.014,0.04212
47,bonus,4.223,0.376,0.746,F2,n/d,e_minus,NC,1,0.34,0.085,0.005,0.68,0.17,0.01,0.030600000000000002
48,bonus,4.223,0.365,0.746,F2,n/d,e_minus,NC,1,0.367,0.08,0.005,0.734,0.16,0.01,0.03303
49,bonus,4.223,0.355,0.745,F2,n/d,e_minus,NC,1,0.472,0.082,0.006,0.944,0.164,0.012,0.04248
50,bonus,4.223,0.345,0.744,F2,n/d,e_minus,NC,1,0.392,0.071,0.005,0.784,0.142,0.01,0.03528
51,bonus,4.223,0.336,0.743,F2,n/d,e_minus,NC,1,0.352,0.065,0.004,0.704,0.13,0.008,0.03168
52,bonus,4.223,0.326,0.742,F2,n/d,e_minus,NC,1,0.332,0.059,0.004,0.664,0.118,0.008,0.02988
53,bonus,4.223,0.317,0.742,F2,n/d,e_minus,NC,1,0.541,0.07,0.006,1.082,0.14,0.012,0.048690000000000004
54,bonus,4.223,0.308,0.741,F2,n/d,e_minus,NC,1,0.368,0.058,0.004,0.736,0.116,0.008,0.03312
55,bonus,4.223,0.3,0.739,F2,n/d,e_minus,NC,1,0.464,0.06,0.005,0.928,0.12,0.01,0.04176
56,bonus,4.223,0.291,0.738,F2,n/d,e_minus,NC,1,0.397,0.054,0.004,0.794,0.108,0.008,0.03573
