,col,X,Q2,scaled,value,obs,target,lepton beam,stat_scaled,stat_u,syst_scaled,syst_u,*norm_c
0,MARATHON,0.195,2.73,1.725,0.8625,F2d/F2p,d/p,e,0.005,0.0025,0.01,0.005,0.069
1,MARATHON,0.225,3.15,1.697,0.8485,F2d/F2p,d/p,e,0.005,0.0025,0.008,0.004,0.06788000000000001
2,MARATHON,0.255,3.57,1.674,0.837,F2d/F2p,d/p,e,0.007,0.0035,0.008,0.004,0.06696
3,MARATHON,0.285,3.99,1.656,0.828,F2d/F2p,d/p,e,0.008,0.004,0.01,0.005,0.06624
4,MARATHON,0.315,4.41,1.629,0.8145,F2d/F2p,d/p,e,0.008,0.004,0.01,0.005,0.06516
5,MARATHON,0.345,4.83,1.588,0.794,F2d/F2p,d/p,e,0.009,0.0045,0.01,0.005,0.06352000000000001
6,MARATHON,0.375,5.25,1.544,0.772,F2d/F2p,d/p,e,0.013,0.0065,0.016,0.008,0.06176
