,exp,I,J,Elab,epsilon,y,x,Q2,obs,target,lepton beam,current,units,value,%ptp,%sys,%stat_u,%dSR_u,%dSY_c,%dSE_c,%dRC_c,%dN1_c,%1dN2_c,%2dN2_c,%3dN2_c,%4dN2_c,%5dN2_c,%6dN2_c,%7dN2_c,%8dN2_c,%dFSZ_c,%*norm_c
0,slac,1,1,10.027,0.976,0.175226887404009,0.274,0.904,F2,p,e,NC,1,0.30016,0.024,0.011,0.8,2.3,0.7,-0.3,0.5,0.5,0.3,0,0.0,0.0,0.0,0.0,0,0,0.0,2.1
1,slac,2,1,10.027,0.968,0.206642066420664,0.224,0.87,F2,p,e,NC,1,0.32066,0.023,0.011,0.6,2.3,0.7,-0.3,0.5,0.5,0.3,0,0.0,0.0,0.0,0.0,0,0,0.0,2.1
2,slac,3,1,10.027,0.955,0.247830856686945,0.177,0.824,F2,p,e,NC,1,0.32355,0.023,0.011,0.6,2.2,0.7,-0.4,0.5,0.5,0.3,0,0.0,0.0,0.0,0.0,0,0,0.1,2.1
3,slac,4,1,10.027,0.945,0.27625411389249,0.153,0.794,F2,p,e,NC,1,0.32693,0.027,0.011,1.6,2.1,0.6,-0.5,0.5,0.5,0.3,0,0.0,0.0,0.0,0.0,0,0,0.1,2.1
4,slac,5,1,10.027,0.921,0.328712476313952,0.119,0.737,F2,p,e,NC,1,0.3122,0.029,0.013,2.1,2.1,0.8,-0.6,0.4,0.4,0.3,0,0.0,0.0,0.0,0.0,0,0,0.2,2.1
5,slac,6,1,10.027,0.883,0.392839333798743,0.09,0.666,F2,p,e,NC,1,0.30119,0.027,0.014,1.9,2.0,0.8,-0.7,0.4,0.4,0.3,0,0.0,0.0,0.0,0.0,0,0,0.4,2.1
6,slac,7,1,10.027,0.827,0.466340879625012,0.067,0.586,F2,p,e,NC,1,0.27682,0.026,0.015,1.7,1.9,0.7,-0.9,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.8,2.1
7,slac,8,1,13.549,0.98,0.158904716215219,0.417,1.685,F2,p,e,NC,1,0.23967,0.021,0.009,0.8,1.9,0.4,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.0,2.1
8,slac,9,1,13.549,0.976,0.177356262454794,0.365,1.647,F2,p,e,NC,1,0.2749,0.021,0.009,0.7,2.0,0.5,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.0,2.1
9,slac,10,1,13.549,0.97,0.200162373606908,0.315,1.601,F2,p,e,NC,1,0.29547,0.022,0.009,0.6,2.1,0.5,0.2,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.0,2.1
10,slac,11,1,13.549,0.963,0.224887445567938,0.271,1.552,F2,p,e,NC,1,0.31447,0.022,0.009,0.7,2.1,0.6,0.2,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.0,2.1
11,slac,12,1,13.549,0.946,0.2734519152705,0.209,1.455,F2,p,e,NC,1,0.33159,0.03,0.009,2.1,2.1,0.6,0.0,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.1,2.1
12,slac,13,1,13.549,0.925,0.319654587054395,0.168,1.363,F2,p,e,NC,1,0.34548,0.03,0.009,2.2,2.1,0.6,-0.1,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.1,2.1
13,slac,14,1,13.549,0.895,0.37323787733412,0.132,1.256,F2,p,e,NC,1,0.32928,0.03,0.009,2.2,2.0,0.5,-0.2,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.2,2.1
14,slac,15,1,13.549,0.856,0.430585283046719,0.104,1.141,F2,p,e,NC,1,0.32845,0.027,0.01,1.8,2.0,0.5,-0.4,0.2,0.2,0.3,0,0.0,0.0,0.0,0.0,0,0,0.4,2.1
15,slac,16,1,13.549,0.804,0.491549191822275,0.081,1.019,F2,p,e,NC,1,0.32385,0.029,0.014,2.2,1.9,0.7,-0.6,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.8,2.1
16,slac,17,1,16.075,0.98,0.156827371695179,0.503,2.377,F2,p,e,NC,1,0.17809,0.021,0.012,1.1,1.8,0.6,0.8,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.0,2.1
17,slac,18,1,16.075,0.977,0.172068429237947,0.45,2.334,F2,p,e,NC,1,0.21125,0.021,0.011,1.0,1.8,0.4,0.7,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.0,2.1
18,slac,19,1,16.075,0.973,0.190730948678072,0.396,2.281,F2,p,e,NC,1,0.25099,0.021,0.01,0.9,1.9,0.4,0.7,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.0,2.1
19,slac,20,1,16.075,0.967,0.21194401244168,0.347,2.221,F2,p,e,NC,1,0.27517,0.021,0.01,0.7,2.0,0.4,0.6,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.0,2.1
20,slac,21,1,16.075,0.955,0.249020217729394,0.282,2.116,F2,p,e,NC,1,0.31261,0.025,0.01,1.4,2.1,0.5,0.5,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.1,2.1
21,slac,22,1,16.075,0.938,0.292503888024883,0.226,1.995,F2,p,e,NC,1,0.33441,0.029,0.009,2.0,2.1,0.5,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.1,2.1
22,slac,23,1,16.075,0.917,0.336236391912908,0.185,1.872,F2,p,e,NC,1,0.33393,0.029,0.009,2.1,2.0,0.5,0.2,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.2,2.1
23,slac,24,1,16.075,0.889,0.383639191290824,0.15,1.738,F2,p,e,NC,1,0.34879,0.028,0.009,2.0,2.0,0.5,0.0,0.3,0.3,0.3,0,0.0,0.0,0.0,0.0,0,0,0.2,2.1
