,col,obs,value,Q2,target,stat_u,X,Y
0,Slac-2148,A_PV_e,-0.000152,1.6,d,1.6000000000000003e-05,0.2,0.21
1,Slac-2319,A_PV_e,-8.924e-05,0.92,d,4.5e-05,0.14,0.22
2,Slac-2319,A_PV_e,-0.00014841,1.53,d,1.3000000000000001e-05,0.28,0.15
3,Slac-2319,A_PV_e,-0.00014744,1.52,d,1.7e-05,0.26,0.16
4,Slac-2319,A_PV_e,-0.00012901,1.33,d,1.7e-05,0.16,0.23
5,Slac-2319,A_PV_e,-0.00012416,1.28,d,1.8e-05,0.14,0.25
6,Slac-2319,A_PV_e,-0.00012124999999999999,1.25,d,2e-05,0.13,0.26
7,Slac-2319,A_PV_e,-0.00011251999999999999,1.16,d,1.8e-05,0.11,0.29
8,Slac-2319,A_PV_e,-0.00010379000000000001,1.07,d,2.9e-05,0.09,0.32
9,Slac-2319,A_PV_e,-9.021e-05,0.93,d,3.0000000000000004e-05,0.07,0.36
10,Slac-2319,A_PV_e,-0.00019012,1.96,d,2.1000000000000002e-05,0.28,0.17
11,Slac-2319,A_PV_e,-0.00016102,1.66,d,2.8e-05,0.15,0.26
