,exp,X,Q2,value,obs,target,lepton beam,current,stat_u,syst_u,*norm_c,%cor1_c,%cor2_c,%cor3_c,%cor4_c,%cor5_c,*Elab,*nu,*E',*sin2(theta/2),*epsilon
13,bcdms,0.18,17.0,0.30863,F2,d,mu,NC,0.0062,0,0.0092589,-0.4,-0.1,0.3,0.0,1.0,120,50.3435204927742,69.6564795072258,0.000508447554588123,0.998976811266803
14,bcdms,0.18,19.0,0.31282,F2,d,mu,NC,0.0068,0,0.0093846,-0.4,-0.1,0.3,0.0,1.0,120,56.2662876095712,63.7337123904288,0.000621073711991673,0.998751182792263
15,bcdms,0.18,21.5,0.29966,F2,d,mu,NC,0.006,0,0.0089898,-0.3,-0.1,0.2,0.0,1.0,120,63.6697465055674,56.3302534944326,0.000795161816040712,0.998402525623692
16,bcdms,0.18,24.5,0.29859,F2,d,mu,NC,0.0073,0,0.0089577,-0.3,0.0,0.0,0.0,1.0,120,72.5538971807629,47.4461028192372,0.00107578206920657,0.997840766548862
17,bcdms,0.225,11.75,0.27821,F2,d,mu,NC,0.0056,0,0.0083463,-0.5,-0.2,0.2,0.0,1.0,120,27.8370054489457,92.1629945510543,0.000265607327386767,0.999460877931927
18,bcdms,0.225,13.25,0.28755,F2,d,mu,NC,0.006,0,0.0086265,-0.5,-0.2,0.2,0.0,1.0,120,31.3906657190239,88.6093342809761,0.000311526622907866,0.999368770694436
19,bcdms,0.225,15.0,0.27928,F2,d,mu,NC,0.0054,0,0.0083784,-0.4,-0.2,0.1,0.0,1.0,120,35.5366027007818,84.4633972992182,0.000369982749915853,0.999251528768329
20,bcdms,0.225,17.0,0.27217,F2,d,mu,NC,0.0056,0,0.0081651,-0.4,-0.1,0.0,0.0,1.0,120,40.2748163942194,79.7251836057806,0.000444234369428266,0.999102626669279
21,bcdms,0.225,19.0,0.27346,F2,d,mu,NC,0.0062,0,0.0082038,-0.4,-0.1,0.2,0.0,1.0,120,45.013030087657,74.9869699123431,0.000527869486920258,0.998934933821249
22,bcdms,0.225,21.5,0.27142,F2,d,mu,NC,0.0056,0,0.0081426,-0.4,-0.1,0.3,0.0,1.0,120,50.9357972044539,69.0642027955461,0.000648551128567508,0.998693010480856
23,bcdms,0.225,24.5,0.2684,F2,d,mu,NC,0.0063,0,0.008052,-0.3,0.0,0.1,0.0,1.0,120,58.0431177446103,61.9568822553897,0.000823825615631692,0.998341752728131
24,bcdms,0.225,28.0,0.26202,F2,d,mu,NC,0.0056,0,0.0078606,-0.3,0.0,0.3,0.0,0.0,120,66.334991708126,53.665008291874,0.00108699011124845,0.997814592147244
25,bcdms,0.225,32.5,0.26189,F2,d,mu,NC,0.0056,0,0.0078567,-0.3,0.0,0.2,0.0,0.0,120,76.9959725183606,43.0040274816394,0.00157446493499339,0.996838839073478
26,bcdms,0.275,13.25,0.25894,F2,d,mu,NC,0.0063,0,0.0077682,-0.4,-0.1,0.3,0.0,1.0,120,25.6832719519287,94.3167280480713,0.000292675193870141,0.999403073400604
27,bcdms,0.275,15.0,0.24846,F2,d,mu,NC,0.0054,0,0.0074538,-0.4,0.0,0.7,0.0,1.0,120,29.0754022097306,90.9245977902694,0.000343691374605611,0.999300669544065
28,bcdms,0.275,17.0,0.2397,F2,d,mu,NC,0.0057,0,0.007191,-0.4,0.0,0.2,0.0,1.0,120,32.9521225043613,87.0478774956387,0.00040686421869897,0.999173878435319
29,bcdms,0.275,19.0,0.23833,F2,d,mu,NC,0.0063,0,0.0071499,-0.4,0.0,0.5,0.0,1.0,120,36.828842798992,83.171157201008,0.000475926206457226,0.999035285993684
30,bcdms,0.275,21.5,0.23372,F2,d,mu,NC,0.0055,0,0.0070116,-0.3,0.0,0.0,0.0,1.0,120,41.6747431672805,78.3252568327195,0.000571867472612684,0.998842784688865
31,bcdms,0.275,24.5,0.23571,F2,d,mu,NC,0.0044,0,0.0070713,-0.3,0.0,0.3,0.0,0.4,120,47.4898236092266,72.5101763907734,0.000703924182884231,0.998577880456674
32,bcdms,0.275,28.0,0.23538,F2,d,mu,NC,0.0041,0,0.0070614,-0.3,0.1,-0.2,0.0,0.4,120,54.2740841248304,65.7259158751696,0.00088752408477842,0.998209698328484
33,bcdms,0.275,32.5,0.23041,F2,d,mu,NC,0.0043,0,0.0069123,-0.3,0.1,0.1,0.0,0.2,120,62.9967047877496,57.0032952122504,0.00118779682966086,0.997607839789162
34,bcdms,0.275,37.5,0.22231,F2,d,mu,NC,0.0057,0,0.0066693,-0.3,0.1,0.4,0.0,0.0,120,72.6885055243264,47.3114944756736,0.0016512900483448,0.996679541015667
35,bcdms,0.275,43.0,0.22061,F2,d,mu,NC,0.0059,0,0.0066183,-0.3,0.1,0.7,0.0,0.0,120,83.349486334561,36.650513665439,0.00244425860306043,0.995093366372858
36,bcdms,0.35,13.25,0.18309,F2,d,mu,NC,0.0042,0,0.0054927,-0.1,0.4,0.7,0.0,1.0,120,20.1797136765154,99.8202863234846,0.00027653864443156,0.999429095039704
