,exp,x,Q2,value,stat_u,sys_u,Elab,%*norm_c,target,lepton beam,current,obs
25,bcdms,0.225,32.5,0.25756,0.00547,0.00094,120,3,d,mu_minus,NC,sig_r
26,bcdms,0.275,13.25,0.25851,0.00631,0.00291,120,3,d,mu_minus,NC,sig_r
27,bcdms,0.275,15.0,0.24795,0.00543,0.00319,120,3,d,mu_minus,NC,sig_r
28,bcdms,0.275,17.0,0.23909,0.00569,0.00262,120,3,d,mu_minus,NC,sig_r
29,bcdms,0.275,19.0,0.23758,0.00624,0.00282,120,3,d,mu_minus,NC,sig_r
30,bcdms,0.275,21.5,0.23279,0.00551,0.00242,120,3,d,mu_minus,NC,sig_r
31,bcdms,0.275,24.5,0.2345,0.00436,0.00137,120,3,d,mu_minus,NC,sig_r
32,bcdms,0.275,28.0,0.23381,0.00411,0.00128,120,3,d,mu_minus,NC,sig_r
33,bcdms,0.275,32.5,0.22833,0.00431,0.00088,120,3,d,mu_minus,NC,sig_r
34,bcdms,0.275,37.5,0.21961,0.00566,0.00113,120,3,d,mu_minus,NC,sig_r
35,bcdms,0.275,43.0,0.21705,0.00578,0.00166,120,3,d,mu_minus,NC,sig_r
36,bcdms,0.35,13.25,0.1829,0.00423,0.00236,120,3,d,mu_minus,NC,sig_r
37,bcdms,0.35,15.0,0.18873,0.00387,0.00241,120,3,d,mu_minus,NC,sig_r
38,bcdms,0.35,17.0,0.17893,0.00398,0.00191,120,3,d,mu_minus,NC,sig_r
39,bcdms,0.35,19.0,0.17382,0.00416,0.00197,120,3,d,mu_minus,NC,sig_r
40,bcdms,0.35,21.5,0.18531,0.00393,0.00204,120,3,d,mu_minus,NC,sig_r
41,bcdms,0.35,24.5,0.17836,0.00288,0.00132,120,3,d,mu_minus,NC,sig_r
42,bcdms,0.35,28.0,0.17729,0.00268,0.00109,120,3,d,mu_minus,NC,sig_r
43,bcdms,0.35,32.5,0.17661,0.00275,0.00083,120,3,d,mu_minus,NC,sig_r
44,bcdms,0.35,37.5,0.17234,0.00372,0.00048,120,3,d,mu_minus,NC,sig_r
45,bcdms,0.35,43.0,0.16928,0.00364,0.00097,120,3,d,mu_minus,NC,sig_r
46,bcdms,0.35,49.5,0.16545,0.00377,0.0005,120,3,d,mu_minus,NC,sig_r
