,x,Q2,epsilon,W2,sig_p/gamma,dnorc_p,drc_p,dfull_p,F2_p,dnorc_f2p,drc_f2p,dfull_f2p,sig_d/gamma,dnorc_d,drc_d,dfull_d,F2_d,dnorc_f2d,drc_f2d,dfull_f2d
0,0.45,2.275,0.715,3.6603995555555557,0.0099,0.0002,0,0.0002,0.2104,0.0046,0.0,0.0046,0.0077,0.0001,0,0.0001,0.1638,0.0036,0,0.0036
1,0.25,1.761,0.599,6.162843999999999,0.0144,0.0002,0,0.0002,0.3183,0.0082,0.0012845232578665073,0.0083,0.0125,0.0002,0,0.0002,0.2744,0.0071,0,0.0071
