,col,spec,ebeam,ep,thetac,X,Q2,W2,target,obs,value,perr,err_u,pnorm,norm_c,systc1,systc2,systc3,systc4,systc5,systc6,systc7,systc8,syst1_c,syst2_c,syst3_c,syst4_c,syst5_c,syst6_c,syst7_c,syst8_c
0,JLab Hall C (E12-10-002),0,10.602,3.49728,21.035,0.36926,4.92311,9.28957,d/p,F2d/F2p,0.82092,0.01061,0.0087099612,0.0113,0.009276396,0.001,0.00227,0.00106,0.00153,0.003,0.00501,0.00047,0.0014,0.00082092,0.0018634883999999999,0.0008701751999999999,0.0012560076,0.00246276,0.0041128091999999995,0.0003858324,0.001149288
1,JLab Hall C (E12-10-002),0,10.602,3.4364,21.035,0.35975,4.83742,9.4895,d/p,F2d/F2p,0.82393,0.00999,0.0082310607,0.0113,0.009310409,0.001,0.00165,0.00106,0.00184,0.003,0.00501,0.00047,0.0014,0.0008239300000000001,0.0013594845000000002,0.0008733658,0.0015160312000000002,0.00247179,0.0041278893,0.0003872471,0.001153502
2,JLab Hall C (E12-10-002),0,10.602,3.37552,21.035,0.3504,4.75171,9.68945,d/p,F2d/F2p,0.82541,0.00956,0.0078909196,0.0113,0.009327133,0.001,0.00109,0.00106,0.00221,0.003,0.00501,0.00047,0.0014,0.00082541,0.0008996969,0.0008749345999999999,0.0018241561,0.00247623,0.0041353041,0.0003879427,0.001155574
3,JLab Hall C (E12-10-002),0,10.602,3.31464,21.035,0.34121,4.66601,9.88941,d/p,F2d/F2p,0.83162,0.00951,0.007908706199999999,0.0113,0.009397306,0.001,0.00115,0.00106,0.00266,0.003,0.00502,0.00047,0.0014,0.00083162,0.000956363,0.0008815172,0.0022121092,0.0024948600000000002,0.004174732400000001,0.0003908614,0.001164268
4,JLab Hall C (E12-10-002),0,10.602,3.25375,21.035,0.33216,4.5803,10.08937,d/p,F2d/F2p,0.82542,0.00969,0.0079983198,0.0113,0.009327245999999999,0.001,0.0014,0.00106,0.00321,0.003,0.00502,0.00047,0.0014,0.0008254200000000001,0.0011555880000000001,0.0008749452,0.0026495982000000005,0.00247626,0.0041436084,0.0003879474,0.0011555880000000001
5,JLab Hall C (E12-10-002),0,10.602,3.19286,21.035,0.32327,4.49459,10.28934,d/p,F2d/F2p,0.82823,0.01001,0.0082905823,0.0113,0.009358999,0.001,0.00171,0.00106,0.00387,0.003,0.00502,0.00047,0.0014,0.00082823,0.0014162733,0.0008779238,0.0032052501000000002,0.00248469,0.0041577146,0.0003892681,0.001159522
6,JLab Hall C (E12-10-002),0,10.602,4.28845,21.035,0.50954,6.03685,6.69116,d/p,F2d/F2p,0.77584,0.00875,0.0067886000000000005,0.0113,0.008766992,0.001,0.00037,0.00068,0.00016,0.003,0.005,0.00107,0.0014,0.00077584,0.0002870608,0.0005275712,0.0001241344,0.00232752,0.0038791999999999997,0.0008301488,0.001086176
7,JLab Hall C (E12-10-002),0,10.602,4.22761,21.035,0.49752,5.9512,6.89098,d/p,F2d/F2p,0.78411,0.00814,0.006382655399999999,0.0113,0.008860442999999999,0.001,0.00278,0.00068,0.00019,0.003,0.005,0.00107,0.0014,0.00078411,0.0021798257999999997,0.0005331948,0.0001489809,0.00235233,0.00392055,0.0008389977,0.001097754
8,JLab Hall C (E12-10-002),0,10.602,4.16676,21.035,0.48572,5.86555,7.09082,d/p,F2d/F2p,0.78554,0.00778,0.0061115012,0.0113,0.008876601999999999,0.001,0.00241,0.00068,0.00023,0.003,0.005,0.00107,0.0014,0.00078554,0.0018931514,0.0005341672000000001,0.0001806742,0.0023566200000000002,0.0039277,0.0008405278,0.001099756
9,JLab Hall C (E12-10-002),0,10.602,4.10592,21.035,0.47414,5.77989,7.29066,d/p,F2d/F2p,0.78709,0.00756,0.0059504004,0.0113,0.008894116999999998,0.001,0.00183,0.00068,0.00027,0.003,0.005,0.00107,0.0014,0.00078709,0.0014403747,0.0005352212,0.00021251429999999999,0.00236127,0.00393545,0.0008421863,0.001101926
10,JLab Hall C (E12-10-002),0,10.602,4.04506,21.035,0.46278,5.69423,7.49051,d/p,F2d/F2p,0.7901,0.0075,0.00592575,0.0113,0.00892813,0.001,0.00134,0.00068,0.00031,0.003,0.005,0.00107,0.0014,0.0007901000000000001,0.001058734,0.000537268,0.000244931,0.0023703,0.0039505,0.0008454070000000001,0.00110614
11,JLab Hall C (E12-10-002),0,10.602,3.98421,21.035,0.45163,5.60856,7.69037,d/p,F2d/F2p,0.79226,0.00749,0.0059340274,0.0113,0.008952538,0.001,0.00081,0.00068,0.00037,0.003,0.005,0.00107,0.0014,0.00079226,0.0006417306,0.0005387368,0.0002931362,0.0023767799999999998,0.0039613,0.0008477182,0.001109164
12,JLab Hall C (E12-10-002),0,10.602,3.92335,21.035,0.44068,5.52289,7.89024,d/p,F2d/F2p,0.79141,0.00759,0.0060068019,0.0113,0.008942932999999998,0.001,0.00035,0.00068,0.00044,0.003,0.005,0.00107,0.0014,0.00079141,0.00027699349999999996,0.0005381588,0.00034822039999999997,0.0023742299999999997,0.00395705,0.0008468086999999999,0.0011079739999999999
13,JLab Hall C (E12-10-002),0,10.602,3.86249,21.035,0.42992,5.43722,8.09012,d/p,F2d/F2p,0.80008,0.00772,0.006176617600000001,0.0113,0.009040903999999999,0.001,2e-05,0.00068,0.00053,0.003,0.005,0.00107,0.0014,0.00080008,1.6001600000000003e-05,0.0005440544,0.0004240424,0.00240024,0.0040004,0.0008560856,0.001120112
14,JLab Hall C (E12-10-002),0,10.602,4.77511,21.035,0.61475,6.72191,5.09286,d/p,F2d/F2p,0.73969,0.01059,0.0078333171,0.0113,0.008358497,0.001,0.00175,0.00108,5e-05,0.003,0.005,0.00046,0.0014,0.00073969,0.0012944575,0.0007988652,3.69845e-05,0.00221907,0.00369845,0.0003402574,0.001035566
15,JLab Hall C (E12-10-002),0,10.602,4.71429,21.035,0.60065,6.63629,5.29262,d/p,F2d/F2p,0.74648,0.00958,0.007151278400000001,0.0113,0.008435224,0.001,0.00132,0.00108,6e-05,0.003,0.005,0.00046,0.0014,0.00074648,0.0009853536,0.0008061984000000001,4.47888e-05,0.00223944,0.0037324000000000003,0.0003433808,0.001045072
16,JLab Hall C (E12-10-002),0,10.602,4.65346,21.035,0.58684,6.55067,5.49238,d/p,F2d/F2p,0.75578,0.00896,0.006771788799999999,0.0113,0.008540314,0.001,0.00105,0.00108,7e-05,0.003,0.005,0.00046,0.0014,0.0007557800000000001,0.0007935689999999999,0.0008162424,5.2904599999999995e-05,0.00226734,0.0037789,0.00034765880000000004,0.001058092
17,JLab Hall C (E12-10-002),0,10.602,4.59263,21.035,0.5733,6.46504,5.69216,d/p,F2d/F2p,0.75148,0.00852,0.0064026096,0.0113,0.008491723999999999,0.001,0.00081,0.00108,8e-05,0.003,0.005,0.00046,0.0014,0.00075148,0.0006086988,0.0008115984000000001,6.011840000000001e-05,0.0022544400000000003,0.0037574,0.0003456808,0.001052072
18,JLab Hall C (E12-10-002),0,10.602,4.5318,21.035,0.56004,6.37941,5.89194,d/p,F2d/F2p,0.76103,0.00828,0.006301328399999999,0.0113,0.008599639,0.001,0.00135,0.00108,9e-05,0.003,0.005,0.00046,0.0014,0.00076103,0.0010273905,0.0008219124,6.84927e-05,0.00228309,0.00380515,0.0003500738,0.001065442
19,JLab Hall C (E12-10-002),0,10.602,4.47097,21.035,0.54704,6.29378,6.09173,d/p,F2d/F2p,0.76259,0.00818,0.0062379862,0.0113,0.008617267,0.001,0.00124,0.00108,0.0001,0.003,0.005,0.00046,0.0014,0.0007625900000000001,0.0009456115999999999,0.0008235972,7.6259e-05,0.00228777,0.00381295,0.0003507914,0.001067626
20,JLab Hall C (E12-10-002),0,10.602,4.41013,21.035,0.53429,6.20814,6.29153,d/p,F2d/F2p,0.77029,0.00822,0.0063317838,0.0113,0.008704277,0.001,0.00066,0.00108,0.00012,0.003,0.005,0.00046,0.0014,0.0007702900000000001,0.0005083914,0.0008319132000000001,9.24348e-05,0.00231087,0.00385145,0.0003543334,0.001078406
21,JLab Hall C (E12-10-002),0,10.602,4.3493,21.035,0.5218,6.12249,6.49134,d/p,F2d/F2p,0.76755,0.00836,0.006416717999999999,0.0113,0.008673315,0.001,8e-05,0.00108,0.00014,0.003,0.005,0.00046,0.0014,0.00076755,6.1404e-05,0.0008289539999999999,0.00010745699999999998,0.00230265,0.00383775,0.00035307299999999997,0.00107457
22,JLab Hall C (E12-10-002),0,10.602,5.44399,21.035,0.79175,7.66349,2.8961,d/p,F2d/F2p,0.6295,0.01376,0.008661919999999998,0.0113,0.007113349999999999,0.001,0.00707,0.00125,2e-05,0.003,0.00501,0.00028,0.0014,0.0006295,0.004450564999999999,0.0007868749999999999,1.259e-05,0.0018885,0.0031537949999999996,0.00017625999999999997,0.0008812999999999999
23,JLab Hall C (E12-10-002),0,10.602,5.38319,21.035,0.77378,7.57791,3.09577,d/p,F2d/F2p,0.70292,0.01204,0.0084631568,0.0113,0.007942995999999999,0.001,0.00233,0.00125,2e-05,0.003,0.00501,0.00028,0.0014,0.00070292,0.0016378036,0.00087865,1.40584e-05,0.00210876,0.0035216291999999997,0.00019681759999999997,0.000984088
24,JLab Hall C (E12-10-002),0,10.602,5.3224,21.035,0.75623,7.49233,3.29544,d/p,F2d/F2p,0.7509,0.01088,0.008169792,0.0113,0.00848517,0.001,0.00278,0.00125,2e-05,0.003,0.005,0.00028,0.0014,0.0007509,0.0020875019999999998,0.000938625,1.5018000000000001e-05,0.0022527000000000003,0.0037545,0.000210252,0.00105126
