,https://hallcweb.jlab.org/disdata/hydrogen.global.table.text,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,https://hallcweb.jlab.org/disdata/index.html,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
0,E,theta,E',x,Q2,sigma (ub),eps,W2,Gamma_v,stat,%stat_u,syst,%syst_u,rad1,%rad1_c,rad2,%rad2_c,y,y+,xq4/2/pi/a2/y+/hc2,det,sig_r
1,5.648,22.566,3.652,0.84302,3.1581,0.002307,0.847,1.468,0.0001554,4.17e-05,1.8075422626788036,2.38e-05,1.0316428261811876,1.3e-05,0.5635023840485478,2.32e-05,1.0056350238404854,0.353399433427762,1.467548094656032,43975.737138177814,0.3606177295141382,0.036585399118467934
2,5.648,22.566,3.618,0.8212,3.1287,0.002046,0.844,1.562,0.0001764,3.57e-05,1.7448680351906158,2.21e-05,1.0801564027370476,1.7e-05,0.8308895405669598,1.8e-05,0.879765395894428,0.35941926345609065,1.4593410006235443,42280.08369350668,0.380043859029361,0.032875713497609656
3,5.648,22.566,3.584,0.80011,3.0994,0.002025,0.841,1.655,0.0001964,3.47e-05,1.7135802469135806,2.35e-05,1.1604938271604939,8.57e-06,0.4232098765432099,6.06e-06,0.2992592592592593,0.3654390934844192,1.4512061669324008,40652.9137003107,0.4003567713349728,0.032958230280691746
4,5.648,22.566,3.55,0.77969,3.07,0.002218,0.838,1.748,0.0002155,3.57e-05,1.6095581605049596,2.63e-05,1.1857529305680794,8.5e-06,0.38322813345356177,6.01e-06,0.27096483318304776,0.3714589235127479,1.4431437030388046,39084.5372088256,0.4216094642229683,0.036549115136690666
5,5.648,22.566,3.516,0.75993,3.0406,0.00252,0.834,1.841,0.0002338,3.77e-05,1.496031746031746,2.97e-05,1.1785714285714284,8.41e-06,0.33373015873015877,5.95e-06,0.2361111111111111,0.37747875354107646,1.4351548069517774,37575.888591051626,0.44383334653393774,0.042027129603529195
6,5.648,22.566,3.482,0.74078,3.0112,0.002832,0.831,1.934,0.0002512,3.87e-05,1.3665254237288136,3.3e-05,1.1652542372881358,1.19e-05,0.4201977401129943,1.19e-05,0.4201977401129943,0.383498583569405,1.4272370696282493,36123.36276009628,0.4670846785399067,0.047783399408266584
7,5.648,22.566,3.448,0.72223,2.9818,0.00326,0.827,2.027,0.0002677,4.07e-05,1.2484662576687118,3.74e-05,1.147239263803681,1.34e-05,0.41104294478527603,1.8e-05,0.5521472392638037,0.3895184135977337,1.4193928554722073,34725.280912978116,0.4913999230360474,0.05562864119981878
8,5.648,22.566,3.414,0.70424,2.9525,0.003846,0.824,2.12,0.0002835,4.56e-05,1.1856474258970358,4.29e-05,1.1154446177847115,1.35e-05,0.35101404056162244,1.81e-05,0.4706188247529901,0.39553824362606227,1.41161894267237,33380.963000128715,0.5168376555626503,0.06635326367639924
9,5.648,22.566,3.38,0.68679,2.9231,0.005386,0.82,2.213,0.0002985,5.85e-05,1.0861492759004827,5.9e-05,1.0954326030449313,2.38e-05,0.44188637207575193,2.98e-05,0.5532862978091347,0.40155807365439095,1.4039191552100334,32083.744323910578,0.5434474704343635,0.0939093787366887
10,5.648,22.566,3.346,0.66986,2.8937,0.005592,0.816,2.307,0.0003127,6.15e-05,1.0997854077253222,6.26e-05,1.1194563662374823,2.38e-05,0.4256080114449213,2.98e-05,0.5329041487839771,0.4075779036827195,1.3962924582763108,30834.044791032815,0.571281975940963,0.09850271112077515
