,exp,I,J,x,Q2,obs,target,lepton beam,current,units,value,*%stat_u,*%dSR_u,*%1dN1_c,*%2dN1_c,*%3dN1_c,*%4dN1_c,*%5dN1_c,*%6dN1_c,*%7dN1_c,*%8dN1_c,*%1dN2_c,*%2dN2_c,*%3dN2_c,*%4dN2_c,*%5dN2_c,*%6dN2_c,*%7dN2_c,*%8dN2_c,%*norm_c
33,slac,34,1,0.309,3.047,sig_r,d/p,e,nc,1,0.8345,2.5,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
34,slac,35,1,0.239,2.819,sig_r,d/p,e,nc,1,0.8665,1.8,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
35,slac,36,1,0.183,2.569,sig_r,d/p,e,nc,1,0.8765,2.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
36,slac,37,1,0.152,2.382,sig_r,d/p,e,nc,1,0.9035,2.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
37,slac,38,1,0.126,2.188,sig_r,d/p,e,nc,1,0.8915,2.5,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
38,slac,39,1,0.107,2.017,sig_r,d/p,e,nc,1,0.931,2.6,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
39,slac,40,1,0.09,1.845,sig_r,d/p,e,nc,1,0.902,2.6,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
40,slac,41,1,0.075,1.658,sig_r,d/p,e,nc,1,0.942,2.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
41,slac,42,1,0.323,1.107,sig_r,d/p,e,nc,1,0.879,1.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
42,slac,43,1,0.269,1.051,sig_r,d/p,e,nc,1,0.871,1.5,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
43,slac,44,1,0.24,1.016,sig_r,d/p,e,nc,1,0.8925,2.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
44,slac,45,1,0.177,0.912,sig_r,d/p,e,nc,1,0.8945,2.6,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
45,slac,46,1,0.127,0.791,sig_r,d/p,e,nc,1,0.9205,2.6,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
46,slac,47,1,0.089,0.657,sig_r,d/p,e,nc,1,0.9435,2.6,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
