,exp,Elab,X,Q2,W2,target,current,lepton beam,obs,RATIO,ISO,value,COU,stat_u,syst_u,*norm_c
0,JLab Hall C (E03-103),5.767,0.325,2.8682,6.8374,h/d,NC,e_minus,sig_r,0.9774,0.94,1.0397872340425534,1.001,0.006198,0.009631,0.019132085106382982
1,JLab Hall C (E03-103),5.767,0.35,3.0456,6.5365,h/d,NC,e_minus,sig_r,0.9763,0.9367,1.0422760755844986,1.001,0.005872,0.009673,0.019177879790754776
2,JLab Hall C (E03-103),5.767,0.375,3.2182,6.244,h/d,NC,e_minus,sig_r,0.9796,0.9334,1.0494964645382472,1.001,0.00574,0.009759,0.01931073494750375
3,JLab Hall C (E03-103),5.767,0.4,3.386,5.9594,h/d,NC,e_minus,sig_r,0.9684,0.9301,1.0411783679174282,1.001,0.004573,0.0097,0.01915768196968068
4,JLab Hall C (E03-103),5.767,0.425,3.5494,5.6824,h/d,NC,e_minus,sig_r,0.9725,0.9267,1.0494226826373152,1.002,0.005864,0.009793,0.0193093773605266
5,JLab Hall C (E03-103),5.767,0.45,3.7084,5.4128,h/d,NC,e_minus,sig_r,0.9713,0.9233,1.051987436369544,1.002,0.005467,0.009835,0.01935656882919961
6,JLab Hall C (E03-103),5.767,0.475,3.8632,5.1502,h/d,NC,e_minus,sig_r,0.9696,0.9198,1.0541422048271365,1.002,0.004514,0.00987,0.019396216568819312
7,JLab Hall C (E03-103),5.767,0.5,4.0141,4.8945,h/d,NC,e_minus,sig_r,0.9629,0.9163,1.0508567063188912,1.002,0.005916,0.009854,0.019335763396267597
8,JLab Hall C (E03-103),5.767,0.525,4.1611,4.6452,h/d,NC,e_minus,sig_r,0.9599,0.9128,1.0515994741454864,1.002,0.005292,0.009875,0.01934943032427695
9,JLab Hall C (E03-103),5.767,0.55,4.3044,4.4022,h/d,NC,e_minus,sig_r,0.964,0.9092,1.0602727672679277,1.002,0.006396,0.009969,0.01950901891772987
10,JLab Hall C (E03-103),5.767,0.575,4.4442,4.1652,h/d,NC,e_minus,sig_r,0.9653,0.9056,1.0659231448763251,1.002,0.005289,0.01003,0.01961298586572438
11,JLab Hall C (E03-103),5.767,0.6,4.5805,3.934,h/d,NC,e_minus,sig_r,0.9644,0.9019,1.069298148353476,1.002,0.004358,0.01008,0.019675085929703958
12,JLab Hall C (E03-103),5.767,0.625,4.7136,3.7085,h/d,NC,e_minus,sig_r,0.949,0.8982,1.0565575595635714,1.003,0.006342,0.009969,0.019440659095969714
13,JLab Hall C (E03-103),5.767,0.65,4.8434,3.4883,h/d,NC,e_minus,sig_r,0.9611,0.8944,1.0745751341681573,1.003,0.005417,0.01015,0.019772182468694093
14,JLab Hall C (E03-103),5.767,0.675,4.9702,3.2734,h/d,NC,e_minus,sig_r,0.9562,0.8906,1.073658207949697,1.003,0.005731,0.01015,0.019755311026274425
15,JLab Hall C (E03-103),5.767,0.7,5.094,3.0635,h/d,NC,e_minus,sig_r,0.9479,0.8868,1.0688994136220116,1.003,0.007357,0.01011,0.019667749210645014
16,JLab Hall C (E03-103),5.767,0.725,5.2149,2.8584,h/d,NC,e_minus,sig_r,0.9345,0.8828,1.0585636610783868,1.004,0.005201,0.01002,0.019477571363842316
17,JLab Hall C (E03-103),5.767,0.75,5.3331,2.6581,h/d,NC,e_minus,sig_r,0.9386,0.8789,1.0679258163613607,1.004,0.00581,0.01011,0.01964983502104904
18,JLab Hall C (E03-103),5.767,0.775,5.4486,2.4622,h/d,NC,e_minus,sig_r,0.9393,0.8755,1.0728726442033125,1.004,0.007165,0.01017,0.01974085665334095
19,JLab Hall C (E03-103),5.767,0.8,5.5615,2.2707,h/d,NC,e_minus,sig_r,0.9375,0.8732,1.0736371965185525,1.005,0.007703,0.0102,0.019754924415941365
20,JLab Hall C (E03-103),5.767,0.825,5.672,2.0835,h/d,NC,e_minus,sig_r,0.96,0.8721,1.1007911936704506,1.005,0.008582,0.0105,0.020254557963536292
21,JLab Hall C (E03-103),5.767,0.85,5.78,1.9003,h/d,NC,e_minus,sig_r,0.9904,0.8723,1.1353892009629714,1.005,0.009859,0.01089,0.02089116129771867
22,JLab Hall C (E03-103),5.767,0.875,5.8857,1.7212,h/d,NC,e_minus,sig_r,1.027,0.8736,1.175595238095238,1.005,0.0158,0.01135,0.021630952380952376
23,JLab Hall C (E03-103),5.767,0.9,5.9891,1.5458,h/d,NC,e_minus,sig_r,1.063,0.8761,1.2133318114370506,1.005,0.01245,0.01179,0.02232530533044173
24,JLab Hall C (E03-103),5.767,0.925,6.0903,1.3742,h/d,NC,e_minus,sig_r,1.09,0.8798,1.2389179358945215,1.006,0.01158,0.01216,0.022796090020459195
25,JLab Hall C (E03-103),5.767,0.95,6.1894,1.2061,h/d,NC,e_minus,sig_r,1.151,0.8846,1.3011530635315396,1.004,0.02395,0.0129,0.023941216368980327
