,exp,x,Q2,W2,epsilon,sigma,stat,value,stf2rec_u,obs,target,lepton beam,current,units,%*norm_c
155,e94110,0.561726,2.299,2.675,0.833533,13.1,0.3254,0.146017,0.003627,F2,p,e,NC,1,1.9
156,e94110,0.553483,2.285,2.725,0.831318,14.59,0.3806,0.163709,0.004271,F2,p,e,NC,1,1.9
157,e94110,0.545376,2.272,2.775,0.82903,16.43,0.4284,0.185816,0.004845,F2,p,e,NC,1,1.9
158,e94110,0.537416,2.258,2.825,0.826757,17.86,0.4076,0.203354,0.004641,F2,p,e,NC,1,1.9
159,e94110,0.529592,2.245,2.875,0.824409,18.02,0.3659,0.206752,0.004198,F2,p,e,NC,1,1.9
160,e94110,0.521899,2.231,2.925,0.822076,17.46,0.3416,0.201582,0.003944,F2,p,e,NC,1,1.9
161,e94110,0.514343,2.218,2.975,0.819669,16.6,0.3236,0.193044,0.003763,F2,p,e,NC,1,1.9
162,e94110,0.503352,2.198,3.05,0.81607,16.02,0.322,0.188159,0.003782,F2,p,e,NC,1,1.9
163,e94110,0.488974,2.171,3.15,0.811119,15.95,0.3344,0.189851,0.00398,F2,p,e,NC,1,1.9
164,e94110,0.475062,2.144,3.25,0.806045,16.16,0.344,0.194891,0.004149,F2,p,e,NC,1,1.9
165,e94110,0.461594,2.117,3.35,0.800847,16.81,0.3592,0.205303,0.004387,F2,p,e,NC,1,1.9
166,e94110,0.44855,2.09,3.45,0.795525,17.82,0.3774,0.220224,0.004664,F2,p,e,NC,1,1.9
167,e94110,0.435908,2.063,3.55,0.790076,18.2,0.3832,0.227356,0.004787,F2,p,e,NC,1,1.9
168,e94110,0.423817,2.036,3.65,0.7846,18.5,0.3861,0.233188,0.004867,F2,p,e,NC,1,1.9
169,e94110,0.411922,2.009,3.75,0.778897,19.38,0.3956,0.246356,0.005029,F2,p,e,NC,1,1.9
170,e94110,0.400378,1.982,3.85,0.773065,19.33,0.3956,0.247562,0.005067,F2,p,e,NC,1,1.9
171,e94110,0.901953,3.16,1.225,0.852277,0.025,0.0256,0.000391,0.0004,F2,p,e,NC,1,1.9
172,e94110,0.888345,3.144,1.275,0.850587,0.16,0.04818,0.002523,0.00076,F2,p,e,NC,1,1.9
173,e94110,0.875749,3.129,1.325,0.848966,0.59,0.08051,0.009387,0.001281,F2,p,e,NC,1,1.9
174,e94110,0.863111,3.113,1.375,0.847302,1.626,0.109,0.026083,0.001748,F2,p,e,NC,1,1.9
175,e94110,0.850708,3.097,1.425,0.845614,2.272,0.1071,0.036723,0.001731,F2,p,e,NC,1,1.9
176,e94110,0.838533,3.081,1.475,0.843904,2.568,0.09242,0.041777,0.001504,F2,p,e,NC,1,1.9
