,exp,X,Q2,RS,obs,target,lepton beam,current,units,value,%stat_u,%ucor_u,%cor_u
0,HERA I and II charm rean.,3e-05,2.5,318,sigcc_r,p,none,NC,1,0.1142,8.9,10.7,9.4
1,HERA I and II charm rean.,7e-05,2.5,318,sigcc_r,p,none,NC,1,0.1105,5.8,6.7,8.2
2,HERA I and II charm rean.,0.00013,2.5,318,sigcc_r,p,none,NC,1,0.0911,7.1,6.2,7.9
3,HERA I and II charm rean.,0.00018,2.5,318,sigcc_r,p,none,NC,1,0.0917,4.8,9.6,7.2
4,HERA I and II charm rean.,0.00035,2.5,318,sigcc_r,p,none,NC,1,0.0544,5.3,8.2,6.9
5,HERA I and II charm rean.,7e-05,5.0,318,sigcc_r,p,none,NC,1,0.1532,11.6,9.6,8.2
6,HERA I and II charm rean.,0.00018,5.0,318,sigcc_r,p,none,NC,1,0.1539,5.3,3.4,7.8
7,HERA I and II charm rean.,0.00035,5.0,318,sigcc_r,p,none,NC,1,0.1164,5.2,5.3,5.7
8,HERA I and II charm rean.,0.001,5.0,318,sigcc_r,p,none,NC,1,0.0776,4.8,8.7,5.6
9,HERA I and II charm rean.,0.00013,7.0,318,sigcc_r,p,none,NC,1,0.2249,4.3,3.3,6.7
10,HERA I and II charm rean.,0.00018,7.0,318,sigcc_r,p,none,NC,1,0.2023,6.8,5.7,7.2
11,HERA I and II charm rean.,0.0003,7.0,318,sigcc_r,p,none,NC,1,0.1767,2.3,2.4,5.4
12,HERA I and II charm rean.,0.0005,7.0,318,sigcc_r,p,none,NC,1,0.1616,2.5,1.8,5.2
13,HERA I and II charm rean.,0.0008,7.0,318,sigcc_r,p,none,NC,1,0.1199,4.6,4.0,4.9
14,HERA I and II charm rean.,0.0016,7.0,318,sigcc_r,p,none,NC,1,0.0902,4.1,3.9,5.2
15,HERA I and II charm rean.,0.00022,12.0,318,sigcc_r,p,none,NC,1,0.3161,4.9,2.9,5.7
16,HERA I and II charm rean.,0.00032,12.0,318,sigcc_r,p,none,NC,1,0.2904,2.9,1.5,6.3
17,HERA I and II charm rean.,0.0005,12.0,318,sigcc_r,p,none,NC,1,0.241,2.4,1.3,4.6
18,HERA I and II charm rean.,0.0008,12.0,318,sigcc_r,p,none,NC,1,0.1813,2.1,1.4,4.5
19,HERA I and II charm rean.,0.0015,12.0,318,sigcc_r,p,none,NC,1,0.1476,3.2,1.5,5.1
20,HERA I and II charm rean.,0.003,12.0,318,sigcc_r,p,none,NC,1,0.101,4.4,4.0,5.1
21,HERA I and II charm rean.,0.00035,18.0,318,sigcc_r,p,none,NC,1,0.3198,5.2,3.3,5.2
22,HERA I and II charm rean.,0.0005,18.0,318,sigcc_r,p,none,NC,1,0.2905,2.6,1.4,6.4
23,HERA I and II charm rean.,0.0008,18.0,318,sigcc_r,p,none,NC,1,0.2554,2.2,1.2,4.2
24,HERA I and II charm rean.,0.00135,18.0,318,sigcc_r,p,none,NC,1,0.2016,2.0,1.1,4.1
25,HERA I and II charm rean.,0.0025,18.0,318,sigcc_r,p,none,NC,1,0.163,1.9,1.3,4.2
26,HERA I and II charm rean.,0.0045,18.0,318,sigcc_r,p,none,NC,1,0.1137,5.5,4.1,5.4
27,HERA I and II charm rean.,0.0006,32.0,318,sigcc_r,p,none,NC,1,0.3885,8.5,9.3,5.8
28,HERA I and II charm rean.,0.0008,32.0,318,sigcc_r,p,none,NC,1,0.3756,2.3,1.4,4.4
