,exp,x,Q2,obs,target,lepton beam,current,units,value,dstat_u,dsys,%dVX_c,%dSM_c,%dRC_c,%dE_c,%dEp_c,%*norm_c
189,nmc,0.225,4.47,sig,d/p,mu_minus,nc,1,0.8702,0.0121,0.0027,0.2,-0.1,0.0,-0.1,0.2,0.25
190,nmc,0.225,5.47,sig,d/p,mu_minus,nc,1,0.8445,0.0137,0.0023,0.2,-0.1,0.0,-0.1,0.1,0.25
191,nmc,0.225,6.97,sig,d/p,mu_minus,nc,1,0.8607,0.0101,0.0024,0.2,-0.1,0.0,-0.1,0.2,0.25
192,nmc,0.225,8.93,sig,d/p,mu_minus,nc,1,0.8464,0.0112,0.0021,0.2,-0.1,0.0,-0.1,0.1,0.25
193,nmc,0.225,11.38,sig,d/p,mu_minus,nc,1,0.8534,0.0112,0.0018,0.2,0.0,0.0,-0.1,0.1,0.25
194,nmc,0.225,14.85,sig,d/p,mu_minus,nc,1,0.8549,0.0116,0.0019,0.2,0.0,0.0,-0.1,0.1,0.25
195,nmc,0.225,19.74,sig,d/p,mu_minus,nc,1,0.8617,0.0112,0.0017,0.1,0.0,0.0,-0.1,0.1,0.25
196,nmc,0.225,26.64,sig,d/p,mu_minus,nc,1,0.8651,0.0126,0.0015,0.1,0.0,0.0,-0.1,0.1,0.25
197,nmc,0.225,35.42,sig,d/p,mu_minus,nc,1,0.867,0.0155,0.0013,0.1,0.0,0.0,-0.1,0.1,0.25
198,nmc,0.225,46.95,sig,d/p,mu_minus,nc,1,0.8343,0.0186,0.0011,0.1,0.0,0.0,0.0,0.1,0.25
199,nmc,0.225,63.23,sig,d/p,mu_minus,nc,1,0.8218,0.0248,0.001,0.1,0.0,0.0,0.0,0.1,0.25
200,nmc,0.275,2.78,sig,d/p,mu_minus,nc,1,0.8219,0.0203,0.0068,0.2,0.5,0.0,-0.4,0.5,0.25
201,nmc,0.275,3.46,sig,d/p,mu_minus,nc,1,0.8637,0.0155,0.0051,0.2,0.1,0.0,-0.4,0.4,0.25
202,nmc,0.275,4.47,sig,d/p,mu_minus,nc,1,0.8542,0.0141,0.0033,0.2,0.0,0.0,-0.2,0.2,0.25
203,nmc,0.275,5.47,sig,d/p,mu_minus,nc,1,0.8505,0.0163,0.003,0.2,-0.1,0.0,-0.2,0.2,0.25
204,nmc,0.275,6.89,sig,d/p,mu_minus,nc,1,0.8302,0.0142,0.0023,0.2,-0.1,0.0,-0.1,0.2,0.25
205,nmc,0.275,8.94,sig,d/p,mu_minus,nc,1,0.8377,0.0134,0.0025,0.2,0.0,0.0,-0.2,0.2,0.25
206,nmc,0.275,11.37,sig,d/p,mu_minus,nc,1,0.8202,0.0128,0.002,0.2,0.0,0.0,-0.1,0.1,0.25
207,nmc,0.275,14.87,sig,d/p,mu_minus,nc,1,0.8459,0.0135,0.0022,0.2,0.0,0.0,-0.1,0.1,0.25
208,nmc,0.275,19.74,sig,d/p,mu_minus,nc,1,0.8269,0.0127,0.0019,0.1,0.0,0.0,-0.1,0.1,0.25
209,nmc,0.275,26.6,sig,d/p,mu_minus,nc,1,0.8334,0.014,0.0017,0.1,0.0,0.0,-0.1,0.1,0.25
210,nmc,0.275,35.43,sig,d/p,mu_minus,nc,1,0.832,0.0169,0.0014,0.1,0.0,0.0,-0.1,0.1,0.25
211,nmc,0.275,46.98,sig,d/p,mu_minus,nc,1,0.8444,0.0214,0.0013,0.1,0.0,0.0,-0.1,0.1,0.25
212,nmc,0.275,63.48,sig,d/p,mu_minus,nc,1,0.8104,0.0265,0.001,0.1,0.0,0.0,0.0,0.1,0.25
213,nmc,0.275,90.68,sig,d/p,mu_minus,nc,1,0.8027,0.0349,0.001,0.1,0.0,0.1,0.0,0.0,0.25
214,nmc,0.35,3.57,sig,d/p,mu_minus,nc,1,0.8205,0.0158,0.008,0.2,0.5,0.0,-0.6,0.6,0.25
215,nmc,0.35,4.51,sig,d/p,mu_minus,nc,1,0.7953,0.0134,0.0045,0.2,0.2,0.0,-0.3,0.4,0.25
216,nmc,0.35,5.48,sig,d/p,mu_minus,nc,1,0.8332,0.0143,0.0041,0.2,0.0,0.0,-0.3,0.3,0.25
217,nmc,0.35,6.9,sig,d/p,mu_minus,nc,1,0.7939,0.012,0.0031,0.2,0.0,0.0,-0.2,0.3,0.25
218,nmc,0.35,8.91,sig,d/p,mu_minus,nc,1,0.8222,0.0165,0.0026,0.1,0.0,0.0,-0.2,0.2,0.25
219,nmc,0.35,11.43,sig,d/p,mu_minus,nc,1,0.8188,0.0118,0.0028,0.2,0.0,0.0,-0.2,0.2,0.25
220,nmc,0.35,14.85,sig,d/p,mu_minus,nc,1,0.7828,0.0113,0.0025,0.2,0.0,0.0,-0.2,0.2,0.25
221,nmc,0.35,19.74,sig,d/p,mu_minus,nc,1,0.792,0.0109,0.0023,0.1,0.0,0.0,-0.2,0.2,0.25
222,nmc,0.35,26.63,sig,d/p,mu_minus,nc,1,0.8055,0.012,0.002,0.1,0.0,0.0,-0.1,0.2,0.25
223,nmc,0.35,35.45,sig,d/p,mu_minus,nc,1,0.8197,0.0147,0.0018,0.1,0.0,0.0,-0.1,0.1,0.25
224,nmc,0.35,47.12,sig,d/p,mu_minus,nc,1,0.762,0.0162,0.0013,0.1,0.0,0.0,-0.1,0.1,0.25
225,nmc,0.35,63.52,sig,d/p,mu_minus,nc,1,0.7732,0.0213,0.0011,0.1,0.0,0.0,0.0,0.1,0.25
226,nmc,0.35,96.35,sig,d/p,mu_minus,nc,1,0.7614,0.0253,0.001,0.1,0.0,0.1,0.0,0.1,0.25
227,nmc,0.45,4.54,sig,d/p,mu_minus,nc,1,0.7771,0.0242,0.0092,0.2,0.7,0.0,-0.7,0.7,0.25
228,nmc,0.45,5.47,sig,d/p,mu_minus,nc,1,0.7608,0.0245,0.0066,0.2,0.4,0.0,-0.5,0.6,0.25
229,nmc,0.45,6.93,sig,d/p,mu_minus,nc,1,0.7698,0.0161,0.0044,0.2,0.2,0.0,-0.3,0.4,0.25
230,nmc,0.45,8.92,sig,d/p,mu_minus,nc,1,0.7793,0.0211,0.0035,0.1,0.1,0.0,-0.3,0.3,0.25
231,nmc,0.45,11.34,sig,d/p,mu_minus,nc,1,0.7754,0.0227,0.0026,0.1,0.1,0.0,-0.2,0.2,0.25
232,nmc,0.45,14.89,sig,d/p,mu_minus,nc,1,0.7626,0.0158,0.0036,0.2,0.2,0.0,-0.3,0.3,0.25
233,nmc,0.45,19.77,sig,d/p,mu_minus,nc,1,0.7529,0.0146,0.0027,0.1,0.1,0.0,-0.2,0.2,0.25
234,nmc,0.45,26.64,sig,d/p,mu_minus,nc,1,0.7705,0.016,0.0025,0.1,0.1,0.0,-0.2,0.2,0.25
235,nmc,0.45,35.5,sig,d/p,mu_minus,nc,1,0.7474,0.0187,0.002,0.1,0.1,0.0,-0.1,0.2,0.25
236,nmc,0.45,47.26,sig,d/p,mu_minus,nc,1,0.7575,0.0222,0.0015,0.1,0.0,0.0,-0.1,0.1,0.25
237,nmc,0.45,63.65,sig,d/p,mu_minus,nc,1,0.7632,0.0281,0.0012,0.1,0.0,0.0,-0.1,0.1,0.25
238,nmc,0.45,98.05,sig,d/p,mu_minus,nc,1,0.7254,0.0296,0.001,0.1,0.0,0.1,0.0,0.1,0.25
239,nmc,0.55,5.53,sig,d/p,mu_minus,nc,1,0.7209,0.0356,0.0072,0.2,0.8,0.1,-0.4,0.4,0.25
240,nmc,0.55,6.88,sig,d/p,mu_minus,nc,1,0.7323,0.0296,0.0055,0.2,0.5,0.1,-0.3,0.4,0.25
241,nmc,0.55,8.91,sig,d/p,mu_minus,nc,1,0.7442,0.028,0.0042,0.1,0.4,0.1,-0.2,0.3,0.25
242,nmc,0.55,11.34,sig,d/p,mu_minus,nc,1,0.728,0.03,0.0032,0.1,0.3,0.1,-0.2,0.2,0.25
243,nmc,0.55,14.85,sig,d/p,mu_minus,nc,1,0.7345,0.0282,0.0037,0.2,0.4,0.1,-0.2,0.2,0.25
244,nmc,0.55,19.74,sig,d/p,mu_minus,nc,1,0.7419,0.0205,0.0037,0.1,0.3,0.1,-0.2,0.2,0.25
245,nmc,0.55,26.64,sig,d/p,mu_minus,nc,1,0.7263,0.0216,0.0029,0.1,0.2,0.0,-0.2,0.2,0.25
246,nmc,0.55,35.57,sig,d/p,mu_minus,nc,1,0.7281,0.0267,0.0023,0.1,0.1,0.0,-0.2,0.2,0.25
247,nmc,0.55,47.16,sig,d/p,mu_minus,nc,1,0.7641,0.0331,0.0021,0.1,0.1,0.0,-0.1,0.2,0.25
248,nmc,0.55,63.56,sig,d/p,mu_minus,nc,1,0.6626,0.0345,0.001,0.1,0.0,0.0,-0.1,0.1,0.25
249,nmc,0.55,98.82,sig,d/p,mu_minus,nc,1,0.7622,0.0458,0.0012,0.1,0.0,0.0,-0.1,0.1,0.25
250,nmc,0.675,7.04,sig,d/p,mu_minus,nc,1,0.6989,0.0361,0.0067,0.1,0.7,0.2,0.4,-0.4,0.25
251,nmc,0.675,8.88,sig,d/p,mu_minus,nc,1,0.7365,0.0465,0.0053,0.1,0.6,0.2,0.3,-0.3,0.25
252,nmc,0.675,11.36,sig,d/p,mu_minus,nc,1,0.7418,0.0353,0.0046,0.1,0.6,0.2,0.1,-0.1,0.25
253,nmc,0.675,14.85,sig,d/p,mu_minus,nc,1,0.7988,0.0395,0.0051,0.2,0.6,0.1,0.0,-0.1,0.25
254,nmc,0.675,19.79,sig,d/p,mu_minus,nc,1,0.7357,0.0281,0.0049,0.2,0.6,0.1,-0.1,0.1,0.25
255,nmc,0.675,26.49,sig,d/p,mu_minus,nc,1,0.6717,0.0235,0.0034,0.1,0.4,0.0,-0.2,0.2,0.25
256,nmc,0.675,35.4,sig,d/p,mu_minus,nc,1,0.7194,0.033,0.0033,0.1,0.3,0.0,-0.2,0.3,0.25
257,nmc,0.675,47.03,sig,d/p,mu_minus,nc,1,0.6959,0.0373,0.0026,0.1,0.1,0.1,-0.2,0.3,0.25
258,nmc,0.675,63.53,sig,d/p,mu_minus,nc,1,0.702,0.0513,0.0029,0.1,0.0,0.1,-0.2,0.3,0.25
259,nmc,0.675,99.03,sig,d/p,mu_minus,nc,1,0.7724,0.0645,0.0034,0.1,0.0,0.2,-0.2,0.3,0.25
